start_time,speaker_label,transcript
00:00,[Driver],It's so bad. Like people
00:03,[Driver],I don't know.
00:05,[Police Officer],And now she's peeing in the street.
00:07,[Driver],I'm sorry. I have really bad anxiety. I don't know where I'm at. I have literally like I don't know where I'm at. I can't even hang out with the guy in Tacoma and I transferred. I don't know where I'm at and I like I have really bad anxiety.
00:21,[Police Officer],"Okay. Well,"
00:22,[Driver],I have really bad anxiety. And I have a panic attack. Okay. I don't know.
00:29,[Driver],I go home. I live in I live in Seattle. I'm literally out here. I don't know my area.
00:37,[Police Officer],"Okay, do you have your driver's license on you?"
00:39,[Police Officer],If we can get this is a 13 and I'll take a second. She's extremely worked up.
00:44,[Driver],I want to see my boyfriend.
00:46,[Driver],Can you take this? That's a gift card. I have an actual identity card here somewhere. I'm looking for it. I'm so sorry. I'm looking for it. I'm just like
00:56,[Police Officer],"Yeah, your driver's license is underneath. And then do you have insurance on the car?"
01:00,[Driver],I don't right now. I'm literally like stressing. I don't even know what's going on. Like I literally
01:05,[Police Officer],"Well, you were in in a collision."
01:08,[Police Officer],You you hit someone's fence. What happened at the waterfront park? You had other people in the car.
01:13,[Driver],I got into a fist fight. I left.
01:14,[Police Officer],You got
01:17,[Police Officer],Why were you fist fighting?
01:18,[Driver],Because they fist fought me and set me up. My baby daddy is crazy.
01:22,[Police Officer],Okay. I got So you don't have insurance on the car though?
01:25,[Driver],What? You're going to arrest me?
01:27,[Police Officer],"No, I don't know yet."
01:28,[Driver],"I don't know my baby daddy. So no, I don't have a rest on my car. I just want to go home."
01:34,[Police Officer],"Okay. Well, that's not an option right now. Okay."
01:37,[Driver],They're being mean to me. Stop crying.
01:40,[Police Officer],Is there a problem?
01:41,[Police Officer],I'm asking if you have shoes.
01:43,[Driver],Do you want me to tell myself?
01:44,[Police Officer],You're not wearing any shoes.
01:46,[Driver],What? Are you going to call the problems from now?
01:48,[Police Officer],"No, I just want to ask if you want to have shoes cuz I'm going to have you step out and talk to me."
01:51,[Driver],I talked to you.
01:52,[Police Officer],Yeah. I tried to talk to you.
01:54,[Police Officer],Give me a minute. I'll wait till I get a second.
01:56,[Driver],Come on.
01:57,[Police Officer],"Because you're operating a motor vehicle, so I want to make sure you're okay to drive."
02:01,[Driver],I'm not a motor vehicle. Actually.
02:03,[Police Officer],"Well, you got here somehow, right? So you weren't just sitting in the driver's seat."
02:06,[Driver],Nope.
02:07,[Police Officer],"No, that's weird. You know what's crazy is my camera's rolling."
02:09,[Driver],"You want to know what's crazy is you're lying because everything that happened before that, you're lying."
02:13,[Police Officer],"Oh, okay. That's perfect. Okay. You want to go ahead and step out of the vehicle for me?"
02:18,[Driver],boyfriend really badly. Where can I go in this way?
02:22,[Police Officer],"Um, nowhere around here."
02:24,[Driver],"Can I go in like like right here? If you turn left for two seconds, I"
02:30,[Police Officer],We're in public.
02:31,[Driver],I have to go to the bathroom.
02:33,[Police Officer],"Yeah, but we're in public."
02:34,[Driver],Can you ask if you can like fix the public city cuz I have to go to the bathroom very badly.
02:39,[Police Officer],So you want me to fix the public city so you can urinate in public?
02:42,[Driver],"No, I don't want you to fix my public city so I can go to the bathroom. I have to urinate. I'm trying not to."
02:48,[Police Officer],Okay.
02:49,[Driver],Like it's going to urinate my pants. Like I need them to like I don't even care what they say. And you go.
02:55,[Police Officer],"Well, we're going to wait for my second unit to get here."
02:57,[Driver],I can't wait. Can I just go? Are you going to arrest me if I go?
03:02,[Driver],"I I really have to go. Can you just turn around for two seconds, please?"
03:06,[Police Officer],I I can't.
03:07,[Driver],"Dude, I'm going to urinate. Like I can't control my urine."
03:11,[Police Officer],"Okay. Okay, you're going to urinate. You lost money by the way. It fell out of your car."
03:16,[Driver],I lost my money.
03:17,[Police Officer],It's right there.
03:21,[Driver],Love you. Can I please go to the bathroom?
03:23,[Police Officer],I I can't let you go to the bathroom in public.
03:26,[Driver],"Dude, it's so bad. Like people I don't know."
03:31,[Police Officer],And now she's peeing in the street. Urinating.
03:34,[Driver],No. Are you kidding? I helped you.
03:38,[Police Officer],How did you help me?
03:39,[Driver],I had to go so bad. What did you want me to do? Pee on you? Pee on yourself?
03:45,[Police Officer],Okay. Okay.
03:46,[Driver],"Dude, I literally like I'm messing up your I literally pissed. Are you kidding?"
