start_time,speaker_label,transcript
00:00,[Police Officer],door jam.
00:01,Johnny,"Hey, Johnny, let me tell you something."
00:03,[Bystander],You got a gun.
00:03,[Police Officer],"I got you, bro."
00:04,[Bystander],You got a gun.
00:05,[Police Officer],"I got you, bro."
00:06,[Bystander],There's kids in the car.
00:08,[Bystander],"Hey, they got the gun right there. It's on the top of the car."
00:11,[Police Officer],"Hey, nephew."
00:11,Diamond,She just shot a gun off.
00:13,Diamond,She just shot a gun.
00:14,Diamond,He grabbed me around my neck.
00:16,Diamond,He grabbed me around my neck.
00:17,[Police Officer],"We're here, we're here, we're here. We're here. We're here. Just take a deep breath. We got you."
00:20,Diamond,"And then he just pulled the gun when y'all was just coming up, the gun on that side of the car."
00:24,[Police Officer],Is it in that bag?
00:25,Diamond,"Go, go check the car."
00:26,[Police Officer],How many guns?
00:29,Diamond,Don't have to open that door.
00:31,[Police Officer],How many guns?
00:32,Diamond,They got it. And I have and I have conceals also. I didn't pull no firearm. That's he grabbed me around my neck.
00:37,[Police Officer],That's it.
00:38,Diamond,And he tried to choke me off.
00:39,Diamond,And like telling you put your hands on me too.
00:41,[Police Officer],I already told you.
00:42,Diamond,"Hey, can we be honest, please? Did you not put your hands on me?"
00:48,Diamond,That's that's.
00:50,[Police Officer],"Let's see, BJ."
00:51,Diamond,"man, bro. I got you."
00:53,Diamond,"That's, bro."
00:54,[Police Officer],"Okay, so listen to me."
00:55,Diamond,"crazy, bro. That's my son, bro. I got you."
00:57,[Police Officer],We're in the.
00:58,Diamond,"I would never harm my child. I got four kids. I got a baby in the car right now. I would never harm my son, bro. And you know me, fam."
01:05,[Police Officer],Are the kids only in this car?
01:06,Diamond,"Yeah, just my kids."
01:07,[Police Officer],Who's in that car?
01:08,Diamond,"That's her car, bro. That ain't that ain't nothing to do with me, bro."
01:10,[Police Officer],Just wait right here back in the back seat.
01:12,Diamond,"Hey, baby. Everything okay?"
01:14,[Bystander],"I'm fine, hey."
01:15,Diamond,Can I get my baby?
01:16,[Bystander],They're fine. You want to talk to him yet? Talk to him. They're good.
01:20,Diamond,Who are you saying hi to? There you are. That's his name.
01:23,Diamond,That's your cousin.
01:25,[Bystander],"Okay. You going to come out? You come out on this side, okay?"
01:28,[Police Officer],What's your name?
01:29,Johnny,Johnny.
01:30,Diamond,Johnny.
01:31,[Police Officer],"Monster coffee on you, okay?"
01:34,Diamond,"Yeah, I got you."
01:36,Diamond,"That's crazy. I would never hurt my son, bro."
01:39,Diamond,Why would you even disrespect my wife like that's my son. Why would you do that?
01:43,[Police Officer],"Oh, hold on, let me get."
01:44,[Police Officer],"All right, just tell me where they at."
01:47,Diamond,Who are you?
01:48,[Police Officer],I'm the.
01:48,Diamond,"No, no, are you mom? Are you?"
01:49,[Police Officer],That's my mom.
01:50,Diamond,"All right, can you take the baby?"
01:51,[Police Officer],What's the problem?
01:52,Diamond,"Uh, we got guns pulling out on each other and stuff."
01:55,[Bystander],put her hands on me and put out her gun in self-defense.
01:57,Diamond,She has she has.
02:00,[Police Officer],Get this baby.
02:01,[Police Officer],Put her inside.
02:01,Diamond,Cuz this girl has.
02:03,Diamond,I'm going to call my lawyer. I'm going to call I'm going to call I'm going to call.
02:07,[Police Officer],"Sorry, I can't help you, ma'am."
02:08,Diamond,"No. Diamond, stop touching her."
02:10,[Police Officer],"Wait, wait, wait, stop. Stop."
02:11,Diamond,I can't I can't call my lawyer.
02:13,Diamond,I have a lawyer. I'm a nurse.
02:15,[Police Officer],Okay. I'm a registered nurse.
02:16,[Police Officer],It has nice as possible here. Please stay out of the car.
02:19,Diamond,"Yeah, ain't nothing in there."
02:20,[Police Officer],I'm not saying there is.
02:22,Diamond,"Yeah, I understand."
02:23,[Police Officer],"But until we figure out what's going on, just relax. I want you to know."
02:28,[Police Officer],Please don't ever put your hands on me.
02:29,Diamond,Who are you?
02:30,[Sister of Diamond],"No, I grabbed her. That's my sister."
02:32,[Police Officer],You did grab him. You did grab him.
02:34,[Police Officer],It's all right. It's okay. We get it. We get it.
02:37,Diamond,She's not the person that's doing the bad.
02:39,[Police Officer],"We're trying to figure everything out. We're trying to figure everything out. We're not we're not heading this investigation, all right? We're just here to calm everybody down. These officers are going to come, make contact with everybody and have conversations."
02:49,Diamond,I want to press her.
02:50,[Police Officer],Okay. Who's he to you?
02:51,Diamond,He's my baby daddy.
02:52,Diamond,My name is Diamond.
02:53,[Police Officer],Miss Diamond.
02:54,Diamond,He had my son for a week.
02:55,[Police Officer],"Hold on, let me ask you something."
02:56,Diamond,"Hold on, I'm going to give you a whole little rundown."
02:58,Diamond,He had my son for a week. My son.
03:00,[Police Officer],Is it joint?
03:01,Diamond,No. He don't have any rights.
03:03,Diamond,"No, there's no joint custody. I have full custody of him."
03:06,[Police Officer],Is it a child in common? Like is that his father? I don't I don't care about the custody rights or anything. Okay.
03:11,Diamond,"Okay, but listen. He never had he never had the baby at all. But I was being a good mom because he off on summer break. So I said he could go. My son called me and said that the stepmom had made a had made a verbal a verbal complaint up against him saying that he was going to put his she was going to beat his."
03:31,[Bystander],She shot the gun.
03:32,[Police Officer],Can we go over here so we can talk?
03:34,Diamond,She stated she stated that she was going to beat my 10-year-old son.
03:38,Diamond,"So I told him, I said, bring me my child."
03:41,[Police Officer],Sure.
03:41,Diamond,We don't even have to you get what I'm saying? You can first talk to her.
03:45,[Police Officer],Where's your idea?
03:46,Diamond,He choked her by her neck.
03:48,Diamond,"He grabbed me and then when I did when he grabbed me, that's when she grabbed the gun and she cocked it back and she shot it."
03:55,Diamond,"Look, that's why my shoes was off cuz he picked me up, pulling me over this way. He pulled me over that way, picking me up by my neck. Telling me, I would um, I would kill you, stupid."
04:05,Diamond,She cocked the gun back and she shot the gun towards him.
04:08,[Police Officer],And that was that.
04:10,Diamond,That's why y'all heard the gun.
04:11,[Police Officer],Where where was the gunshot at? Roughly.
04:13,[Police Officer],Roughly.
