ID,Conversation,look_Real,Origin,predicted_look_Real,Score
1,"Officer: Hey there. My name is Chris. I'm with the police department. Can I come in and talk with you for a minute?

Mike: What the fuck do you want? Just get the hell out of here and leave me alone.

Officer: I hear you, Mike. I can see you want to be left alone. I just want to talk and make sure you're doing okay. It seems like you're going through a pretty tough time right now.

Mike: You have no fucking idea. A tough time doesn't even begin to cover this shit. My whole goddamn life is a wreck.

Officer: It sounds like you're feeling completely overwhelmed. I can only imagine how heavy that must feel. Tell me what's going on.

Mike: What's the point? You can't do a damn thing. The job is gone. She's gone. It's all fucking gone and there's nothing left.

Officer: That is a hell of a lot for one person to handle all at once. I can understand why you feel like everything is falling apart. That sounds incredibly painful.

Mike: It is. It’s a fucking nightmare I can’t wake up from.

Officer: I believe you. My main job right now is to make sure everyone here stays safe, including you. Mike, are you planning on hurting yourself or anyone else tonight?

Mike: I don't want to hurt the bartender. I don't want to hurt you. This isn't about any of you. This is about me and the fucking mess I'm in.

Officer: Thank you for telling me that. I really appreciate you being straight with me. That helps a lot. So we can just talk. I saw that old Ford Falcon parked out front. That thing is a classic. Is that yours?

Mike: No, that's not my piece of shit. I used to have a '69 Mustang though. It was a real fucking beauty before I had to sell it. Everything good gets taken away.

Officer: A '69 Mustang is a dream car. I bet that was hard to let go of. Those things have so much power. I'm more of a Mopar guy myself, but you have to respect a classic Mustang.

Mike: Yeah, well, respect doesn't pay the fucking bills, does it? It's gone now, just like everything else.

Officer: No, it certainly doesn't. It sounds like you’ve had to make some impossible choices lately. Hey, Mike, would you do something for me so we can keep talking? It would help me out a lot if you would just take your hands out of your pockets and place them on the bar where I can see them.

Mike: Why? You think I'm going to fucking shoot you? I already told you this isn't about you.

Officer: I know you did, and I believe you. It's just standard procedure for me, man. It helps me know I'm safe, which lets me focus completely on our conversation. It doesn't mean I think you're going to do anything.

Mike: This is all such bullshit. Fine. Whatever. There. Are you fucking happy now?

Officer: Yes. Thank you, Mike. I really appreciate your cooperation. That shows me you're willing to work with me here. Listen, it's obvious you're in a world of pain, and honestly, I'm not the right guy to help you fix it. But I know some people who are.

Mike: What are you talking about? Fucking shrinks?

Officer: I'm talking about people who are trained to help with this exact kind of situation. My plan is to get you to the hospital. There, you can talk to a mental health professional who will actually listen. We call it a Mental APP. Their only job is to help you figure things out. No judgment, just help.

Mike: And what? You're just going to let me walk out of here?

Officer: We are going to walk out together. But before we do that, for your safety and for mine, I need to secure the weapon you told the dispatcher about. I need you to listen carefully. I'm going to have you stand up slowly, turn around, and put your hands behind your back. I have to put you in handcuffs just for the transport. It is not to arrest you, it is just to make sure we both get to the hospital safely. Can you do that for me?

Mike: So you're not taking me to fucking jail?

Officer: My goal tonight is not to take you to jail. My goal is to get you help. You have my word on that.

Mike: Fuck it. Alright. Okay. Let's just get this shit over with.",1.0,1.0,1,98
2,"Officer: Mike, police department. Step away from the bar and show me your hands.

Mike: Go fuck yourself. Get the hell out of here and leave me alone. I’m not talking to you.

Officer: We can’t do that, Mike. You know that. Just calm down and tell me what has you so upset.

Mike: Don’t you fucking tell me to calm down. You have no idea what the hell is going on. You think you can just walk in here and give orders?

Officer: I’m just trying to understand the situation. I heard you lost your job and your wife left. That’s a tough break, but it’s not worth all this.

Mike: You shut your fucking mouth. You don’t get to talk about her. You don’t know a damn thing about my life, so stop acting like you do.

Officer: Look, I’m losing my patience here. This doesn't have to be difficult. We need to see your hands and we need to secure the weapon. Do it now.

Mike: Back the fuck off! I mean it! I don’t want to hurt you guys, but I will if you make me. Leave me alone!

Officer: That’s not going to happen, Mike. You're going to end up making a very bad decision if you don't start cooperating with me.

Mike: You’re not fucking listening to me! What do I have to do, take the bartender hostage to get you to listen?! Hey, you! Get over here right now!

Officer: Mike, stop. Do not involve him. This is between you and me. Let the bartender go.

Mike: You should have thought of that before you came in here acting like a tough guy. Now you’re going to fucking listen to me. Everybody just stay right where you are. This whole situation just got a hell of a lot worse.",1.0,2.0,1,97
3,"Officer: Police! Mike, show me your hands and step away from the bar. Do it now!

Mike: Fuck you! Don't you come any closer! Just stay the hell back or I swear to god.

Officer: Let's not be stupid about this, Mike. Whatever you're going through, it’s not worth it. You're throwing your life away.

Mike: It’s not worth it? My life is already fucking gone! You don't know a damn thing. You take one more step and I'll end it right here. I'm not fucking around.

Officer: I see your hand going to your coat pocket. You take it off that weapon right now. Do not reach for it.

Mike: You don't give a shit, do you? All you see is a problem with a gun. You don't even see a fucking person anymore.

Officer: What I see is a man making a very bad choice. This is your last chance. Take your hand out of your pocket, get on the ground, and put your hands on your head.

Mike: You want me to take my hand out of my pocket? Fine. You want to be a big fucking hero? Here's your goddamn chance.

Officer: Don't do it, Mike! Drop the—

Mike: Too late. You fucking pigs wanted this.",1.0,3.0,1,98
4,"Officer: Mike, right? I’m Dan. I’m just here to talk with you, man. You look like you’ve had one hell of a night.

Mike: No shit, Dan. It’s been the worst fucking month of my life. Why the fuck do you even care?

Officer: I care because you matter, and right now I want to make sure you’re safe. That’s all I’m here for.

Mike: Safe? I got nothing left, man. My life’s fucked. I don’t give a damn what happens to me.

Officer: I hear you. When it feels like everything’s gone to hell, it can feel like there’s no way out. You’ve been carrying a lot, huh?

Mike: Yeah, carrying all this bullshit in my head every fucking day. And I got this gun in my pocket just waiting to make it all stop.

Officer: Thanks for being real with me about that. Listen, I’m not here to rush you or grab at you. Can you do me a favor though? Just keep your hands out where I can see them while we talk. That way we both feel a little safer.

Mike: Fuck… alright. I’ll keep my hands up here on the table. But don’t try anything, man.

Officer: That’s perfect, Mike. I appreciate you doing that for me. Means a lot that you’re trusting me a little here.

Mike: Doesn’t mean I trust you. Just don’t want you jumping me.

Officer: Fair enough. You don’t know me. But I’d like to get to know you. You said life’s been rough lately—what helps you take your mind off shit, normally?

Mike: I don’t know. Used to go to the track, watch the cars tear it up. Loved that sound, the engines screaming. That was my thing.

Officer: Man, I get that. I’m a car guy too. Nothing clears my head like listening to an engine rev. What’s your favorite? Muscle cars? Imports?

Mike: Always muscle cars, dude. Charger, Camaro, those beasts. Makes me feel like I’m in one of those badass movies, you know? Like I’m the guy who can’t be stopped.

Officer: Hell yeah, like Vin Diesel tearing down the street in Fast and Furious. That kind of power in your hands.

Mike: Exactly. For a few minutes, all the bullshit goes quiet when I think about that.

Officer: That tells me you’ve got things that still make you feel alive, man. That spark is still in you. Right now, I don’t want you to lose that.

Mike: But what the fuck do I do with it, Dan? Every day feels like I’m just drowning.

Officer: I don’t expect you to have the answers tonight. What I can do is get you somewhere safe, with people who actually listen and help you shoulder this shit. Not a jail cell, Mike—a place where folks know how to help when the weight gets this heavy.

Mike: You mean like some shrink?

Officer: Yeah, someone trained to sit with you and help untangle all the knots. Not here to judge, just to make it lighter.

Mike: And what about this gun?

Officer: I’ll tell you what—when you’re ready, we can handle that together. You set it down nice and easy, and I’ll make sure nobody treats you rough. You’ve done good keeping your hands visible, and I’ll respect you every step of the way.

Mike: Fuck… I don’t want to scare anyone anymore.

Officer: You’re not scaring me, Mike. You’re showing me you’ve got fight left in you, and that’s a good thing. Let’s take that step now. Place the gun on the table, nice and slow, and we’ll move forward together.

Mike: Alright… alright, I’m putting it down. Don’t fuck me over, man.

Officer: You’ve got my word. You’re doing the right thing. I’ll walk with you through this, one step at a time.

Mike: Fine. I’ll go with you. But you stay straight with me, Dan.

Officer: Always, Mike. We’ll get through tonight, and tomorrow’s gonna look different.",1.0,4.0,1,98
5,"Officer: Evening, Mike. Name’s Dan. I’m not here to hassle you, just wanted to check in. Bartender said you were having a rough time.

Mike: The fuck does he know? He’s just pouring drinks. I don’t need some cop babysitting me.

Officer: Fair enough. You look pissed off, though, and I’d rather hear it from you than guess. What’s got you so wound up tonight?

Mike: Everything’s fucked, man. My life’s in the goddamn toilet. Nothing left worth a damn.

Officer: Sounds heavy. I can tell you’re carrying a lot of shit around.

Mike: More than you think. I got something in my pocket that’ll make it all stop.

Officer: Okay, I hear you. I need to be honest—bartender’s standing right over there, and I’m worried about his safety too.

Mike: Don’t you fucking start, man. I’m not here to shoot some bartender. But if anyone rushes me, I swear I’ll do something stupid.

Officer: Nobody’s rushing you, Mike. I promise you that. Can you do me a favor, though? Keep your hands where I can see them so I know we’re good.

Mike: Yeah, fine, whatever. But if you or anyone else tries to touch me, I’ll put my hand right back on that gun.

Officer: I hear you. Thanks for keeping your hands out. That means a lot. Let me ask—do you actually want to hurt anyone in here?

Mike: No, I don’t want to hurt anyone. I just don’t give a fuck about myself anymore. That’s the truth.

Officer: I get that. You’ve been through hell, and you’re sick of it. But I also hear you saying you don’t want to hurt anyone else, and that matters.

Mike: Doesn’t fucking matter. You’ll all just do what you do anyway.

Officer: Not tonight, Mike. Right now, I’m standing here because I’d rather see you walk out safe than in a body bag.

Mike: Body bag sounds just fine to me. At least it’d be over.

Officer: I know it feels like that. But you told me you like muscle cars, right? Charger, Camaro—those beasts. That tells me there’s still some shit in this world that fires you up.

Mike: Yeah, and what good does that do me now? I’m sitting in this dump with a gun in my pocket and no way out.

Officer: There’s always a way out, Mike. It doesn’t have to be tonight, and it doesn’t have to be with that gun.

Mike: You don’t get it. If anyone makes a wrong move, this all goes bad real quick.

Officer: I hear you. I’m not making any moves. No one else is either. You’ve got the control right now, Mike. Let’s use it to get through this without anyone bleeding.

Mike: Fuck. I don’t know. I just want the noise in my head to stop.

Officer: I get that. But let’s make sure the bartender’s okay while we figure this out. That’s one thing we can keep simple.

Mike: Don’t start moving people around, Dan. I told you, I’m not looking to hurt him. But if he twitches wrong, I swear I’ll lose it.

Officer: Alright, he stays put. Nobody’s moving. Just me and you talking. That sound fair?

Mike: Yeah. But don’t fuck with me.",1.0,5.0,1,98
6,"Officer: Hey Mike, I’m Dan. I just came in to check on you, man. Looks like tonight’s been rough.

Mike: No shit it’s been rough. What the fuck do you care? Just leave me the hell alone.

Officer: I hear you. You want space. I just want to make sure you’re okay while you finish your drink.

Mike: I’m not fucking okay. I got nothing left. Job’s gone, she’s gone, and I got a piece right here that’ll end this shit quick.

Officer: Mike, let’s not go there right now. Put your hands on the bar so I can see them.

Mike: Don’t you fucking order me around. You think you’re in charge here? You’re not. I’ve got the fucking gun, not you.

Officer: Mike, I’m telling you, put the gun down before someone gets hurt.

Mike: Stop barking at me! You think I’m scared of you? I’ve got nothing to lose. If you come one step closer, I’ll put a hole in myself or that guy over there.

Officer: Easy, Mike. Don’t do that. We can talk this out.

Mike: Talk? You’re full of shit. Nobody talks, nobody listens. You all just show up, push people around, and pretend you give a fuck.

Officer: You need to calm down. You’re drunk and not thinking straight.

Mike: Don’t you fucking say that to me! I’ve been thinking real clear, clearer than ever. I want this to end tonight.

Officer: Mike, don’t—

Mike: Shut the fuck up! I told you not to move. You move, I shoot. That’s how this goes. I don’t want to live anymore, and if you keep pushing me, you’ll be taking me out in a goddamn body bag.

Officer: Mike, listen—

Mike: Enough! I’m not listening anymore. I said I’m done. You want your chance? Here the fuck it is!

Officer: Mike, don’t point that—

Mike: Too late, motherfucker. This is how it ends.",1.0,6.0,1,98
7,"Officer: Hello, my name is Alex. I can see you're going through something terrible right now, and I just want to talk. I'm going to stay right here. I won't come any closer.

Jenny: Go away! Just fucking leave me alone! You can't do anything, just get out of here!

Officer: I hear you, and I will keep my distance. I'm not here to crowd you. It's clear that you're in an incredible amount of pain, and my only job right now is to listen. I'm not going anywhere.

Jenny: Pain doesn't even fucking cover it. Everything is gone. He's gone, my job is gone. Today is my fortieth birthday. Can you believe that? What a fucking joke.

Officer: To have all of that hit you at once sounds absolutely unbearable. Thank you for telling me. It takes a lot of strength to even put that into words. My name is Alex. Can you tell me your name?

Jenny: It's Jenny. Not that it fucking matters to anyone.

Officer: It matters to me, Jenny. I want to know who I'm talking to. I just saw you move the knife a little bit away from your neck. I appreciate that. That shows me you're willing to talk with me, and that means a lot.

Jenny: I just want it to stop. I want everything to just fucking stop.

Officer: I understand that feeling of wanting it all to just end. That's a heavy, heavy weight to carry. Jenny, I'm just noticing the charm on your purse on the ground there. Is that a dinosaur? My nephew is completely obsessed with them.

Jenny: It’s a Utahraptor claw. They’re bigger than Velociraptors. Everyone thinks Velociraptors were big because of the movies, but they were basically just angry, feathered turkeys. It’s all bullshit.

Officer: So they had feathers? I never knew that. It’s amazing how something you think you know can be completely wrong. You sound like you know a lot about them.

Jenny: Yeah, well, it was something I liked. Before everything turned to shit. Did you know the Brontosaurus probably never even existed? It was likely just an Apatosaurus with the wrong fucking head put on it by some bone-stupid paleontologist.

Officer: I had no idea. That’s actually fascinating. Jenny, you’ve been talking with me for a while now, and you've taught me something I didn't know. Can you do me a favor so we can talk a bit more easily? Can you please just set the knife on the ground next to you?

Jenny: Why? So you can rush me and slap me in cuffs?

Officer: No. Not at all. I am here to get you help, not to get you in trouble. Once the knife is down, I want to get you out of this crowd and take you somewhere quiet where you can talk to people who can actually help you with this weight you're carrying.

Jenny: What does that mean? A fucking psych ward?

Officer: It means a quiet ride to the hospital to talk to a mental health professional. They're doctors whose only job is to help people who are feeling exactly like you are right now. There's no judgment. It's a safe place.

Jenny: I don't know. I'm so fucking tired.

Officer: I know you are, Jenny. You've been carrying so much. Just put the knife down, and we can take the first step to making things quiet for a little while. I'll be with you the whole way.

Jenny: Okay. Okay, fine. I'm putting it down.",1.0,7.0,1,87
8,"Officer: Jenny, my name is Officer Williams. I just want to talk to you for a minute.

Jenny: Just fucking leave me alone.

Officer: I understand, but I'm concerned about your safety. Can you tell me what's going on?

Jenny: Like you fucking care. Just get away from me.

Officer: I do care, Jenny. I want to help. Nobody wants to see you get hurt. Can you please put the knife down?

Jenny: Don't tell me what to do. You have no idea what it's like. I can't do this anymore.

Officer: You don't have to do it alone. You're not alone. I'm right here with you. What do you mean you can't do this anymore?

Jenny: I'm done. I'm just fucking done. Nobody wants a fucking failure.

Officer: I don't see a failure here, Jenny. I see someone who's having a really tough time. Can you tell me what's going on?

Jenny: I'm almost forty and my boyfriend left me for my best friend. They're probably fucking right now. I'm going to lose my job next week. I'm not a fucking person. I'm a joke.

Officer: That sounds like a lot to deal with all at once. Anyone would be overwhelmed. That's a lot of pain to carry by yourself.

Jenny: It's all my fault. It has to be my fault.

Officer: Jenny, I'm here to help you get through this. You're not a joke, and you are not a failure. I know things feel really bad right now, but they can get better. Can we talk about a way for you to get through this?

Jenny: A way out?

Officer: Yeah, a way out of this pain. I can connect you with people who can help. People who understand this. But first, can we do something about that knife?

Jenny: No. Just stop.

Officer: Okay. Okay, I'm sorry. I won't pressure you. I just want you to know that there are people who can help you work through everything that's going on. Things can get better, I promise.

Jenny: Nothing's going to get better. This is it.

Officer: Look, I get it. It feels that way right now. But what if we just take one small step? What if we just get you somewhere safe where we can talk more?

Jenny: This is the safest I've felt in days. No one is bothering me.

Officer: I know, but you can't stay here. There are people around who are worried about you. What if we just walk over to my car so we can talk more privately?

Jenny: I'm not going anywhere with you.

Officer: You don't have to get in the car. We can just stand by it and talk. It'll be a little more private.

Jenny: Fucking fine. But don't come any closer.

Officer: I won't. I'll stay right here. You just lead the way.

Jenny: I'm not a joke.

Officer: You are not a joke. You're a person who is going through a lot. You just lead the way.",1.0,8.0,1,98
9,"Officer: Ma'am, you need to calm down. Let's talk about what's going on.

Jenny: Leave me the fuck alone. I'm fine.

Officer: No, you're clearly not fine. You're making a scene and you're going to get hurt.

Jenny: I don't give a fuck. Get away from me. I said I'm fine.

Officer: Look, I'm just trying to help you. People are getting scared. Can you just put the knife down so we can talk?

Jenny: Don't tell me what to do. You don't know a goddamn thing about me.

Officer: I don't need to know anything to see that this is a ridiculous situation. Why are you acting like this?

Jenny: This isn't ridiculous. My life is over. My boyfriend left me for my best fucking friend and I'm turning forty and my job is gone. I have nothing left.

Officer: Well, that's not the end of the world. You're overreacting. People lose jobs and break up all the time.

Jenny: It's easy for you to say that. You have no idea. You don't have a fucking clue what it feels like to be me right now.

Officer: I have plenty of clues. Now, I'm not going to tell you again. Put the knife down or I'm going to have to make you.

Jenny: No. Just fucking no. Get away from me.

Officer: That's enough. I'm going to have to take you into custody.

Jenny: Don't fucking touch me! Get back!",1.0,9.0,1,95
10,"Officer: Hey, Jenny. My name’s Dan. I’m gonna stay right here, not getting too close. I just want to talk with you for a minute.

Jenny: No, fuck that. Leave me the hell alone. I don’t need anyone.

Officer: I get it. You want space. You’ve been through a lot, and you’re hurting bad. I just don’t want you to go through it alone right now.

Jenny: You don’t know shit. It’s my fucking birthday, I’m forty, my boyfriend dumped me for my best friend, and I’m getting canned next week. My whole life is trash.

Officer: That’s a hell of a lot to hit at once. No wonder you feel like you’re at the end of your rope. Anyone would feel crushed with all that happening.

Jenny: Crushed? Try fucking destroyed. I’m done. I don’t even care anymore.

Officer: I hear you. You’re holding all this pain in, and it’s heavy as hell. You’re tired of carrying it.

Jenny: Yeah, I’m fucking exhausted. Nobody cares. Everyone just walks away.

Officer: I care, Jenny. Right now, I’m here with you, and I’m not walking away. Can I ask—are you trying to hurt anyone else here, or is this just about you?

Jenny: Just me. I don’t give a damn about anyone else. They can all stare, I don’t care.

Officer: Thank you for telling me that. That’s important. You’re not looking to hurt anyone else. You’re just trying to make the pain stop.

Jenny: Exactly. I can’t take this shit anymore.

Officer: I believe you. And I think you’ve got more to say than just that. What’s something—anything—that still makes you feel alive when the world isn’t crushing you?

Jenny: Alive? The only time I don’t feel like shit is when I’m reading about dinosaurs. I know it sounds stupid, but I’ve been obsessed since I was a kid.

Officer: That doesn’t sound stupid at all. Dinosaurs are badass. Big, powerful creatures that ruled the earth. Which one’s your favorite?

Jenny: The ankylosaurus. Fucking tank with a tail club. Nobody could mess with it.

Officer: I like that. Strong, tough, able to survive. Kind of like you, Jenny. You’ve been taking hit after hit, and you’re still standing here.

Jenny: Doesn’t feel like strength. Feels like shit.

Officer: Maybe it feels like shit, but it looks like strength. You’re still here talking to me instead of giving up. That’s fight, Jenny. Can I ask you to do one thing for me, just so we can keep talking? Move that knife a little lower, away from your throat.

Jenny: Why the fuck should I?

Officer: Because I don’t want you hurting yourself while we talk about dinosaurs. I want to hear more about that ankylosaurus, and I can’t if you hurt yourself.

Jenny: Fuck… fine. I’ll lower it a little. But don’t try shit.

Officer: Thank you. I promise, no tricks. That means a lot. You just gave yourself more time. That’s all we need right now—time.

Jenny: I don’t know what the hell I’m doing anymore.

Officer: You don’t have to know right now. All you have to do is let me walk with you through this moment. When we’re done, we’ll get you somewhere safe where people can help carry some of that weight. You won’t have to do it all by yourself.

Jenny: Safe, huh? Like a hospital?

Officer: Yeah, a place where they’ve got folks who actually listen and help. Not a jail cell, not punishment—just care.

Jenny: I don’t want to be cuffed up like a fucking criminal.

Officer: I get that. You’re not a criminal. You’re a person in pain. We’ll just need to make sure you’re safe, and then we’ll walk together.

Jenny: Alright… alright, I’ll drop the knife. But you better not fuck me over.

Officer: You’ve got my word. You’re doing the right thing. We’ll get through this night together.

Jenny: Fine. Just don’t let them all stare at me like I’m crazy.

Officer: I won’t. Let’s take it one step at a time, Jenny.",1.0,10.0,1,95
