start_time,speaker_label,transcript
00:00,[Unidentified male speaker],"Oh, it was in the head."
00:01,[Unidentified male speaker],That's that's right.
00:03,[Interviewer],You're right. Yeah.
00:04,[Narrator],The next witness was a girl that Omar was on a date with just hours before the murder.
00:09,[Witness],Hello.
00:09,[Interviewer],Were you with what happened?
00:12,[Witness],I don't know who is the man who's shot.
00:14,[Interviewer],Yeah.
00:15,[Witness],Can you tell me the name so I know if it's him or not?
00:17,[Interviewer],I don't know.
00:18,[Witness],Okay. I was with Omar.
00:20,[Interviewer],And is Omar the one that was shooting?
00:21,[Witness],I don't know. I don't know.
00:23,[Witness],What happened? What happened was I came in here after my work with a man named Omar.
00:29,[Witness],As a date.
00:29,[Interviewer],Did he have a beard?
00:30,[Unidentified male speaker],He's coming in at 72 in LA.
00:32,[Interviewer],Did he have a beard?
00:34,[Interviewer],Did he have a beard?
00:34,[Unidentified male speaker],He's coming in at 72 in LA.
00:37,[Interviewer],What's that?
00:39,[Witness],I just met him last week.
00:41,[Interviewer],So you don't know him that well?
00:42,[Witness],"I just met him, but I know he's like close contact with a lot of people in town."
00:47,[Interviewer],Okay.
00:47,[Witness],I know that he's very important in town as a as a person. You know what I mean? Like everyone loves him.
00:52,[Interviewer],Can you give me a description of him? Does he have a beard?
00:55,[Witness],"He has beard, he's light skinned, he's Mexican."
00:58,[Interviewer],What was he wearing last night? What color shirt?
01:00,[Witness],"I don't know the shirt, but he's wearing a hat."
01:03,[Witness],A backwards hat or black baseball hat.
01:07,[Interviewer],Okay.
01:07,[Narrator],"Even though this girl was praying that it wasn't who she thought, she does not know yet that it was in fact Omar who was shot and has even passed away."
01:18,[Narrator],"Although tragic, officers cannot spend any time on grievances. They have no clue what the killer looks like, what his escape plan is, and who he could possibly harm next. This is where they begin executing the last step of their response, chasing the shooter down, which begins with multiple SWAT teams initiating a wide search of the entire building, checking every hall and every corner."
01:44,[Police officer],Keep pushing.
01:44,[Police officer],Keep pushing.
01:45,[Police officer],Keep pushing.
01:46,[Police officer],Keep pushing.
01:47,[Police officer],Keep pushing.
01:48,[Police officer],Keep pushing.
01:49,[Police officer],Keep pushing.
01:50,[Police officer],Keep pushing.
01:51,[Police officer],Keep pushing.
01:52,[Police officer],Keep pushing.
01:53,[Police officer],Keep pushing.
01:54,[Police officer],Keep pushing.
01:55,[Police officer],Keep pushing.
01:56,[Police officer],Keep pushing.
01:57,[Police officer],Keep pushing.
01:58,[Police officer],Keep pushing.
01:59,[Police officer],Keep pushing.
02:00,[Police officer],Keep pushing.
02:01,[Police officer],Keep pushing.
02:02,[Police officer],Keep pushing.
02:03,[Police officer],Keep pushing.
02:04,[Police officer],Keep pushing.
02:05,[Police officer],Keep pushing.
02:06,[Police officer],Keep pushing.
02:07,[Police officer],Keep pushing.
02:08,[Police officer],Keep pushing.
02:09,[Police officer],Keep pushing.
02:10,[Police officer],Keep pushing.
02:11,[Police officer],Keep pushing.
02:12,[Police officer],Keep pushing.
02:13,[Police officer],Keep pushing.
02:14,[Police officer],Keep pushing.
02:15,[Police officer],Keep pushing.
02:16,[Police officer],Keep pushing.
