start_time,speaker_label,transcript
00:01,[Police Officer],"Hey, please, please come back to headquarters."
00:03,Joel,"All right, you know what? Can I please get a phone call so I can get my attorney on the line? No."
00:09,[Police Officer],anything.
00:10,[Police Officer],"Joel, sit down."
00:11,Joel,I'm going to call my attorney. No.
00:13,[Police Officer],Sit down. Sit down.
00:15,Joel,"All right, then can we do this in two seconds or I'm going to call my attorney."
00:19,[Police Officer],Your friend's going to be here shortly. We'll send you on your way. I'll photograph you.
00:21,Joel,No.
00:22,[Police Officer],No.
00:23,Joel,No.
00:24,[Police Officer],Yes.
00:25,Joel,I have an attorney and either we're going to call my attorney.
00:30,[Police Officer],"No one's questioning you, Joel."
00:33,Joel,Or we're going to do this in two seconds.
00:35,[Police Officer],"No one's questioning you, Joel."
00:36,Joel,I'm counting.
00:38,[Police Officer],You can count all you want.
00:39,Joel,"All right, let's call my attorney then."
00:41,[Police Officer],"Joel, sit down."
00:42,[Police Officer],"No, sit down. Sit down."
00:44,[Police Officer],Your friend's going to be your friend's going to be here soon. We don't have to do like We don't have to do like a whole thing.
00:51,[Police Officer],"Joel, try to say nothing but next. Please just sit down, make it easier, okay?"
00:55,Joel,I'm making it easy for you.
00:57,[Police Officer],Okay. Okay.
00:59,Joel,But there's no reason to ask for that.
01:00,[Police Officer],"No, I'm not asking for that."
01:01,Joel,"No, I'm not asking for that."
01:02,[Police Officer],"There's always a richer voice for that, okay? Just sit down, we'll do the picture and then I'm going to send you on your way."
01:06,Joel,"No, we just We want just let you out of here."
01:08,[Police Officer],I want to leave.
01:09,Joel,I want to leave.
01:10,[Police Officer],"Okay, and you will soon. There's a process to things, okay?"
01:14,Joel,"So she doesn't have like, I know it's a stupid question, charge or anything like that."
01:17,[Police Officer],She has charges.
01:18,Joel,"Oh, okay. From this event though."
01:20,[Police Officer],Yes. Okay.
01:22,Joel,Are you allowed to tell me what it is?
01:24,[Police Officer],"Uh, I'll let her explain it."
01:26,Joel,Okay.
01:28,Joel,"Um, is it assault or"
01:30,[Police Officer],What's that?
01:31,Joel,Is it assault?
01:32,[Police Officer],"No, we could have hit her with assault on police officer, but we didn't."
01:35,[Narrator],Watch her embarrass herself even more as she heads out.
01:37,Joel,"He's literally looking at a fake numerical job, which is annoying because I see him looking at the computer trying to get me to confess to something that I did not do."
01:53,[Police Officer],No one's trying to get you to confess to anything.
01:54,Joel,"Yeah, I see him. Look at me in a bit."
01:56,[Police Officer],Sit down. Sit down.
01:57,Joel,I'm not sitting. Sit down. Sit down. Sit down. Sit down. Sit down. Then take the picture.
02:03,[Police Officer],"Just help him figure it out, Joel."
02:05,Joel,I don't even know how to work the picture thing.
02:07,[Police Officer],"If he's that big of an idiot, help him figure it out."
02:11,Joel,You know that you're smarter than him.
02:14,[Police Officer],Smarter than him.
02:15,Joel,You know that's true.
02:16,[Police Officer],Just like you know you're an idiot.
02:18,Joel,All right.
02:19,[Police Officer],I thought you were testing it.
02:22,Joel,I thought you were testing it.
02:23,[Police Officer],Sit up over there.
02:28,[Police Officer],Sit up.
02:29,Joel,Sit up.
02:30,[Police Officer],Okay.
02:31,Joel,Sit up.
02:32,[Police Officer],"Right there, right there."
02:35,Joel,It's not your idiot.
02:38,[Police Officer],Look up at the camera.
02:39,Joel,Look up at the camera.
02:40,[Police Officer],Correct.
02:41,[Police Officer],I got called down because you are leaving.
02:42,Joel,I don't want to hear anything you have to say.
02:44,[Police Officer],"Okay, please."
02:45,Joel,"No, tell your boss. Let him follow you."
02:47,[Police Officer],I don't really have anything to say.
02:49,Joel,Okay.
02:50,[Police Officer],Okay.
02:52,Joel,Okay.
02:53,Joel,I was and they called. I called my attorney. I called my attorney and they did not believe me and I'm still in trial and I don't like you and I don't like you because I don't trust anyone. I was so betrayed by the system.
03:18,[Police Officer],Do you guys happen to have any of her clothing that was out there?
03:21,[Police Officer],"Yeah, we have her bag."
03:22,[Police Officer],She has nothing. She has nothing.
03:24,Joel,Are we allowed to come in?
03:25,[Police Officer],We're going to hang her out right now.
03:27,Joel,Okay. So I appreciate it.
03:29,[Police Officer],No problem.
03:30,[Police Officer],Remember she's not allowed back down on this property.
03:32,Joel,"No, I hear you. Permanent ban."
03:33,[Police Officer],"Yes. Oh my God, do you want to performance? Let's go."
03:38,Joel,They don't have to do anything.
03:41,[Police Officer],Thank you.
03:42,[Police Officer],Good for you.
03:44,[Police Officer],Have a good day.
03:45,Joel,"No, no, no."
03:46,[Police Officer],You're not allowed in anywhere else.
03:48,Joel,Get out. Get out.
03:49,[Police Officer],Professional.
03:50,Joel,I would say nice.
03:51,[Police Officer],Just Thank you.
03:53,Joel,Thank you.
03:55,Joel,How do I get out of here?
03:59,[Narrator],"Joel was charged with disorderly conduct, resisting arrest and criminal trespass. YouTube thinks you'll love the video on screen. Click to watch now."
