start_time,speaker_label,transcript
00:00,[Police Officer],"Ma'am, just wait, just wait over there for me, okay?"
00:03,[Driver],What?
00:03,[Police Officer],Just wait over there for me. So I'm going to have you stand right.
00:05,[Police Officer],"I'm standing right here for me. All right, now be just a moment, okay? Okay."
00:10,[Police Officer],"All right, ma'am, I'm going to have you stand right here for me."
00:13,[Driver],I'm super cold. Is there anywhere I can get my jacket?
00:15,[Police Officer],"Yeah, go ahead, grab your jacket."
00:16,[Police Officer],"All right. And just have you stand right here for me. All right, the reason we're over here is so that we have a nice flat surface, okay? Stand inside that light and then turn it back around, face me this way."
00:26,[Police Officer],"All right, so we're going to put a some tape on the ground so that we'll have a line to use, okay? Since there's not one here."
00:35,[Police Officer],Okay. I'm going to have you stand right here for me. Any other questions?
00:38,[Driver],No.
00:39,[Police Officer],You understand the instructions?
00:40,[Driver],"Yes, I do."
00:41,[Police Officer],"Okay. All right, you can begin anytime you're ready. Look down at your foot, not me."
00:45,[Driver],"1,007, 1,008, 1,009, 1,010, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31."
01:07,[Police Officer],"Okay, you can go ahead and stop. All right, so I'm going to have you stand right here for me. Have you face towards my car. Turn around, face that way. All right. Take your hands out of your pockets, drop them down to your side. Okay. There you go."
01:16,[Police Officer],"All right, ma'am, at this time you are going to be placed under arrest for driving under the influence of alcohol. What? I have only had one drink."
01:23,[Police Officer],"Okay. Well, at this point, based off my investigation, I do believe that you're impaired. All right. Based off all the investigation, you did exhibit signs of clues of impairment. Okay. All right, well, you'll be given the opportunity, ma'am, just stay over there, please. All right, you'll be given the opportunity to provide a breath test tonight. Okay. So what we're going to do is I'm going to transport you from here to the jail. I'm going to ask you to submit to a law officer as to your breath for the purpose of determining alcohol content. If you just meant to a breath test. Those consequences are the suspension of your driver's license for a period of one year for a first refusal, 18 months if you have a prior refusal, as well as if you do have a prior refusal and you refuse again, you could be charged with another misdemeanor offense. Okay. I'll explain all that to you in a little greater detail when we get there and give you the opportunity to think about it, okay? All right, so I'm going to have you come around the back side of here for me."
02:06,[Driver],"What? I've only had one drink, sir. I don't really drink. I've never been in this sort of"
02:10,[Police Officer],"Okay. Well, that like I said, you'll be given the opportunity to provide a breath test. All right. So, um, that's up to you. And like I said, we'll discuss that when we get there. Um, nothing in your mouth right now, no gum or candy or anything like that. Okay. All right. Watch your watch your knee for me, okay?"
