start_time,speaker_label,transcript
00:02,[Manager],"Hello. Hi, I'm the manager. Hi. How are you guys doing?"
00:05,[Customer],Good. This lady in the bathroom have been for more than an hour.
00:09,[Officer],You guys knocked and no one answered?
00:11,[Customer],"Yeah, she answered me but she just won't open the door."
00:14,[Officer],You guys don't have a key?
00:16,[Customer],"All right. Yeah, um I saw a lady in the men's room like uh six. She was on the floor. I'm not sure if she's her."
00:24,[Officer],Okay. All right. We'll try to make contact.
00:29,[Officer],"West Palm Beach Police, open up."
00:37,[Officer],This is West Palm Beach Police. You got to open the door.
00:43,[Officer],"It's not public, it's private. You've been there an hour. They need you to leave."
00:47,[Officer],"It is a private business. They want you to leave. If you do not leave, you will go to jail."
00:54,[Officer],"And this is your last warning. You come out, open the door."
00:58,[Officer],You're refusing to leave. That is what you're doing wrong. It's called trespassing.
01:04,[Customer],I have a medical problem. It's my bladder.
01:10,[Officer],You're trespassing on private property.
01:13,[Officer],"If you have a medical problems, we're going to get you medic."
01:17,[Customer],Yes. We still We still We are still waiting outside for you.
01:26,[Officer],Trespassing is a crime.
01:28,[Customer],I have a medical issue.
01:31,[Officer],You need the medics? You're going to go to the hospital?
01:34,[Officer],"Okay, then you need to leave. You've been in there for an hour. You're going to take care of it already."
01:39,[Officer],You need to leave.
01:41,[Customer],"No, I'm not. Let's go. Come out. Leave."
01:44,[Customer],I don't need to leave.
01:46,[Officer],You you want to go you want to go in handcuffs?
01:48,[Customer],What?
01:49,[Officer],"Let's go. We're going to tell you this one last time. If you don't leave, you're going to go in handcuffs. Let's go."
01:54,[Customer],I'm going where?
01:55,[Officer],To jail.
01:56,[Customer],Jail. I'm going to jail.
01:57,[Officer],For trespassing.
01:58,[Officer],For trespassing. You got to leave. Private property. You got to leave now.
02:04,[Customer],How am I how am I trespassing? I know my rights.
02:07,[Officer],You are being told to leave a private business.
02:10,[Customer],I hear you. I understand you. I am leaving in two minutes.
02:15,[Officer],"Listen, I'm going to give you your last warning. If you don't leave, you're going in handcuffs."
02:19,[Customer],"All right, let's go. I'm leaving."
02:22,[Officer],You're not come back on this property. You're trespassing.
02:24,[Customer],How? How am I trespass?
02:27,[Officer],"Step out. They don't want you back on this property. Step out. Leave the property. Step out. Step out of the property or you're going in handcuffs. Ma'am, do you hear what I said?"
02:39,[Customer],Motherfucker.
02:41,[Officer],"Off the property. Out of the parking lot. Sidewalk. If you come back onto this property, sidewalk or parking lot, you go to jail."
02:50,[Customer],"Motherfucker, bro, you are ridiculous. I was using the bathroom and I have medical."
02:54,[Officer],It doesn't matter. Other people need to use the bathroom.
02:57,[Customer],I know my rights.
02:58,[Officer],"You have no rights on private property. If they don't want you there, you have to leave."
03:02,[Customer],This is not private property. This is a public restaurant.
03:07,[Officer],It is a private entity.
03:08,[Customer],You know what? You know what?
03:11,[Officer],This is your last chance. Leave or you go to jail.
03:14,[Customer],I'm off the property.
03:16,[Officer],"No, you're not. You're still in their parking lot."
03:17,[Officer],"And you guys you guys want her to leave, right?"
03:20,[Officer],in the parking lot.
03:21,[Officer],Okay. All right. And who's the manager?
03:24,[Officer],You're the manager. Okay. And you want her to leave the property?
03:27,[Officer],You get in my car.
03:28,[Customer],"Okay. I mean, it's not like I'm not allowed to use the bathroom, but it's not staying for about five hours."
03:33,[Officer],"Okay. As of right now, do you want her to leave the property?"
03:37,[Officer],"This is the manager. She's asking you to leave. All right? As of right now, you need to leave the property. I'm going to tell you this one last time. If you don't leave, you're going to go in handcuffs. Ma'am, leave the property."
03:49,[Customer],Thank you so much for letting me handle my medical issues. What is your name?
03:54,[Officer],Officer.
03:55,[Customer],And Thank you for not helping me.
04:00,[Officer],Okay. You do not know.
04:01,[Officer],We offered you the medics. You want to go to the hospital? We'll call the medics for you.
04:04,[Customer],I don't need the medics.
04:05,[Officer],"Okay, well then you need to leave the property."
04:06,[Customer],I was handling my issues for an hour. You need to leave.
04:10,[Customer],"It doesn't matter how long it takes. If I'm an hour, there's two bathrooms. Motherfuckers can't tell me."
04:16,[Officer],They don't have to let you use it.
04:18,[Customer],Why? Because it's a private entity.
04:20,[Customer],"Okay, and if I was buying something, that's allowed."
04:24,[Officer],They didn't want to use service.
04:25,[Customer],"So, can I get my food?"
04:27,[Officer],"No. No. At this time they don't want you. They don't want you back on their property for a year. If you come back, you go to jail."
04:32,[Customer],You don't even know my name.
04:33,[Officer],"We don't need to know your name. If you come back, you're going to jail."
04:36,[Customer],You don't know my name.
04:37,[Officer],We know your face. It's recorded.
04:38,[Customer],I'm not on private property. I know my I know my rights and y'all are fucking ridiculous and I'm going to report you.
04:44,[Officer],All right.
