start_time,speaker_label,transcript
00:00,Shannon,an honest mistake. I put my car in reverse immediately and course corrected.
00:04,[Officer],Okay.
00:06,[Narrator],"On January 14th, 2025, officers responded to McDill Air Force Base after a woman sped through a guarded gate."
00:14,[Officer],Hello ma'am. Hi. What's going on? What happened?
00:16,Shannon,"Okay, so I just moved to Florida in May. Have a military ID all this other shit, but I have I didn't even know like this part of Florida had a military base. So I'm"
00:28,[Officer],Are you active military?
00:30,Shannon,"No, I'm following my GPS. Like I'm getting Well, that's okay. Why do you have a military ID?"
00:33,[Officer],"Well, that's okay. Why do you have a military ID?"
00:35,Shannon,"Because I'm getting divorced. Okay, so you're a spouse of military. Okay. So we were up in New York. I moved here in May. My very first time coming through here. I'm thinking this is the easy pass at first when I go through. As you can see where my vehicle is that instantly I realized those aren't toll workers. They have like camouflage on."
00:36,[Officer],"Okay, so you're a spouse of military. Okay."
01:01,[Officer],"They sure do. But you do know what a military base is. Yes, in New York, but it kind of looks the same. Did you read the sign up for I'm going to be honest with you. No. Okay, so you were coming from where?"
01:03,Shannon,"Yes, in New York, but it kind of looks the same."
01:07,[Officer],Did you read the sign up for
01:08,Shannon,I'm going to be honest with you. No.
01:11,[Officer],"Okay, so you were coming from where?"
01:13,Shannon,"The Iguana place I was camping. Do you know what city you're in? Yes, Tampa. You came from the green Iguana? I live yes. Okay, where were you living in the green Iguana? In St. P. I just signed my lease a week ago. So I go out on a date. I'm at the Iguana place. Says follow me, puts the address in my phone. I had no clue that it was hitting a military base."
01:16,[Officer],Do you know what city you're in?
01:17,Shannon,"Yes, Tampa."
01:18,[Officer],You came from the green Iguana?
01:20,Shannon,I live yes.
01:20,[Officer],"Okay, where were you living in the green Iguana?"
01:38,[Officer],She lives on base?
01:39,Shannon,I guess.
01:41,[Officer],What were you doing at the green Iguana? You were on a date? What did you do there?
01:43,Shannon,"Play pool, eat a wing, throw some darts and then come here."
01:48,[Officer],Did you have any drinks while you were there?
01:50,Shannon,One.
01:50,[Officer],What did you have?
01:51,Shannon,"Uh, truly."
01:53,[Officer],Okay. So just that?
01:54,Shannon,"Yeah. I really like I really don't drink and I've just moved down here and where you can see where my vehicle is, instantly I realized it wasn't one of like your Florida easy passes like sun passes."
02:12,[Officer],Certainly not. They don't have rifles there.
02:14,Shannon,"I know, but I I did not see a uniform, but as you can see, my car is right there by that sign. I stopped and I reversed because I realized, oh my God, this is like a military base. Like keep going. Google don't tell me I'm going on base. I'm thinking it's an easy pass."
02:36,[Officer],"Do me a favor, ma'am. You see this right here?"
02:39,Shannon,"Yeah, I know. It's yours."
02:40,[Officer],I'm not the Y guy. I'm just here to gauge whether or not I need to.
02:44,Shannon,But I can tell you right now that I have brain trauma. So it's not going to work.
02:50,Shannon,I have brain trauma.
02:51,[Officer],From what?
02:52,Shannon,That's not going to work.
02:53,[Officer],From what?
02:55,Shannon,Cancer. So it's not going to work.
02:58,[Officer],"Okay, do me a favor. Give me one second."
03:03,Frank,"Frank 6, can you get a supervisor unit? We got someone on the way. They're probably about 10 minutes away."
03:08,[Officer],"Shannon, do you know the name of the man you came here with?"
03:11,Shannon,"Oh, you'll have to look at my phone. It was my first date."
03:15,[Officer],Do you know his first and last name if I get you your phone?
03:17,Shannon,"Yeah, you can look at anything you want to. I don't I honestly truly don't know. It's my first date."
03:18,[Officer],Would you know his date of birth?
03:23,[Officer],"Would you Okay, well, did he tell you your date of birth? You have it written down?"
03:28,Shannon,"Probably I mean, you don't typically ask people on the first date."
03:31,[Officer],"Well, it might be in his profile or something."
03:33,Shannon,I know. Pull it up. Grab my phone.
03:35,[Officer],Okay.
03:42,[Officer],Which profile would I find this guy in?
03:44,Shannon,"Um, pull it up to my messages. Just slide up."
03:47,[Officer],Messages. Yeah.
03:51,Shannon,"Okay, so I'm trying to do this real quick."
04:01,Shannon,Why are you stepping away from me? Like I just want to give you your personal space.
04:03,[Officer],I just want to give you your personal space.
04:05,Shannon,Personal space. I'm in handcuffs for an honest mistake.
04:07,[Officer],Okay. Was it an honest mistake?
04:10,Shannon,An honest mistake. I'm not intoxicated.
04:12,[Officer],"Shannon, let's focus on this."
04:15,Shannon,I am.
04:16,[Officer],Okay.
04:16,Shannon,But I'm trying to get you to understand me too at the same time.
04:20,[Officer],"I understand you. Yes, I understand what you're trying to figure this out, okay?"
04:26,Shannon,"It it literally was like a new Okay, no, I don't have it. I don't even care if you go through. It's kind of hard with my handcuffs on. Go through my messages."
04:29,[Officer],"Okay, no, I don't have it."
04:35,[Officer],"Okay, well."
04:36,Shannon,Go through my messages.
04:37,[Officer],Did you make a contact form or not?
