start_time,speaker_label,transcript
00:00,[Bystander],Nope. Who's this?
00:01,[Officer],Everybody up.
00:06,[Bystander],I wipe this one to the bathroom.
00:08,[Officer],"Okay, we'll take care of her."
00:10,[Bystander],I've got her. I've got the far one and the close one.
00:13,[Officer],Check it out.
00:14,[Officer],Hands behind your back.
00:15,[Officer],Hands behind your back.
00:17,[Officer],"Yeah, hands behind your back."
00:19,[Officer],"If you're not an employee, you're not allowed to be here right now."
00:22,[Bystander],Okay.
00:23,[Officer],You're coming this way?
00:27,[Bystander],You being detained right now?
00:32,[Officer],"You're not an employee, get out."
00:36,[Officer],"Police Department, you're not an employee, get out."
00:41,[Bystander],Hey.
00:42,[Bystander],I got both of them.
00:44,[Officer],"What's going on, man?"
00:45,[Officer],"Hey, right now we're just handing you both and we'll be explaining to you. All right, if you're not an employee, you need to leave."
00:50,[Bystander],Okay.
00:52,[Officer],"Hey, is there anything on you that's going to poke me, stick me, hurt me at all?"
01:00,[Officer],"All right, can I have you widen your stance?"
01:07,[Officer],"Watch safe for this officer, you understand?"
01:09,[Officer],"All right, I need a phone number to call the store manager or something like that."
01:14,Joanne,"Oh, it's on my phone."
01:15,[Officer],"It's on your phone, where's that?"
01:16,Joanne,"Straight over here, it's sitting on the box."
01:18,[Manager],I was on the phone with you.
01:20,Joanne,Help desk.
01:22,[Bystander],I don't know.
01:24,[Officer],You can sit right there.
01:31,[Officer],Another female is waiting out over here.
01:33,[Officer],You can sit down.
01:34,[Officer],You can sit down for the next shift.
01:35,[Officer],You can sit down.
01:36,[Officer],Just a heads up.
01:37,[Officer],She's standing out here in the bay.
01:41,[Officer],"Uh, how do I get to talk to the store owner or manager or something like that?"
01:44,Joanne,It's in your cam work.
01:45,[Officer],You mind if I open it up?
01:47,Joanne,No.
01:48,[Officer],You don't mind?
01:49,Joanne,No.
01:50,[Officer],It's okay?
01:51,Joanne,"Yeah, I mean, I can call it."
01:54,[Officer],How do I do that?
01:56,Joanne,I'd like to do it.
01:57,[Officer],That's fine. You able to do it with your hands behind your back?
02:00,Joanne,That's going to be a problem.
02:04,Sarge,"Hey, how are you?"
02:05,Joanne,"Oh, I'd be better if I was sitting at home actually enjoying my buzz. I haven't had my daughter drive me because I just smoked a blunt."
02:12,Sarge,"Oh, gotcha. You're fine. No, that's fine. Uh, we're waiting for Sarge to come back. Somebody had to run him to the office so he could get all his gear off and he'll be able to explain more of what happened."
02:21,Joanne,"Okay, just a brief synopsis, please, because I'm like, I've been out."
02:24,Sarge,"Uh, I don't want to give you too much info right now. I know you work here, don't go in. I wouldn't go in, not unless you want to go in and get Yes. So this is what happened. Patrol guys were here, regular patrol guys. There was a guy that locked himself in the bathroom of the ward. While we were here, a bunch of people with masks came in and shut your store down. That's what we know."
02:42,Joanne,What the
02:44,Sarge,Yes.
02:45,Joanne,"My my my marketing manager is on the way too because when y'all said it wasn't just that you had my CSRs in cuffs, you shut my store down and I'm like"
02:55,[Narrator],"The extensive ongoing investigation had led detectives to suspect a store employee, Joanne, of distributing fentanyl from inside the store. The employees were then read the warrant before being searched."
03:07,Sarge,"First Judicial Circuit Court of Florida, uh, two Sheriff's County, Florida, and all law enforcement deputies to include all law enforcement officers, County Sheriff's Office and Narcotics Unit."
03:17,Joanne,"I just needed a minute. I just when you said that about the ODs and just putting everything together, that's like, that's just got my mind just really."
03:25,[Manager],"Yeah. So we had suspicion of Joanne and something, but I didn't know what. And she was like having issues with like standing there, nodding when I first started before I took over as manager. She would be nodding like she was on something. Well, she gave the manager at the time an excuse that she was, you know, on, um, pain medication because she was going to the dentist. And that behavior stopped. She quit. So it was like, okay, you know, no need to worry. But then there was also that guy, some guy in a blue van that was coming around, which I haven't seen him in a long time, but I haven't been on second shift either."
