start_time,speaker_label,transcript
00:00,Narrator,"Nicole painted a harrowing picture of domestic abuse. Her explanation seemed carefully chosen to cast Daniel in a negative light. Almost as if she had hoped investigators would see her as the victim. And while parts of her story may indeed be true, detectives sensed that she was subtly deflecting blame and possibly laying the groundwork for future legal defense. But investigators would see right through this tactic and it only made them push harder to uncover what Nicole was really hiding."
00:28,Nicole,Why do you have to be done? You just say it.
00:30,Detective,"We fussed and fight and I don't know. But you just say it just a second ago, you know, while we're here, you think we're going to do with this."
00:36,Nicole,I've been told three different things. I've been told he may have had a heart attack in the yard. I've been told he was beat up and I've been told that they don't know what the hell happened just that he was found in the yard.
00:47,Detective,We know more.
00:49,Nicole,I don't.
00:50,Detective,Listen to me. Listen to me. It's always better and I know you talked to the detectives the other day. It's three other things that changed and we know some stuff that you did. We need you to come forward and tell the truth.
01:03,Nicole,"Oh, I mean, I've called and talked to people and stuff and I've told them at times. I I I love him. I hate him. Get me out of here. Stuff like that, but I've never heard him. I swear. I would never put my hands on him. I love him."
01:15,Detective,Listen to me. Look at him. Look at him. I told you what I just told you. We know more. We want to hear your side.
01:23,Nicole,And I'm telling you I did not. I did not touch him. I did not go out. I did not.
01:30,Detective,You know who did. And it's time for you to tell us who did this to him.
01:36,Narrator,"The stress was clearly getting to Nicole. Detectives made it obvious they knew she wasn't telling them everything, and the pressure was starting to show. Visibly nervous and beginning to break, Nicole was about to give detectives exactly what they came here for."
01:51,Nicole,I suspect that my brother may have had something or adopted brother may have had something to do with it because I did call him and I did ask him for help to get me out of there.
02:00,Detective,Why do you suspect that he had something to do with it?
02:03,Nicole,"Because he they've all said before, if he kept on hurting me, they were going to do something. And I the last time that we had a fight, he come up and he pitched him out and that was it."
02:12,Detective,We know that you have made a phone call to somebody.
02:16,Nicole,"I called Pops, which is Stewart Graham and I asked him if he would come over and take and calm me down and stuff and I called Andrew and Tom Tom and told them to come over and find out what the fuck was going on. And Andrew and Tom Tom said they couldn't get there anytime soon."
02:31,Detective,Why were you wanting them to come over there? What were you wanting them to take care of?
02:34,Nicole,"Not him, not like that. I swear nothing like that."
02:37,Detective,That's what you just said.
02:38,Nicole,I wanted them to calm him down. I wanted
02:42,Detective,What is that? Not like that. We know you said.
02:44,Nicole,"I did not want them to hurt him. No, I did not."
02:46,Detective,"All right, so what?"
02:47,Nicole,"No, I did not."
02:48,Detective,"Listen, there was cameras that you crossed the street, so let's talk about it, okay?"
02:53,Nicole,I never saw anything happen. I've heard him out there fussing and stuff and then they left.
02:59,Detective,"Listen to me. You know more about what happened. I have my suspicions, but I don't want to accuse anybody of anything. You know more about what happened. Now, you've give us the run around already."
03:09,Nicole,No.
03:10,Detective,You have. And that points fingers at you. That raises red flags with you.
03:16,Narrator,"Nicole would finally loosen up a bit, giving detectives a couple of names, but that alone wasn't enough. Detectives still needed to find out who actually pulled the trigger."
03:27,Detective,What did you see and what did you hear?
03:29,Nicole,I heard shouting and I heard all the fireworks and all that shit. That is all I've heard.
03:34,Detective,What kind of shouting? You called something and ordered something on that phone.
03:38,Nicole,What did I order? Because I haven't ordered anything.
03:41,Detective,Why do you think your your the guys would have come over there and done something?
03:44,Nicole,"Because he was being an asshole to me again. I mean, I just told him I said, y'all just get him to stop. No, I I can't take it anymore. Y'all can get me. Y'all just get me out of here."
03:54,Detective,Don't you want justice for him?
03:55,Nicole,"Yes, that's what I'm telling you."
03:56,Detective,He was left laying in the yard. This is what I'm telling you.
04:01,Nicole,I'm giving you the names that I have. Do I need a lawyer?
04:05,Narrator,"Despite Nicole bringing up her right to legal counsel, detectives weren't ready to give up yet and moved in closer, physically encircling her and increasing the pressure. And it's a good thing they did, because Nicole was seconds away from finally breaking down and confessing."
04:20,Nicole,"I called them and told them to come beat his ass. I was fucking tired of the bullshit. But I didn't think that they would do it. They've never done it before and I was scared. And I didn't know that he was dead. I swear to God, I did not know that he was fucking dead. I did not. I thought maybe they just looking rubbed him up and then. I thought maybe they just rubbed him up a little bit and they come in and a little bit and they just stayed in the house. I figured he would come in and he would be like, yeah, your brother fucking beat ass. I'm sorry. I didn't mean to to I I was scared. And they had already told me before that if they beat him up and they got told on, I was in trouble. But like I said, they never did it before and I've told them multiple times, y'all just beat his ass. I'm fucking tired of it. Nobody ever did. The only thing that's ever happened was I ended up calling the cops."
05:34,Detective,Did you go out and check on him and make sure he was all right?
05:36,Nicole,"No, I did not."
05:38,Detective,Did you see him out in the yard?
05:39,Nicole,I did not.
05:40,Detective,"You're almost there. You got about 10, 15% that you're not telling us of what happened after the fact."
05:47,Nicole,"No, I don't."
05:48,Detective,You got one or two more.
05:49,Nicole,"I promise I don't. No, I don't know."
05:52,Detective,Just sit there and think about it.
05:54,Narrator,"Even if parts of Nicole's story were true, her overwhelming emotional reaction seemed driven more by panic and fear than genuine sorrow. And by now, detectives had everything they needed to move forward, and Nicole would be arrested and taken to prison."
06:10,Narrator,"While officers had enough evidence for an arrest and were nearly certain of Brandalee's involvement in the murder, whether she had actually wanted Daniel dead remained unclear. To solve this, detectives now turned their attention to Thomas Harper and Andrew Huber, the two men Nicole claimed carried out the attack. Fortunately, locating them didn't take long, and due to their high likelihood of involvement, both men would be arrested immediately and questioned the very next day. During their arrest, police discovered a piece of clothing with blood stains at Andrew Huber's residence. After running a DNA test, this would prove to be Daniel's blood, confirming that Andrew was present that night, and he would be charged with murder. Still, there was one person left, and a final nail in the coffin for Nicole, her adopted brother, Thomas Harper. During his arrest, officers discovered a handgun along with four spent casings directly matching the bullet fired into Daniel's head. On top of that, the dreadlock found at the crime scene would turn out to be a direct match to Thomas himself. Neither Andrew nor Thomas ever claimed Nicole was outside during the fight. However, police could confirm that Nicole had seen Daniel leave and heard gunshots. Yet she never checked on him and never called 911. Instead, she simply walked away, choosing to protect Andrew and Thomas. This paired with Misty's disturbing witness statement and the phone logs confirming the timeline was more than enough evidence for police. Nicole may not have pulled the trigger herself, but she set it all into motion, and because of her actions, Daniel was killed. In the end, justice caught up with all three. Andrew Huber was convicted of felony murder and sentenced to life in prison without the possibility of parole. Nicole and Thomas Harper both pleaded guilty to voluntary manslaughter, likely receiving sentences ranging anywhere from 10 to 20 years in prison for their roles in Daniel's brutal death."
