start_time,speaker_label,transcript
00:00,Emily,"You don't know which car, okay? He switches out cars. So is that like kind of the issue here? Is that what you're trying to explain? He switches out cars. He's got two motorcycles, he has a black Corvette, he had a red Corvette, he has a silver truck, okay? He's got a blue car and a white car."
00:15,[Interrogator],Okay.
00:16,[Interrogator],I'll be I'll be more specific. Did you guys get followed by that neighbor in any of those cars tonight?
00:21,Emily,Not that I'm saying. But did he do
00:24,[Interrogator],"Okay, can I"
00:25,Emily,"I yes you can, but I am still here and my kids are minors."
00:30,[Interrogator],So can I speak to them or are you going to speak for them?
00:32,Emily,"I am going to let you speak to them. And if you try to make it to where they can't give their actual answer, I'm going to butt in and say and let them say they need to speak further."
00:43,[Interrogator],"Emily, I'm not putting words in their mouth. at this point."
00:45,Emily,You're I'm afraid that you're not letting words come out. So go ahead.
00:49,[Interrogator],Why did you why why did you follow him?
00:51,Emily,Because he's been following us and my kids are in danger and I'm in danger and the local police aren't helping me. So I literally was like
00:57,[Interrogator],So you followed him that way?
00:59,Emily,"I didn't follow someone intentionally to follow someone personally like I have like like I said, I'm not looking for an individual. What I'm saying is I'm"
01:05,[Interrogator],Were you guys with your mom in the car?
01:09,Emily,And I followed him.
01:10,[Interrogator],Then mom then mom followed him that way or that way?
01:13,[Interrogator],She followed him that way.
01:14,Emily,Mhm.
01:15,[Interrogator],So your mom saw him pull out with a truck and then she got in her car and followed him that way.
01:21,Emily,Yes.
01:21,[Interrogator],And what happened afterwards?
01:23,Emily,"He went that way, I went that way and then I pulled back on my street and I came home."
01:26,[Interrogator],Is that when uh the big truck turned around and came back through here again?
01:31,Emily,What happened after I pulled in with the truck? I think is what he's trying to ask.
01:35,[Interrogator],"No, I'm trying to ask I'm trying to figure out the direction you went. Did you pull out onto Lakewood or no?"
01:41,[Interrogator],Did the truck pull out onto the main road?
01:42,Emily,In the garage.
01:43,[Interrogator],So did the truck pull out on the main road? Did you pull out to the main road also?
01:46,Emily,Yes.
01:47,[Interrogator],"Okay, so the truck made another right and you made another right?"
01:50,Emily,The truck left the left our street and so did I. We both left the street.
01:55,[Interrogator],So the truck made a right on Lakewood and you also made a right on Lakewood. And then the truck made a right on Miller and you made a right on Miller?
02:02,Emily,"I am not literally going to say this exactly, but yes, but I am not writing this down like you know what I mean? I'm not signing my name on a piece of paper."
02:09,[Interrogator],"But you you made a right on Lakewood, you made a right on Miller."
02:12,Emily,"Yes, I followed him. Yes, he made a right on the Lakewood. I followed him."
02:16,[Interrogator],Okay. Why?
02:20,Emily,explains this.
02:21,[Interrogator],But the truck is not going towards you see what I'm saying?
02:24,Emily,"No, the truck is involved. Like my kids are literally my my son literally just"
02:28,Emily,said he's been following us.
02:31,[Interrogator],Okay. Let's not yell. We don't have to involve everybody.
02:33,Emily,"No, actually maybe we do because you're not listening. He my son is even telling you that the truck has been following us. He has been following us. Why are you attacking me?"
02:44,[Interrogator],So then what happened? The truck pulled up here?
02:46,Emily,He screamed to you.
02:47,Emily,"He was like, what the F is wrong with you? What the fuck? Are you you're on drugs? Blah blah blah. All this stuff. He starts screaming all of these things and I said, listen, you are like you know, I'm going to be very honest with you. It's been so stressful, okay? And so like upsetting what's going on that I literally am not like going to say with a pen exactly word for word what I said. But what happened was is he started yelling at me. I was like, what are you doing? You know what I mean? And he's like, you crazy started calling me. Okay? He started saying you're stupid crazy. You're on drugs and all of this stuff. And I said, like, obviously I don't even know this person. So it felt like I was following him aggressively. And the fact that he pulled off the street from his house, went down and then came back. Do you get what I'm saying? So then he's attacking me like trying to it was almost like he was trying to invalidate my concern. Does that make sense? So he starts screaming out the window saying you're over and over."
