start_time,speaker_label,transcript
00:00,Samantha,never like that. I just started to come I don't know I got hired.
00:03,Detective,"What are they saying that you it was a every weekend thing. They were saying that we have reason to believe based on what we've been doing all day, you were there."
00:12,Samantha,I've never seen that girl.
00:14,Detective,And we have people that says that they have told us you were there.
00:18,Samantha,"Oh, that's ridiculous cuz I don't know anybody really from."
00:21,Detective,You know actually in addition to the people that we talked to said that this all started because you and this girl got into some kind of altercation.
00:31,Samantha,I don't know this girl. I've never seen this girl.
00:37,Detective,"Okay, like I said, once we move forward this investigation from what you're telling us since you're with him, you're going to be attached to whatever we do with him. Do you you understand that, right?"
00:47,Samantha,We have no idea what you're talking about.
00:49,Detective,Okay. Just so we got that clear.
00:51,Samantha,I've never seen that girl.
00:53,Detective,Who's that?
00:54,Samantha,I don't know who that is either.
00:57,Detective,You hardly even looked at him.
00:58,Samantha,I looked at him. I don't know who that is.
01:01,Detective,"Well, I got to know him. So detective Ross, we got to know him a lot today. We spent the entire day with him."
01:07,Samantha,What's his name?
01:08,Detective,"And uh, well, that's not important. You don't know him. So what difference does it make?"
01:12,Narrator,"In reality, Tony is extremely familiar with the man in the photo, as he's the man that helped load Samantha into her car. That man is Yoshi. Conveniently, Yoshi, whose real name is Dylan, had just been brought in on unrelated warrants and detectives couldn't believe their luck. One of the main witnesses, possibly even an accomplice, had been brought right to them without any effort whatsoever. The best part, Dylan wasn't the hardened criminal they expected. In fact, his interrogation was unlike anything you've ever seen. Not only is it truly heartbreaking, but it was actually key to putting not one, not two, but three people behind bars for Samantha's murder."
01:54,Detective,Help us. This is serious. Something bad happened to her. It's kind of a I don't know. I just fired a couple days ago.
02:02,Dylan,"She a young girl, man. I don't know what happened to her. I don't know. I just fired a couple days ago."
02:13,Detective,Help us.
02:16,Dylan,Help us.
02:18,Detective,You see something bad?
02:21,Dylan,I don't know.
02:26,Narrator,"Not five minutes into the interview, we see an emotion painted on Dylan's face you don't often see in the interrogation room. He's holding back tears, trying to hide his face and is exhibiting a type of stress you rarely see in criminals. He's terrified and devastated at the same time. After all, he's just 19 years old. He shouldn't be caught up in all of this. The detective picks up on this immediately and wants to figure out precisely why Dylan feels so strongly about all this. They spend some time discussing simple details with Dylan deflecting pretty much everything, but this whole time, the stress is building up in Dylan and 15 minutes later, the detective notices that he's on the verge of completely breaking down and he decides to exploit this perfectly."
03:11,Detective,"What did you see? I know you know what you saw. No, I need three more than you saw."
03:17,Dylan,We need your help.
03:19,Detective,She's not going to get to jail like this.
03:23,Detective,"Help us. What if this is your family member, your sister?"
03:30,Detective,"Hey, this is the time where in your life where you have to do make a right decision and do the right thing. We need your help."
03:38,Dylan,She actually did.
03:41,Detective,Okay.
03:43,Dylan,Did she?
03:46,Detective,Probably that's what I'm talking to you about.
03:50,Detective,Did you see something happen to her?
03:52,Dylan,No.
03:54,Detective,"If we talk about it, you're going to feel like the weight of the world is off your shoulders."
03:59,Dylan,I don't know.
04:03,Detective,We only want one thing that makes us question if this emotion. That's if they saw something bad.
04:08,Dylan,I remember a couple days ago you were talking to her. I remember you were talking to her.
04:14,Dylan,I don't know why.
04:18,Detective,"I don't know why, why?"
04:21,Dylan,Why you feel so close to her?
04:25,Detective,So you guys are on where you're close to the same age. You felt a connection with her.
04:31,Dylan,Because maybe you had the same problems growing up and stuff like that.
04:35,Detective,Probably.
04:36,Dylan,What did you guys talk about?
04:40,Detective,Just life and stuff like that.
04:42,Dylan,Yeah. What music as well?
04:47,Detective,You guys listen to. You guys like.
04:49,Dylan,She made music. I don't really prefer music. I just like the white noise.
04:57,Detective,"It's tough, man. I'm sorry."
05:01,Dylan,I'm sorry we're here.
05:04,Detective,"I think finally this is not hurting you by thinking about it. I mean I was thinking about it, but"
05:12,Dylan,What were you thinking about?
05:17,Detective,Just just realizing that it'd been a potential good friend or maybe I don't know. It's not going to be that person.
05:30,Dylan,"No, it hurts to think about it."
05:34,Detective,But you can help her.
05:37,Dylan,"She ain't going to be here, but that doesn't mean you can't help her."
05:40,Detective,Help her what?
05:42,Dylan,Help us find out what happened to her.
05:45,Narrator,"There are hardly any words to describe what Dylan must be feeling here. He was clearly born on the wrong side of the tracks and fell in with a bad crowd. He also clearly loved Samantha, which is really the biggest tragedy of all. Over the dozens of interrogations with witnesses that were conducted, detectives realized that Samantha was murdered over a small disagreement with Danny and Tony. It was needless, senseless and ruined countless lives, and Dylan is unwillingly right in the center of it all. The detective gives Dylan a moment to calm down and work through his emotions. Then he tells Dylan that he has one more chance to tell him what happened. Bring peace to Samantha's family."
