start_time,speaker_label,transcript
00:00,[Distressed individual],I've been crying.
00:01,[Individual giving instructions],Turn around.
00:02,[Individual describing a suspect],"Hispanic guy, beard, gray shirt."
00:05,[Individual pointing out a location],They're right there.
00:05,[Individual pointing out a location],Down here.
00:06,[Individual pointing out a location],Down here.
00:06,[Individual confirming a suspect's location],They got him.
00:07,[Individual pointing out a location],Down here.
00:08,[Individual claiming to have called someone],I called you.
00:09,[Individual asking to be called],Call me.
00:09,[Individual claiming to have called someone],I called you.
00:10,[Individual giving instructions to move],Both of you step over here.
00:11,[Individual responding to instructions],Okay.
00:12,[Scared individual],I'm scared.
00:12,[Individual giving instructions to move],Stay behind me.
00:13,[Individual reporting a suspect leaving],He's leaving.
00:14,[Individual reporting a suspect leaving],He's leaving.
00:15,[Individual reporting a suspect leaving],He's leaving.
00:15,[Individual reporting a suspect leaving],He's leaving.
00:16,[Individual reporting a suspect leaving],He's leaving.
00:16,[Individual reporting a suspect leaving],He's leaving.
00:17,[Individual describing an event],"I ran in the bar, I saw the guy on the floor."
00:20,[Individual giving instructions and warnings],"Hey, listen to me."
00:23,[Individual giving instructions and warnings],Both of you.
00:24,[Individual stating a suspect's location],He's in a hotel somewhere.
00:26,[Individual explaining why they are staying],That's why we're staying.
00:28,[Individual giving instructions and warnings],"Okay, you guys need to get into the stairwell."
00:30,[Individual giving a command],"Hands up, come out now."
00:35,[Individual giving a command],"Hands up, come out now."
00:37,[Individual giving a command],"Hands up, come out now."
00:39,[Individual expressing concern for children],We thought it was our kids. Our kids are a couple rooms down.
00:43,[Individual giving instructions and warnings],"Listen, you guys need to stay in this room. Don't come out for any reason, okay?"
00:46,[Individual acknowledging instructions],Okay.
00:47,[Individual giving instructions and warnings],"Do not come out, okay? There's an active shooter right now. Stay in the room."
00:53,Narrator,"At this point in time, officers do not have access to any of the CCTV footage, and it is difficult for them to find out who exactly the man is, let alone where he went. But getting their hands on this footage should only be a question of time. The security of casinos are often incredibly high, designed to quickly de-escalate dangerous situations like this, as we will come to see later in this video. The reason for this is part because of a shooting that happened back in Las Vegas in 2017. Due to the failure of that casino hotel security, they were forced to pay out over 800 million to the victims of the shooting, ensuring that security would be increased on all casino hotels, much like this one. Actually, it's very common for hotels, casinos, or other companies to be forced to pay out settlements like this. That's why I partnered with Morgan and Morgan, the company that fought for many of the victims of the 2017 shooting, helping them win over $800 million. And they could help you too, if you become their client. If you're seriously hurt, your injury could be worth millions. With over 1,000 attorneys, Morgan and Morgan will fight to give you the best results. And unless you win, they do it all for free. In just the past few months, Morgan and Morgan has helped hundreds of people. One car crash victim in Florida won a verdict worth $12 million, and another in Philadelphia, $26 million. That was 40 times more than their insurance offered. So if you ever get seriously injured, your case could be worth millions. And it takes only a few minutes to see if you have a case. You can start your claim with Morgan and Morgan by visiting www."
