start_time,speaker_label,transcript
00:00,[Complainant],"stand here and verify, okay, that we are being followed. We are being watched every time we come outside, okay? So if I"
00:09,[Complainant],"drive by and snap a picture of his license plate, it's for a reason. I'm not a crazy psycho. I'm just going to like straight up. Guys, am I a crazy psycho? I mean, am I like little bit right now, but I am not crazy and I'm not psycho. He has been driving down insidiously to other car, okay? And then they take turns switching out driving by. They have seen it. I have seen it. I never I I can't hear you. You don't have to yell."
00:42,[Complainant],I'm not trying to harass him. Let me speak that clear. I am not trying to harass him. I have no evil malicious intention whatsoever to just attack somebody like that. I am doing this for a reason for the safety of my kids and nobody's listening to me.
00:57,[Police Officer],Why are you following him?
00:59,[Complainant],We why am I following him? He's following me. He's followed us to guess and he's followed us. He's had people follow us. He's literally like just told you. He goes down the street and flashes his wife and then there's another car following him. I'm telling you that. You guys are right here witnessing it. It's not even just following me. He with people he's signaling when I leave my house. And they've seen that too.
01:25,[Police Officer],What do you mean signaling?
01:26,[Complainant],"He goes he goes to the end of our street before you hit, you know where you can go to either either cold sack. He goes to the end of the street and he does a do it. And he revs his engine and he us and he's signaling to either the the ex- police cop from Lick in the Hills that is with what's it called? Or or the guy with the blue car. But we've seen it for like you don't get it. Like do not attack me. You need to be looking at him. We the like children I are telling you that we are in danger and I've gone to the for like since March about this. And he is."
02:09,[Police Officer],All right.
02:10,[Complainant],He's a huge.
02:11,[Police Officer],Can you take can you take a breath?
02:13,[Complainant],Yes.
02:14,[Police Officer],But I I don't need you yelling at me. I'm trying to listen to you.
02:17,[Complainant],"But the thing is is like I'm sorry that I'm so frustrated, but it's like I've been you can check your records. Like go back and check your records. I've recorded this since March."
02:26,[Police Officer],"The guy with the doolie, that's the son. I I just told him to wait over there for now. Okay."
02:31,[Complainant],"You can check your like after this since March, beginning of March 2025."
02:37,[Police Officer],"After I left here, what did I what did I tell you?"
02:40,[Complainant],"You said I can basically take pictures from a sidewalk, a street. Basically, I just can't like go on his property, you know what I mean? And take pictures."
02:49,[Police Officer],Stop to him.
02:50,[Complainant],Which I did not do and I did not do that.
02:52,[Police Officer],But did I say go over there and take pictures? Do you think that's going to aggravate the situation?
02:57,[Complainant],"No. Or no, no, I don't care about aggravating the situation. If you leave and tell him not to do something and then he comes and does it again, maybe after you told him not to do something. What do you think I'm going to do to protect my kids? I'm going to walk down there and I'm going to take a picture."
03:12,[Police Officer],Where were your kids?
03:14,[Complainant],Outside. With me. They can vouch for everything. They can vouch for everything.
03:19,[Police Officer],Okay.
03:20,[Complainant],"So, what I'm saying is I am not stalking him. I am not against him. I don't I am not like that. I have no personal vendetta."
