start_time,speaker_label,transcript
00:00,Jamila,kid. I have two kids in here.
00:01,[Officer],Let go and get out of the car.
00:03,Jamila,I have two kids in here.
00:06,Jamila,I have two. You are a speaker. He keeps touching me. I have two kids in here.
00:09,[Officer],Get out of the car.
00:10,Jamila,I got two kids. I need somebody to come get my kids. You're scaring my kids.
00:13,[Officer],You're scaring your kids.
00:14,Jamila,"No, you are. I need somebody to come get my kids. No, I'm not getting out of my car. I'm not getting out of my car."
00:20,[Officer],This is incredible.
00:20,Jamila,"I didn't touch you, so don't touch me."
00:22,[Officer],Get out of the car.
00:23,Jamila,"I didn't touch you, so don't touch me. I didn't touch you, so don't touch me."
00:26,Jamila,"You're arresting me for not cuz I said I'm going to shoot you. That's not okay. So what? It's a freedom of speech, sir. It's a freedom of speech, sir. I can say what I want in my mouth. It's a freedom of speech. You're mad? You're mad cuz you're racist? You're mad cuz you're racist? Yeah, you're racist. You asked me was I Trump?"
00:41,Jamila,"Don't touch me. Don't touch me. Like I said, don't touch me."
00:48,[Officer],Don't touch me.
00:49,Jamila,Don't touch me. Don't touch me. Wait till your other officers get here. Don't touch me. I'll let them arrest me. You don't touch me.
00:55,Jamila,You don't touch me. You don't touch me. Stop touching me.
00:58,[Officer],He's just north of Jersey.
01:00,Jamila,Stop touching me. Stop touching me. Stop touching me.
01:04,[Officer],just north of Jersey.
01:06,Jamila,Stop touching me. I don't want you touching me.
01:08,[Officer],"24, they're 51 to you."
01:13,Jamila,Don't touch me.
01:14,[Officer],24.
01:15,Jamila,"I'm over here at 5. Rosie Street. By my house. He's arresting me cuz I told him I'm going to shoot him and I don't care. Cuz you're racist, sir. You're racist. And I got my license. I don't care. I got a registered license."
01:27,[Officer],You get out.
01:28,Jamila,I got a registered license. Don't touch me. Don't touch me.
01:33,Jamila,He keeps touching me and I told him not to touch me.
01:36,[Officer],24.
01:38,Jamila,"No, I'm not. I got kids in my car. I'm not going nowhere."
01:42,[Officer],"24, 26."
01:48,[Officer],"Yeah, he's right here."
01:50,Jamila,He's been in my car.
01:51,[Officer],"24, I'm 97."
01:53,Jamila,I don't want you to touch me. I don't want you to touch me. I don't want you touching me. I'll let somebody else.
01:55,[Officer],I don't want you to touch me.
01:58,[Officer],up against the car.
02:02,Jamila,"Can you please go get my kids, Ronnie, please? It's okay, baby. It's okay. It's okay. It's okay. It's okay. Don't cry. Do not cry. I love you. I'm sorry. I'm sorry. Don't cry. Don't cry. I love you. I love you. I'm sorry."
02:18,[Officer],It's still on the ground.
02:23,[Officer],You wouldn't act like this in front of your kids if you were sorry.
02:26,Jamila,He took my license plate out of my car for no reason. I have six days to get a license plate. It just expired today. Why did he take my license plate? I have six days to get a license plate. I'm going to drive without my license plate.
02:34,[Officer],Why are you acting like this?
02:40,[Officer],I'm right here.
02:42,Jamila,"You're not understanding what he did. He took my license plate off my car. In the state of Florida, you have six days to get a new license plate. It just expired today. It's not even expired yet cuz today is the 26."
02:46,[Officer],We're going to get it.
02:52,[Officer],Listen. Shut your pie hole for a second.
02:57,[Officer],I can't get a word in edgewise. All you want to do is yell at me. I'm trying to help you.
03:01,Jamila,"You're not even talking to you, sir."
03:02,[Officer],"I walked back to my car. She got out of her car, started walking towards me, said that she's going to shoot me, started calling me all kinds of racist names because I took her expired temporary license plate. I got back in the car. She started calling people. She wouldn't get out."
03:16,Jamila,My license plate expired today. It's not even the end of today yet.
03:20,[Officer],You just need to calm down. Let me see.
03:22,Jamila,"You took my license plate, understand? She got kids in the car too. My license plate expired today. This is me. I'm suing you. I am suing you. You cannot take my license plate if it's not even past today. If it was the 27th, I would understand. It's the 26th. You cannot do that. So you're going to jail. I'm telling you, I'm suing you. I am definitely suing you. I'm not scared. I am suing you. You touch my phone. You hung up my phone. Yeah, I'm suing you, sir."
03:49,[Officer],"No, I didn't."
03:51,Jamila,I am suing you.
03:52,[Officer],"He gloves just the body, so I think that it's I think it's step back. I don't think she has any pockets."
03:56,Jamila,"I'm not going to spread my legs. I've never been arrested before, so."
03:59,[Officer],"Well, I'm I'm helping. Listen to me."
04:02,Jamila,I'm ready. How far you want me to go?
04:03,[Officer],Step back.
04:12,Jamila,The partner did illegal shit. He did illegal shit.
04:15,[Officer],"I highly doubt it, but we're going to figure it out."
04:17,Jamila,"Sir, he took my license plate for no reason. Today's the 26th. Why did he take my license plate? Today. It's not expired, is it? I'm confused. Is that expired?"
04:23,[Officer],"I haven't been here. Okay, I haven't been here."
04:28,[Officer],Give me a minute.
04:30,[Officer],I just got here.
04:31,Jamila,I'm trying to bend my legs. I can't stand up like that.
04:34,[Officer],What's your name?
04:35,Jamila,Jamila.
04:36,[Officer],"Okay, attention, Jamila. So, once just went to body, so she should be good."
04:41,[Officer],I'll help you. I'll help you out. I'll be able to explain it to you. I'll be able to explain it to you.
04:46,Jamila,You cannot do that.
04:47,[Officer],I will be able to explain it to you once I know what all's going on.
04:50,Jamila,"Okay, I understand. But I want to I want to ask you a question. If my license plate expired today, I have until tomorrow to get a license plate, right?"
04:51,[Officer],All right.
04:58,[Officer],"We're going to get in the car, okay?"
04:59,Jamila,I have until tomorrow.
05:00,[Officer],Get in the car.
05:03,[Officer],She's in the car.
05:07,[Officer],"She's like, okay."
05:11,[Officer],She got out of the car as I was walking back to the car and said that she was going to shoot me. She needed her temp tag back and all kinds of stuff.
05:18,[Officer],"If you get out of the car, you're under arrest. She wouldn't get out of the car."
05:20,[Officer],I just held on to her the whole time cuz I wasn't going to taser with her kids in the car.
05:27,[Officer],I just got here. Somebody's calling.
05:30,[Officer],"So, hey. All right. Somebody, where's your mom's phone?"
05:39,[Officer],It was right here.
05:41,[Officer],It's out here on the leaf.
05:43,[Officer],"Somebody's been calling. I don't know who it is. They said it was grandma, but."
05:48,[Officer],"But yeah, if you want to take it back to her."
05:49,[Officer],"Yeah, cuz I don't it's locked."
05:53,[Officer],Yeah. I saw that.
05:57,[Officer],"All right, we're going to get somebody here for you, okay?"
06:01,[Officer],"So, what he told me, you told me you were stopped for he said for speeding. All right, so he was probably giving you a warning for that or what happened. He said the tag uh expired today. However, however, hold on, hold on. Let me finish. However, he said it'd been replaced."
06:11,Jamila,Right. Today's not over.
06:17,Jamila,I didn't know that. They didn't tell me that. It's a temporary tag.
06:20,[Officer],"Okay, but what happens is when it gets replaced, that temporary tag becomes no good at that point because now it belong now the car belongs to the new tag. Whatever it is, a new temp tag, a new hard tag, whatever."
06:34,[Officer],You guys have any water or anything? No.
06:38,[Officer],"But like I said, I've only talked to him for a little bit. But now the problem is where you are now is because of the screaming and yelling and whatever transpired prior to me getting here."
06:48,Jamila,For me screaming and yelling.
06:52,[Officer],"Well, apparently you threatened him and multiple things."
06:54,Jamila,I did. I did threaten him. That's not illegal.
06:57,[Officer],"when you get threatened to shoot somebody, that tends to be illegal."
06:59,Jamila,That's not illegal.
07:00,[Officer],It's not.
07:01,Jamila,"No, it's not. If I don't actually do it, it's not illegal. I can say what I want out my mouth."
07:05,[Officer],You only think if you shoot somebody it's illegal?
07:08,Jamila,"If it's if you shoot someone, it's illegal, but saying it doesn't put action into it. Actually doing it does."
07:13,[Officer],Okay.
07:14,Jamila,"But I did not actually shoot him, so that's not an actual arrest."
07:17,[Officer],I got you. I got you.
07:18,Jamila,So I'm trying to understand what I'm going to jail for.
07:20,[Officer],"Once we get all that sorted out, I've been back here with you almost the whole time."
07:23,Jamila,I didn't touch him. He watched his camera. I didn't touch him.
07:26,[Officer],Same with him. He got here way after me.
07:29,[Officer],"All right, hang out right here for me for a second, okay?"
07:32,[Child of Driver],How long is my mom going to be in here?
07:34,[Officer],"I don't know, sweetheart. I don't even know what's going on yet, okay?"
07:38,Jamila,"He said, well, I'm taking. I said, you can't do that. I said, when did it expire? He said today. I said, today's not over. I can see if it was the 27th. That's different, but today hasn't ended and it's a temporary license plate. It's not like it's a hard plate. It's a temporary license plate. And he said, no, I'm not getting. I said, sir, you need to get my license plate back. And that's when I got out the vehicle. I said, can you get my license plate back? He said, no. I said, you racist. I will shoot you. And then he came and grabbed me. I said, what are you grabbing me for? He said, because. I told you to get in the car. I said, okay, I can stand in the road if I want to. It's not illegal to stand in the road. He said, well, I'm going to arrest you. I said, for what? He said, get out of the car. I said, I'm not leaving my kids in this car. So I'm trying to understand where and when did that become an arrest?"
08:18,[Officer],"We'll get we'll get all that, all right? Don't worry. You know what? All this will be on body camera, so it won't even have to be your word against his. All right? I'm going to close this door. I'm going to give the deputy your phone for right now, okay?"
