start_time,speaker_label,transcript
00:00,[Police Officer],"How you doing, man?"
00:01,[Homeowner],What do you want?
00:02,[Police Officer],"Hey, come out and talk to me."
00:03,[Homeowner],"No, I don't need to."
00:04,[Police Officer],"All right. Well, what's going on tonight, man?"
00:07,[Homeowner],You called me?
00:08,[Homeowner's wife],I've been I've been standing here with you the whole time.
00:11,[Homeowner],Why the you out here?
00:13,[Police Officer],"Well, come out here and talk to me, man."
00:15,[Homeowner],"No, why the here?"
00:16,[Police Officer],"Okay, somebody called."
00:17,[Homeowner's wife],"Hey, come here."
00:18,[Police Officer],Here we go. Bye.
00:19,[Homeowner],"No, no."
00:21,[Police Officer],"95 saying, get me another unit out here."
00:28,[Homeowner],What you going to do? You can't do shit. Get a warrant.
00:31,[Police Officer],"Come out here, man."
00:33,[Homeowner],You want to play?
00:34,[Homeowner's wife],We're not doing that.
00:35,[Homeowner],Let's what? We're not doing that.
00:36,[Police Officer],No.
00:37,[Homeowner's wife],We're not doing that.
00:37,[Homeowner],You want to play?
00:38,[Police Officer],Come out here and talk to me.
00:39,[Homeowner],Move.
00:40,[Homeowner's wife],We're not doing that.
00:41,[Homeowner],You want to play?
00:42,[Police Officer],I don't want to play anything.
00:44,[Homeowner's wife],You're not slamming the door.
00:46,[Homeowner's wife],We're not doing this.
00:48,[Homeowner],Who called you?
00:49,[Police Officer],"Don't don't ball your fist up at me, man."
00:53,[Homeowner],"Oh, I'm holding my thumb."
00:55,[Police Officer],Okay.
00:55,[Homeowner],"You. If I were to ball my fist up at you,"
00:57,[Police Officer],"Come out here and talk to me, man."
00:58,[Homeowner],I'll push you in the ground.
01:00,[Police Officer],You're not that's not going to happen.
01:01,[Homeowner],You want to bet?
01:02,[Police Officer],"Man, I I'm just trying to see it was someone was concerned, somebody called."
01:07,[Homeowner],Who?
01:07,[Police Officer],It doesn't matter who.
01:08,[Homeowner],"Yeah, now, who?"
01:09,[Police Officer],It doesn't matter.
01:10,[Homeowner],Who called?
01:11,[Police Officer],"It doesn't matter, man. I just want to make sure everyone's safe."
01:14,[Homeowner],"Yep, everybody's safe. Thanks for stopping us."
01:16,[Police Officer],"No, that's not how this is going to work."
01:19,[Police Officer],How many people are in the house?
01:20,[Homeowner],Step step up here and threaten me one more time. Take one more step and now you're threatening and I'm going to put you in the ground.
01:28,[Police Officer],All right. Here's what's going to happen.
01:30,[Homeowner],"No, here's what's going to happen."
01:31,[Police Officer],Somebody called 911. I'm here to make sure everything's all right.
01:34,[Homeowner],"Okay, everything's fine."
01:35,[Police Officer],I'm going to talk to everybody in this house.
01:37,[Homeowner],"Yeah, everything's fine."
01:38,[Police Officer],All right. I'm not
01:40,[Homeowner's wife],We're not doing the door.
01:43,[Homeowner],You hit my door one more time. I'm going to put you in the goddamn dirt.
01:48,[Police Officer],You can step out of the way and I can talk to the rest of the people in this house. That's what's going to happen here.
01:52,[Homeowner],"No, no, you can't."
01:53,[Police Officer],You're not in charge of this is what's what's
01:55,[Homeowner],You want to bet?
01:56,[Police Officer],"Yes, I do."
