start_time,speaker_label,transcript
00:00,[Driver of the vehicle],That's have no right to be in my vehicle.
00:02,[Officer],Get away from the car. We've been trying to we've been trying to explain it to you guys. You just broke into our vehicle.
00:08,[Driver of the vehicle],"Stop, I want a supervisor."
00:09,[Officer],Supervisor.
00:10,[Driver of the vehicle],I want a supervisor.
00:11,[Officer],Supervisor.
00:12,[Driver of the vehicle],I'll call the 911.
00:13,[Officer],He's on his he's on his way.
00:14,[Driver of the vehicle],I'll call 911 again. I will.
00:16,[Driver of the vehicle],"If you pulled me over for a simple traffic infraction for the tag, then write me my ticket. I will deal with it at the DMV on Monday like I explained to you and that's the end of it."
00:26,[Officer],"That's what she was trying to do, but unfortunately."
00:28,[Driver of the vehicle],"No, she was not. You were called."
00:30,[Officer],Yes.
00:30,[Driver of the vehicle],Before she even did you It if it's a simple What is the reason why you need to be called?
00:32,[Officer],Which I'm allowed to do. You are extremely incorrect. I do not need a reason.
00:38,[Driver of the vehicle],"What is the reason he need to be called? Because a simple traffic ticket. Yes, there is."
00:39,[Officer],It's a traffic ticket.
00:41,[Officer],"No, there isn't. Yes, there is."
00:42,[Officer],"Ma'am, where are you getting this information from?"
00:45,[Driver of the vehicle],Oh my goodness.
00:46,[Officer],"Unfortunately, it's wrong."
00:48,[Driver of the vehicle],Okay.
00:49,[Officer],She wasn't.
00:49,[Driver of the vehicle],"My dog stepped on it and I kept asking for a supervisor. The dog, the buttons work while the key until that door opens, they won't stop going up and down. My dog rolled it down."
00:59,[Officer],Okay.
01:00,[Driver of the vehicle],While I was asking for a supervisor and I refused to go any further till a supervisor. But I'm you still need to respect me as a citizen. It's a simple traffic stop. Write me my ticket and I will go about my day.
01:02,[Officer],You still didn't listen to what I'm telling you. I'm not listening.
01:11,[Passenger in the vehicle],Absolutely not.
01:12,[Driver of the vehicle],Why?
01:12,[Passenger in the vehicle],Because you have now delayed this and you are resisting.
01:15,[Driver of the vehicle],You stopped us from traveling.
01:17,[Officer],Is this ramp duty?
01:18,[Passenger in the vehicle],The supervisor is coming.
01:19,[Officer],"All right guys, he's on his way, but in the meantime, you guys need to step out. You'll be detained and you can talk to him when you get out."
01:23,[Driver of the vehicle],You can't detain me. I didn't do nothing.
01:24,[Officer],"Yes, I can."
01:25,[Officer],Are you either you step out or I'm going to have to put hands on your brother. I don't want to do that. So step out of the car.
01:28,[Driver of the vehicle],"Listen, if you touch me, that is called That is called aggravated battery. Don't touch me. Listen, you don't need I'll get out of my own free will. Get out. Why are you touching me?"
01:33,[Officer],Step out of the car.
01:38,[Officer],That's what I'm trying to tell you.
01:39,[Driver of the vehicle],Don't touch. You're being detained.
01:40,[Driver of the vehicle],Can well for what? What did I do? I am a passenger in a vehicle.
01:42,[Officer],Step out of the car right now.
01:45,[Driver of the vehicle],Can you not touch me and I'll step out myself.
01:48,[Driver of the vehicle],"Sir, I will step out myself."
01:50,[Driver of the vehicle],"What are you doing, bro? I got damage on my fucking neck."
01:53,[Officer],What are you doing?
01:55,[Driver of the vehicle],Stop.
01:56,[Officer],"You don't have a supervisor coming for you. Okay, right?"
01:58,[Driver of the vehicle],Yeah.
01:59,[Officer],"If you guys listen the first time, we wouldn't have to go through this."
02:01,[Bystander or another officer],"Dude, listen, you would have just did why are you being like this for me? You stop for real."
02:05,[Driver of the vehicle],I'm doing.
02:05,[Bystander or another officer],"That's what me and they had to do that, man. Bro, listen. That's why they saw. She came over here to mess with me for what?"
02:11,[Officer],"Nobody's listen, nobody's lying to you."
02:12,[Driver of the vehicle],Where's my door?
02:13,[Officer],We're explaining to you that what's going on and you're not listening.
02:16,[Bystander or another officer],"What you're doing, you know that, right?"
02:17,[Driver of the vehicle],We can't.
02:17,[Officer],"No, you can't."
02:18,[Driver of the vehicle],You can't.
02:19,[Officer],"Hey, back up."
02:20,[Driver of the vehicle],You cannot touch me and I'll step out myself.
