start_time,speaker_label,transcript
00:00,[Narrator],"In a matter of seconds, all patrols nearby received a notification to stop any red sedans they saw on the streets of Las Cruces. While Julian's vehicle was being tracked down, Officer Dollar, along with his partner, had a different task. It was reported Julian was living at this house. With him being on the run, police think there's a chance he could be hiding in the home."
00:23,[Narrator],"So the two officers would make their way into the home in hopes to find a surrendered Julian, or at least a clue of where he might be."
00:31,[Police Officer],"Yeah, it's wide open front and back. It's cluttered. It's just abandoned."
00:35,[Police Officer],"Las Cruces Police Department, anybody inside the residence, come out to the sound of my voice."
00:48,[Narrator],"There was no other choice but to enter the house forcibly and make sure the suspect wasn't hiding inside. For all they know, Julian could be waiting for them, and knowing he's armed, tensions are as high as ever for these cops."
01:05,[Police Officer],"Okay, guys."
01:06,[Police Officer],"Hey, pop box 249 on Western channel."
01:23,[Police Officer],Jesus Christ.
01:27,[Narrator],"After searching the remaining rooms inside the house, the suspect was nowhere to be found. But just as they thought they would be coming out with nothing, they received this message on the radio."
01:39,[Dispatcher],49 right now. A red Hyundai at high rate of speed going forward.
01:46,[Narrator],"An exact description of the car Julian used to flee the scene just near their position, a red Hyundai Elantra. Officer Dollar wastes no time and hops into his car. He must get to the suspect as fast as possible before the police lose track of him again."
02:04,[Dispatcher],"Vehicle should have a black bumper for the nose, possibly headed towards the Lester and it's going to be a newer model."
02:10,Officer Dollar,"25 Southbound on the speed at a high rate of speed, just past Gardner."
02:14,[Dispatcher],Southbound on the speed at a high rate of speed.
02:18,Officer Dollar,Pursuit authorized. Suspect on a gunshot.
02:24,Officer Dollar,"All right, he's going to stop. He's stopping in Milton."
02:28,Officer Dollar,He's got a gun!
02:34,Officer Dollar,"Central, he just shot at me three or four times on 24."
02:40,[Dispatcher],believe.
02:44,[Dispatcher],Is anyone with 855?
02:48,[Narrator],"The pursuit continued until the suspect closed into the intersection of University Wave and Aspina Street. A red light was shining bright for Julian to stop, but he didn't care and pushed on the gas. And just as he thought he could make it across,"
03:07,[Narrator],"the suspect plummets right into a silver car, knocking the innocent driver to the side of the road. The officers in pursuit sped up to the crash, but they can't rush to apprehend him just yet. As he already fired multiple rounds at Detective Dollar just a minute ago, and there was every reason to believe he will do it again. So they have to be ready to take Julian down if he makes any sudden moves."
03:34,[Police Officer],Show me your hands! Do it now! Do it now! Show me your hands! Get on the ground!
03:43,[Narrator],"Under multiple gun sights, the suspect has no other choice than to step out of the car and lie on the ground. Although he looks disabled, this doesn't satisfy Officer Dollar and his colleagues. From what they know, the suspect is still armed and could be pretending to be injured to try and catch them by surprise. Officer Dollar wasn't going to take any chances, so he decided to deploy a different weapon to make the suspect obey their commands."
04:10,[Police Officer],I got the dog!
04:13,[Police Officer],Do it now!
04:17,[Police Officer],Stay!
04:20,[Police Officer],Show me your hands!
04:24,[Police Officer],Get on the ground!
04:32,[Police Officer],Get on the ground!
04:35,[Narrator],"Right now, Julian seems disabled enough. A crash that could have killed him only left him with a concussion. He can't even stand up. Using a K9 in this scenario would be an overkill."
