start_time,speaker_label,transcript
00:00,[Narrator],to find out exactly what Nicole was holding back.
00:03,[Detective],"Do you know anybody that might have been have problem with or have given him problems, anything like that?"
00:11,[Detective],"Oh, I'm how was he on the job? I mean he had problems on the job, anything like that?"
00:16,[Detective],That you know of? I mean we don't know if anybody actually done anything to him or whether he might have just fell and passed out or whatever. That's why I asked you how much did he drink last night?
00:25,Nicole,I don't know.
00:26,[Detective],"Well, you said you drunk a bottle."
00:28,Nicole,I I was drinking last night.
00:29,[Detective],What you drink?
00:30,Nicole,"I I was drinking beer, sir."
00:32,[Detective],Has he able to drink alcohol to the point where he will fall out?
00:35,Nicole,"Yes, I told you, but he hadn't drank like that since. I mean, he might drink two or three."
00:41,[Detective],"Well, that's all. Is there anything else you can tell them?"
00:46,[Narrator],"According to Nicole, she and Daniel had been drinking the night before when a verbal argument escalated into a physical altercation. However, she still insisted that he was alive and well when she left. Ultimately, detectives weren't able to get any useful information from Nicole and had no choice but to let her go. However, unbeknownst to Nicole, this was only the beginning of a very long week."
01:12,[Narrator],"Back at the crime scene, officers continued collecting evidence to determine who had been at the home at around 1:00 a.m. Now, with a search warrant in hand, officers moved into Daniel's home, hoping it would hold the evidence they desperately needed."
01:25,[Officer],"Well, I locked this door back."
01:28,[Officer],"I know the pastor out there. Danny there, he said he'd been counseling them. I guess they're not supposed to be in there."
01:33,[Officer],He said he told him to put them in the little.
01:38,[Officer],Looks like she cleaning her stuff out.
01:41,[Officer],"Yeah, I ain't seen no female stuff in there."
01:44,[Officer],He got a list of leggings.
01:45,[Officer],He know what's in here.
01:47,[Officer],This guy listen this.
01:50,[Officer],He said leggings.
01:52,[Officer],Shorts and crease.
01:54,[Officer],Leggings.
01:56,[Officer],"Comfort pits, pants."
02:00,[Officer],"Looks like the place ain't tore, ain't no blood nowhere. Sit out there."
02:04,[Narrator],"Unfortunately for officers, no evidence was found inside the home. With that in mind, officers expanded their search to the property outside, and that's when they made a critical discovery."
02:23,[Officer],Hey.
02:24,[Officer],What's that get a dread?
02:27,[Officer],Yeah.
02:28,[Officer],You're saying that is about subject to security.
