start_time,speaker_label,transcript
00:00,[Police Officer],"being questioned in a court of law. You have the right to have an attorney and to have your attorney present with you while you're being questioned. If you have, if you want an attorney but cannot afford one, one will be appointed before you, uh, before any questioning. You understand each of these rights?"
00:14,Carla,"Understanding these rights, do you wish to, uh, speak to me now?"
00:18,[Police Officer],Okay.
00:20,[Police Officer],"So, uh, there's a little bit of marijuana in the vehicle. So, what you guys will all be forthcoming. Where did you guys get it?"
00:27,Carla,We got it with us.
00:28,[Police Officer],From where?
00:29,Carla,Our house.
00:31,[Police Officer],"Well, it had to come from somewhere, right?"
00:33,Carla,"It's, it was given to us. It's ours."
00:35,[Police Officer],"Well, I understand that. So, it was given to you by whom?"
00:41,Carla,Someone.
00:42,[Police Officer],"Okay. I'm not going to force you to say anything. I can't force you to say anything. Um, so, is there any type of paraphernalia, anything in the vehicle, any receptacles used to smoke?"
00:52,Carla,Not that I know of.
00:54,[Police Officer],Okay. How long have you guys had the marijuana?
00:57,Carla,A couple of days.
00:58,[Police Officer],"Okay. So, this is why I tell him he needs a medical card."
01:05,[Police Officer],"I mean, that's understanding where is that you, you were within immediately proximal control of it. So, you would need one as well in the future. So, is there anything keeping you from having getting a medical card?"
01:17,Carla,"You know, I was waiting for the paycheck to come in so I can afford to make all the appointments and pay everything I need to do it."
01:22,[Police Officer],Where do you work currently?
01:23,Carla,Taco Bell. I got you.
01:25,[Police Officer],"I got you. So, again, right now you're not under arrest. Just asking questions. Is there anything you'd like to tell me that I had to think thought of asking?"
01:34,[Police Officer],Fair enough. Where do you reside at currently?
01:36,Carla,On Burden Lane.
01:37,[Police Officer],"Okay. So, uh, your identification says that you have an address out of Rogers. Is there a reason you have a different address?"
01:43,Carla,"Yeah, we just moved."
01:44,[Police Officer],"Okay, just how, how long ago was that?"
01:47,Carla,Not even a month yet.
01:48,[Police Officer],"Okay. I appreciate your honesty. Honesty is refreshing. Do you have any, uh, questions that you can think of, Corporal?"
01:58,Carla,There.
02:01,[Police Officer],"So nothing that has happened is worthy of it being the end of the world, obviously."
02:06,Carla,"I just need to know because I'm supposed to work tonight. I need to know. I understand. As soon as I have any answers, I, I promise you, you'll be the first to know."
02:14,[Police Officer],"I would grant you that courtesy and respect, so, clearly if I didn't want to be courteous, I wouldn't be giving you a cigarette."
02:20,Carla,"I know, I appreciate it. Thank you very much."
02:21,[Police Officer],"You understand. I, I understand entirely. Getting stopped by the police is never a comfortable situation, so."
02:33,[Police Officer],"Although I no longer have any further questions, Officer Martinez may. So, but one way or another, we'll get you a resolution sooner rather than later. I assure you."
02:51,[Police Officer],"Aside from what's going on, do you have any questions for me at this point?"
02:55,Carla,"No, he already told me why you got pulled over, so."
02:58,[Police Officer],Yeah.
02:59,[Police Officer],"Is there anything keeping, uh, either you or him from getting your license valid?"
03:04,Carla,"I haven't paid the reinstatement fee for his yet. My court date's later in the month, so I get mine, so."
03:09,[Police Officer],I didn't see how long has your license been suspended?
03:12,Carla,"I'm honestly not sure. It's been a while. I don't know where the Little Flock courthouse is, so."
03:15,[Police Officer],I got you.
03:18,[Police Officer],Okay.
03:21,[Police Officer],"Could you give me an approximation? Over six months, over a year?"
03:24,Carla,It's been over six months.
03:25,[Police Officer],Okay. But not quite a year?
03:27,Carla,"No, I don't think it's been a year."
03:28,[Police Officer],"Okay. If it's a reinstatement fee, those typically aren't that much, so hopefully there's something you guys will be able to get done."
03:36,Carla,"He just got his reinstated and found out he had to pay a fee on it, so."
03:42,Officer Martinez,"Sure, you don't have it."
03:43,[Police Officer],I read him Miranda. Okay.
03:46,Officer Martinez,What's your first name?
03:47,Carla,Carla.
03:48,Officer Martinez,"Carla? Hey, come over here."
03:56,Officer Martinez,"Hey, guys."
03:57,[Police Officer],Where'd you guys get it?
03:59,Carla,I don't know where he got it.
04:00,[Police Officer],Where'd you get it?
04:01,Officer Martinez,"Um, in between here and Gravette. Grabbed it out there."
04:05,[Police Officer],Okay.
04:08,Officer Martinez,This is from.
04:12,[Police Officer],What type of car?
04:14,Officer Martinez,What type of car?
04:15,[Police Officer],What type of car?
04:16,Officer Martinez,I don't know what type of car.
04:18,[Police Officer],What type of car?
