start_time,speaker_label,transcript
00:00,[Police Officer],"all the way back there, but in the plaza, is there anything in that plaza you know about?"
00:04,[Passenger],I think there is there is a there is a um The Mexican restaurant in there?
00:08,[Police Officer],The Mexican restaurant in there?
00:09,[Passenger],"Yeah, the corner plaza right on Monterey in front of uh Speedy gas station."
00:17,[Police Officer],"Okay. So you were you were if Speedy marks here, you were here on the intersection. Okay."
00:21,[Passenger],"the left lane, the left lane."
00:22,[Police Officer],And the left lane. Yes. Okay.
00:26,[Police Dispatcher],"K92199, can you 56 for a single one?"
00:30,[Police Officer],"Um, let me get your license, all your guys's license and you're in the vehicle so I can document it."
00:35,[Passenger],Uh
00:36,[Police Officer],And where did she hit you in the front?
00:38,[Passenger],"Uh, no, she hit it from the back."
00:39,[Police Officer],"In the back, okay."
00:42,[Police Dispatcher],There's a little scratch in there.
00:46,[Police Officer],Yeah. And then she's got from the front left side.
00:49,[Police Dispatcher],K92 copy 28.
00:52,[Passenger],"Now, did you get a massage behind you?"
00:55,[Police Officer],You get my massage?
00:56,[Passenger],You did not.
00:57,[Police Officer],Dark Lexus.
01:03,[Police Dispatcher],Can I put my on side anytime?
01:10,[Police Officer],Hello. Hi. So
01:14,[Passenger],She backed into me.
01:15,[Police Officer],At on the roadway? So why did you not stop?
01:18,[Passenger],insurance on.
01:19,[Insurance Agent],"I did stop. I pulled over. I rolled down my window. I said, can we please pull into Water's Edge? The um like"
01:29,[Police Officer],"Okay. You know, right there. She freaked out on me. She said, what do you mean? I'm going to sue you. blah blah blah."
01:36,[Insurance Agent],Okay.
01:37,[Passenger],I work in insurance. I see this every day. I'm so sorry and that's when I went away. She backed into me.
01:43,[Police Officer],"Okay. So you're involved in a crash, but you didn't stop though. Instead."
01:46,[Passenger],"I did for her. And she's like, I'm calling the police right now. I'm suing you."
01:49,[Police Officer],That's what you should be. That's what happens. You call the police. Okay. Where are you coming from?
01:54,[Passenger],My sister's boyfriend.
01:57,[Police Officer],What's that? What's Zach? Or is that a a house you're coming from? Okay.
02:00,[Police Officer],Yes. All right. Do you have your uh registration and insurance on you?
02:07,[Passenger],here. My insurance is on my phone. I'll give it to you because I am an insurance agent.
02:14,[Police Officer],Find your registration first so I can get that and copy your insurance on that.
02:19,[Police Dispatcher],Okay.
02:21,[Police Officer],"Once you get once you get out here, I can talk, right?"
02:37,[Insurance Agent],"Hello. What's going on? We come to the house. I am working with. I'm not. I mean, this person backed into me. I don't know what to do about this. Like right in front of the waters. The like car these no plates. She freaked out on me. She's some stupid panic in a Lexus. Because I drove, she came out of her car screaming at me. So I panicked and I drove away. No, she did and they followed me here. So now I have three police officers in this stupid. That's the only thing you have in your car. Okay. No, they're about to come back from the um registration. I'm sorry. I'm sorry. I'm sorry. They're freaking out. No, they're not. No, this police officer is screaming at me. Not screaming. Sorry. You're not screaming at me. Sorry."
02:44,[Police Officer],"Yes, you are."
02:46,[Passenger],Okay. Can you take me off?
02:50,[Police Officer],"Can you take me off, please?"
02:55,[Police Officer],What?
02:58,[Police Officer],"Okay, that's fine."
03:01,[Police Officer],Okay.
03:05,[Passenger],You have please because I'm not on the dash. I'm not.
03:15,[Police Officer],Okay.
03:24,[Police Officer],Okay.
03:40,[Police Officer],Okay.
03:44,[Police Officer],Okay.
03:48,[Police Officer],Registration.
03:54,[Police Officer],"No, they're not. No, this police officer is screaming at me."
03:58,[Police Officer],Not screaming. Sorry. You're not screaming at me. Sorry.
04:04,[Police Officer],"Okay, that's fine. Stay in the car."
04:08,[Police Dispatcher],"Okay, that's fine. Stay in the car."
04:11,[Passenger],I am. Like I just came on the desk and I don't know what to do and they're not here.
04:15,[Police Officer],This is um expired. You have a new one?
04:18,[Police Officer],Okay.
04:20,[Passenger],I'm sorry. You just fucking.
04:22,[Police Officer],You still live on drive?
04:24,[Passenger],I have now.
04:25,[Police Officer],"Okay, is the still a current phone number for you? Okay. All right. So so far you gave me an expired insurance and a registration. Try to look for an updated one, okay? What's a good email for you?"
04:37,[Police Officer],So this happened right there uh north of the intersection where the car washes? What lane were you in?
04:42,[Passenger],Yes.
04:44,[Insurance Agent],I was in the second to the right. I wasn't turning right. I was going straight. She pulled out right and stopped.
04:52,[Police Officer],Okay. So she pulled So she pulled out from another lane or pulled out of the plaza there at Planet Fitness.
04:57,[Insurance Agent],She pulled out from the second lane to the right. So she was going to turn down Monterey and pulled out.
05:00,[Police Officer],"So she was going to turn down Monterey. Okay, and pulled out."
05:03,[Police Officer],Okay. Okay. And pulled out in front of you and stopped. Okay. Then she backed into you?
05:08,[Insurance Agent],Yes.
05:10,[Insurance Agent],Yes.
05:11,[Police Officer],"Okay, she went in reverse and backed in?"
05:13,[Insurance Agent],Yes.
05:18,[Insurance Agent],I'm an insurance agent. Like I have it. I just was trying to get it. You can take it on my phone.
05:20,[Police Officer],You can take it on my phone.
05:24,[Police Officer],Okay.
05:26,[Police Dispatcher],You need a 94.
05:31,[Police Officer],Okay.
05:38,[Police Officer],Are you injured?
05:40,[Insurance Agent],Me?
05:41,[Police Officer],Yeah.
