start_time,speaker_label,transcript
00:00,[Police Officer],So what comments did you make to your granddaughter that would would be concerning this evening?
00:04,Sam,I just told her I'm going to go have a couple drinks and then I'm over. That's it.
00:10,[Police Officer],Did you mention something about seeing grandma tonight?
00:12,[Police Officer],"I said, Did you mention something about seeing grandma tonight?"
00:15,Sam,"No, huh."
00:16,[Police Officer],"I would like for you to talk to somebody tonight. I would like for you to talk to a medical professional, okay? I don't want to have to drag you up to the hospital, but I most certainly will. I think based off of what the granddaughter has told us tonight and kind of the"
00:28,Sam,"Oh, she told you?"
00:29,[Police Officer],Yeah.
00:30,Sam,"Oh, shit. Yeah."
00:32,[Police Officer],"Yeah, so"
00:33,[Police Officer],"She was she was crying when we talked to her. I mean she's yes, she was very emotional."
00:38,[Police Officer],Her best friend and and are currently at the apartment because of what you said.
00:42,Sam,Wow.
00:43,[Police Officer],"Based off of what they have told me tonight, I'm going to give you one or two options. You can go up willingly and talk to a medical professional tonight."
00:49,Sam,Okay.
00:50,[Police Officer],Or I can take you up there and you'll stay there for 72 hours. Okay?
00:54,Sam,I can't have my granddaughter come get me?
00:55,[Police Officer],"No. Based off of what you've told us and what's going on in your life right now,"
00:59,Sam,Yeah.
01:00,[Police Officer],You need to talk to somebody. I don't think that we would be doing our due diligence to do our job to make sure that you're not going to hurt yourself based off of what's going on in with you and your girlfriend.
01:11,Sam,Right.
01:12,[Police Officer],"Okay? I you need to talk to somebody tonight. Okay? And so the best course of action is to go up to the hospital, your choice, to go to talk to somebody about it tonight."
01:22,[Narrator],"Sam's mental state was clearly deteriorating. Whatever happened to Aline, regardless of his involvement, was really getting to him. Following this, Sam would be placed in a psychiatric facility for the next two days, where he would undergo therapy and psychiatric care."
01:38,[Narrator],"During these two days, detectives would aim to gather more intel on the case. This time by interviewing the family of Aline and Sam. They'd bring in both Justin Brammer, Sam's son, and Nicole Shipper, Aline's daughter, and both of them would reveal significant details, crucial to solving the case."
01:58,Zach Milner,This is Detective Zach Milner.
02:00,[Interviewer],I just want to get as much history as you can tell me or talk to me about when it comes to your mom. What was their relationship like over there?
02:09,Nicole Shipper,Not a healthy one.
02:10,[Interviewer],Okay. What do you mean by that?
02:12,Nicole Shipper,"He didn't like her drinking. He thought he could change her from just like get her to stop drinking. I told him that he can't because she won't change for her kids. She's not going to change for a man. And he seemed that to think that he could change her, so he kept trying with her, but there was things on his part and her part that were not healthy. They both had jealousy issues. They both had he has a very short temper. Very short temper. And the littlest things will set him off and it's just it's like ridiculous. Um, when they were good, they were good. When it was not, it was I was constantly in the middle of it because she's my mom and that's his my boyfriend's dad and They were good when they weren't drinking. Especially when she wasn't drinking. Um, she she'd bicker, she'd argue. They start arguing. It just escalate. Next day they were fine. They just they go to bed angry."
03:29,[Interviewer],Mhm.
03:31,Nicole Shipper,Did you ever see it get physical?
03:32,[Interviewer],No. Never seen it get physical.
03:35,Nicole Shipper,"He told me she grabbed her he she grabbed him by her neck a couple times, but that was about it."
03:40,[Interviewer],Okay. Why would he grab her by the neck?
03:42,Nicole Shipper,"No, she grabbed him by the neck."
03:44,[Interviewer],"Oh, okay."
03:44,[Narrator],"It seemed like Sam and Aline had a rocky relationship, but it rarely escalated to the point of violence. And if the fights did turn violent, it was Aline doing the physical harm to Sam."
03:55,[Interviewer],"The week prior to last Monday, what was going on?"
04:01,Nicole Shipper,"They're separated. Um, she called me before she went missing, telling me how"
