start_time,speaker_label,transcript
00:00,[Driver],This car is it in front with my grandparents.
00:03,[Police Officer],"Okay, go ahead and step out."
00:05,[Driver],Why?
00:06,[Police Officer],Just go ahead and step out. We'll speak we're going to speak um at the mirror of your vehicle.
00:11,[Driver],Can you tell me when she's done speaking on my phone? She's on my phone.
00:14,[Police Officer],"Go ahead and step out. I'm not going to ask you again. Cuz if I have to ask you,"
00:18,[Driver],"Okay, arrest me."
00:19,[Police Officer],Do you give her a phone just so she's not.
00:21,[Police Officer],Are you not willing to come out voluntarily?
00:24,[Driver],"I would have been happy, but she's talking to my grandparents."
00:28,[Police Officer],Okay.
00:28,[Driver],And she can give me my phone back and then I'll step out.
00:33,[Police Officer],"Okay, let me get the corner verse so I can talk to him."
00:35,[Driver],Okay. I don't have an issue with her talking to her grandparents.
00:37,[Police Officer],"Okay, what's the reason for speaking to your grandparents?"
00:40,[Driver],I cannot find this car key for my parents. My grandparents.
00:46,[Police Officer],This vehicle's key?
00:48,[Driver],"Yeah. No, I can't. And I'm not going to like evade the police."
00:51,[Police Officer],"Okay, I'm going to get the phone back to her. I don't have any issue to evade the police."
00:55,[Driver],I want to abide by the police.
00:57,[Police Officer],"Right. So if you just collaborate with us, things are going to go a lot smoother."
01:03,[Driver],I would love that.
01:04,[Police Officer],"Okay. See, see, see, this is what I mean. Like, okay, fine. I'm happy to stop."
01:09,[Driver],"Okay, thank you. Just go ahead and step out."
01:10,[Police Officer],"Okay, thank you. Just go ahead and step out."
01:14,[Police Officer],"We're going to we're going to speak over here, okay?"
01:17,[Driver],Okay.
01:18,[Police Officer],"Okay. We're going to speak right here, okay?"
01:21,[Driver],Okay. All right. So the reason why
01:23,[Driver],"Yeah, I can't find the car key and to like I I'm from Connecticut."
01:30,[Police Officer],Okay.
01:31,[Driver],And I can't seem to like relax here. I don't know what's going on cuz I can't find my car key.
01:38,[Police Officer],"Okay. We'll help you out with that, okay? So first thing, have you been drinking tonight?"
01:45,[Driver],No.
01:46,[Police Officer],No. You've had no drinks.
01:48,[Driver],No.
01:49,[Police Officer],Were you driving this vehicle tonight?
01:51,[Driver],Yeah.
01:52,[Police Officer],"All right, so this is what's going to happen, okay?"
01:54,[Driver],"Yeah, just take me in. Please do it right now. Cuz I know where I'm going. So it's going to be really great."
02:01,[Police Officer],"Based on what I'm seeing right now, it appears that you're intoxicated."
02:03,[Driver],"Great, great, great. So we're having a great conversation right now and you are going to act like it's not going to be great. Look, I'm not parked in front of this place."
02:11,[Police Officer],"Sorry, you don't want to participate in the exercises?"
02:14,[Driver],"God, yeah. My Celine glasses for what? For what? For what? Seriously? For what? No, no. Give me the Bible, you motherfucking bitch. I'm a freaking Christian."
