start_time,speaker_label,transcript
00:00,[Customer being accused of shoplifting],"Okay, cuz she's like saying that you guys took like necklaces and makeup and"
00:03,[Friend of the customer being accused of shoplifting],"No, we we didn't even get through like the actual. And we actually told her and she didn't say anything."
00:08,[Customer being accused of shoplifting],"She didn't say anything. She said she was like, sorry about my co-worker's actions and I was like, no, you just need to make sure that I'm not making it like seem like we're trying to steal anything."
00:17,[Customer being accused of shoplifting],"Yeah. You know, so that's why I I gifted her like the concealer bag and she took it back. You couldn't even go and ask her. I gifted her the concealer and it was like this spray sanitizer thing and I just gave it back to her and she just took it back."
00:28,[Police Officer],So you never gave you never took anything.
00:31,[Customer being accused of shoplifting],"Oh, no. We went to other like we went to an Ulta but we bought the stuff there and everything. They see me buy everything."
00:37,[Police Officer],Okay. Yeah.
00:38,[Police Officer],Do you mind staying right there? I'm going to go talk to the. Okay.
00:42,[Police Officer],Can you stop digging your bag?
00:43,[Customer being accused of shoplifting],She's looking for her phone.
00:45,[Police Officer],"Okay, I don't want her digging in her bag. I don't know what's in the car."
00:47,[Customer being accused of shoplifting],You can literally open the door if you want. I don't care.
00:50,[Customer being accused of shoplifting],"No, I'm just being honest. Like if you want to look"
00:53,[Police Officer],"I'm not going to go search into your car, but I don't"
00:55,[Customer being accused of shoplifting],I need a warrant if you're going to look at my car.
00:57,[Police Officer],"Okay. First of all, I'm not going to do the attitude. I'm not going to have her sitting here digging her bag when I don't know what's in the car. Got it?"
01:03,[Police Officer],"Well, I'm telling you. I'm telling you. I don't care what she's looking for. I don't want her digging her bag when I don't know what's in the car. So lose the attitude. Thank you."
01:11,[Customer being accused of shoplifting],"Okay. I'm just like feel like I'm being targeted, but if you want"
01:14,[Police Officer],Why are you being targeted? Because I asked her to stop digging through her bag?
01:17,[Customer being accused of shoplifting],And I told you why she was digging through her bag.
01:19,[Police Officer],"Okay. And I'm telling you, I don't care because I don't know what's in the car."
01:21,[Customer being accused of shoplifting],I apologize. I apologize.
01:26,[Customer being accused of shoplifting],"I'm not giving attitude. It's just the fact that she's like, oh, hey, like, you know, like"
01:30,[Customer being accused of shoplifting],I understand why.
