start_time,speaker_label,transcript
00:00,[Suspect],I have I'm trying to pay for my.
00:03,[Loss Prevention Officer],"Yeah, come on. We're going to go to the we're going to go to the loss prevention office."
00:06,[Suspect],Let's go.
00:07,[Loss Prevention Officer],"Let's go. Hey, so the jig's up, you understand why we're here, right? So you're being detained pending a theft investigation. So go ahead and hang up the phone."
00:14,[Suspect],My mom is paying for it with your credit card.
00:16,[Loss Prevention Officer],"No, let's go."
00:17,[Loss Prevention Officer],We'll we'll talk to you in the back and control the money.
00:20,[Suspect],Sorry.
00:22,[Suspect],I can't pay for my.
00:33,[Loss Prevention Officer],"All right, here's your here's your one opportunity, okay? Right now you're lawfully detained if you provided me with a false name or date of birth, I'm going to charge you with fail to identify. I'm going to give you 15 seconds to rethink. Did you give me a good name and date of birth?"
00:47,[Loss Prevention Officer],"Okay, we're going to find out, but."
00:49,[Suspect],I told my mom to pay for the money with my credit card on my phone.
00:53,[Loss Prevention Officer],We're going to take this off for now.
00:55,[Loss Prevention Officer],We're going to take the purse off.
00:57,[Suspect],I can't.
01:00,[Suspect],I paid for all my stuff. $540 for this stuff.
01:06,[Suspect],Can I just call you?
01:07,[Loss Prevention Officer],Where's your receipt?
01:11,[Suspect],I haven't I was on the phone with her and it wouldn't go through and I have can she just tell you what she was paying for it?
01:18,[Loss Prevention Officer],"Yeah, that's not how that works though. Going to pay for it doesn't mean that you can leave the store."
01:22,[Suspect],I was paying for it. It just wouldn't work for the thing on the thing.
01:25,[Loss Prevention Officer],Okay.
01:26,[Suspect],I can pay for it now.
01:28,[Loss Prevention Officer],Did you conceal anything in your purses or bags?
01:31,[Loss Prevention Officer],Just be be straight up because we've got a lot of security cameras.
01:33,[Suspect],I have the the belt.
01:34,[Loss Prevention Officer],What's that?
01:35,[Suspect],I everything that I have I already have. I already I already told you that. So the there was mine when I came in here. I paid $540 for that stuff. Not to mention $200 for the for what? Damn thing.
01:48,[Loss Prevention Officer],"All right, so they watched you conceal items in your bag, so I'm going to retrieve those items, okay? Do you have any other stolen property on your person?"
01:59,[Suspect],Yes.
02:00,[Loss Prevention Officer],Yes.
02:03,[Loss Prevention Officer],Okay.
02:04,[Suspect],Yeah.
02:04,[Loss Prevention Officer],"Yeah, this is stolen merchandise. All right. Stand up."
02:08,[Loss Prevention Officer],Stand up.
02:10,[Loss Prevention Officer],"Hey ma'am, so we can't have you eating and stuff like that while we're in our in our detention, so we're going to put you in handcuffs for now. Stop. Stand up."
02:15,[Suspect],You don't have to grab me like that. I will stand up. I will stand up.
02:18,[Loss Prevention Officer],Stand up. You're just being detained with handcuffs for now. I'm just pending a theft investigation again.
02:23,[Suspect],My mom is going to pay for all of it.
02:25,[Loss Prevention Officer],"Okay, well we'll we'll work through that, okay?"
02:27,[Suspect],You can't tell me I'm not trying to pay for my item.
02:29,[Loss Prevention Officer],Okay.
02:30,[Suspect],I have the money for it.
02:31,[Loss Prevention Officer],"Hey, so we're going to work through. We're going to talk to the employees. We'll talk to them."
02:34,[Loss Prevention Officer],Okay.
02:36,[Loss Prevention Officer],"They watched you conceal items in your bag, which gives me reasons to go into your bag to retrieve stolen items."
02:42,[Suspect],I have my tags that I can. That's my shirt. It's not from here.
02:50,[Suspect],I want to call my lawyer.
02:51,[Loss Prevention Officer],Okay.
02:52,[Suspect],You can't take my phone away from me. I want to call my lawyer.
02:54,[Suspect],I want my lawyer present on the phone while you're searching my bags. Do you understand?
02:58,[Loss Prevention Officer],"No, you're not."
02:59,[Loss Prevention Officer],Do you have an ID in here?
03:01,[Suspect],No.
03:02,[Loss Prevention Officer],"She has a tight on that belongs to us, but I'm going to have her keep those, but I am going to put it on charges for her, okay? Because they I don't we don't want to back."
03:11,[Loss Prevention Officer],Some stuff paid for.
