start_time,speaker_label,transcript
00:00,"[Driver of the car, being questioned by police]","Hang out right here with me, okay? I just want to look at my kids, please, my kids."
00:03,[Police officer],"Okay, just touch me. Go ahead. I just want to see."
00:06,[Police officer],"Okay, calm down, okay?"
00:08,"[Driver of the car, being questioned by police]",Why? What is going on?
00:10,[Police officer],"Okay, we'll explain everything to you in a second. Just hang out, okay?"
00:12,"[Driver of the car, being questioned by police]","I just want to look at my kids, please."
00:13,[Police officer],"Okay, who's in the vehicle with it?"
00:15,"[Driver of the car, being questioned by police]",My kids.
00:15,[Police officer],Just the kids?
00:16,"[Driver of the car, being questioned by police]",Yes.
00:17,[Police officer],Okay. Okay. Can you let me see my kids? That's a
00:19,"[Driver of the car, being questioned by police]",Okay. Okay. Can you let me see my kids? That's a
00:20,[Police officer],"Yeah, just a second, okay?"
00:21,"[Driver of the car, being questioned by police]",Okay.
00:22,[Police officer],How many kids are in the vehicle?
00:23,"[Driver of the car, being questioned by police]",Why can't I can't be close to them at all?
00:26,[Police officer],"Just stay right here, okay? They're still trying to figure everything out."
00:29,"[Driver of the car, being questioned by police]","Hold them, I mean, aguántalo, aguántalo. Don't let them go in the car."
00:33,"[Driver of the car, being questioned by police]",Can they call my mom for just in case?
00:36,[Police officer],They're good.
00:37,"[Driver of the car, being questioned by police]","You got your phone, puppy?"
00:38,[Police officer],"Oh, he can grab his phone."
00:40,[Police officer],"Just give him, give him a couple minutes."
00:42,"[Driver of the car, being questioned by police]","Hold, Aquiles, por favor."
00:44,"[Driver of the car, being questioned by police]","Oh my God, the baby got autism, please."
00:46,[Police officer],Okay.
00:47,"[Driver of the car, being questioned by police]",I don't want him.
00:48,[Police officer],They're they're okay right there.
00:49,"[Driver of the car, being questioned by police]",I'm if you can cut off the switch.
00:52,[Police officer],Cut off?
00:53,"[Driver of the car, being questioned by police]",To cut it he's asking how to turn it off.
00:55,[Police officer],"Yeah, how do you turn it off?"
00:56,"[Driver of the car, being questioned by police]",Cut the the switch on the bottom. My son can help him. He got his auto him.
01:01,[Police officer],No.
01:02,"[Driver of the car, being questioned by police]",I'm positive.
01:03,[Police officer],Do you have any family that can take care of the kids?
01:05,"[Driver of the car, being questioned by police]",I'll call my mom.
01:06,[Police officer],You have a phone in the car?
01:07,"[Driver of the car, being questioned by police]",My phone? Yeah.
01:09,"[Driver of the car, being questioned by police]",Me?
01:10,[Police officer],Yes.
01:10,[Police officer],Your mom.
01:12,[Police officer],"Is that who's coming, who's"
01:13,"[Driver of the car, being questioned by police]","Yeah, you call again."
01:15,"[Driver of the car, being questioned by police]",Call her again.
01:16,"[Driver of the car, being questioned by police]",Am I being arrested?
01:18,[Police officer],"So unfortunately, yeah, you have no license."
01:21,[Police officer],Your license is not valid.
01:22,"[Driver of the car, being questioned by police]",Do you speak Spanish?
01:23,[Police officer],"I don't speak Spanish, but I speak English. We speak English perfectly."
01:26,"[Driver of the car, being questioned by police]","I do, but no."
01:26,[Police officer],You're understanding just fine. You don't have a license. Your license isn't valid.
01:31,[Police officer],Plus it's all
01:32,"[Driver of the car, being questioned by police]",I don't know why.
01:33,"[Driver of the car, being questioned by police]",Yeah.
01:34,"[Driver of the car, being questioned by police]","No, but it's not with me. I have the other piece. It's not with me that broke."
01:39,[Police officer],"I'll I'll look into it to see exactly why, but your license is not valid."
01:43,[Police officer],Okay? Plus you got kids in the back seat of the vehicle that don't have proper restraints.
01:47,"[Driver of the car, being questioned by police]",Yeah.
01:47,[Police officer],So you're going to get tickets for that as well.
01:49,[Police officer],Okay?
01:50,[Police officer],"And then you're probably going to get hit with resisting also because an officer does a traffic stop, your boyfriend, husband, baby daddy, whoever takes off running, and then you get in the car and you decide to leave."
01:58,"[Driver of the car, being questioned by police]",I wasn't driving. I didn't know.
02:00,[Police officer],"So you don't leave a traffic stop. They call stop the car and stop the car and all the occupants are detained and not from the leave. You leaving is resisting that officer's authority, okay?"
02:12,"[Driver of the car, being questioned by police]",I wasn't driving.
02:14,[Police officer],Do you have anything on you that you shouldn't have?
02:16,"[Driver of the car, being questioned by police]",Do you want to search it?
02:17,[Police officer],I don't.
02:18,[Police officer],"All right, come come stand right here."
02:20,[Police officer],Face the car.
02:21,[Police officer],You don't have anything on you that's going to stick me quickly.
02:23,"[Driver of the car, being questioned by police]","No, no, I don't."
02:25,[Police officer],"Keep facing the car, okay?"
02:26,"[Driver of the car, being questioned by police]",I'm sorry.
02:27,"[Driver of the car, being questioned by police]",This is my brother.
02:28,[Police officer],Yep.
02:29,[Police officer],I just got to
02:30,"[Driver of the car, being questioned by police]",Yeah.
02:31,[Police officer],"All right, face the car. Spread your feet a little bit more for me."
02:34,[Police officer],"All right, nothing I didn't find."
02:35,[Police officer],You can't cuz it's an extra charge if we get to the jail and it's you got something on you.
02:38,"[Driver of the car, being questioned by police]","You go you go to wait, okay?"
02:41,[Police officer],"Take a seat and they'll let you at the end, okay?"
02:43,[Police officer],Take a seat.
02:44,"[Driver of the car, being questioned by police]",Oh.
