start_time,speaker_label,transcript
00:00,[Unidentified speaker],Oh.
00:01,[Police Officer],"Brittany, come out here and talk with us for a minute, please."
00:03,Brittany,I'll be right here.
00:04,[Police Officer],All right.
00:05,[Unidentified speaker],Negative.
00:06,[Dispatcher],"Stand for 5867743, you can 22740, I'll put your writing. 67, you go ahead."
00:11,[Police Officer],Okay. What happened earlier at the uh educational support center today?
00:15,Brittany,I don't think I need to do your job for you. You've seen the video.
00:18,[Police Officer],So what happened?
00:19,Brittany,The bitch got robbed.
00:20,[Police Officer],"Okay, so why'd you go there?"
00:22,Brittany,Cuz she wanted to keep threatening me.
00:24,[Unidentified speaker],She's just going to.
00:25,[Police Officer],Threatening you how?
00:26,Brittany,Huh?
00:27,[Police Officer],Threatening you how?
00:28,Brittany,"Well, did you read everything? Did you do your job? Then you know. So why are you here?"
00:32,[Police Officer],"Cuz I'm trying to figure out what's going on. There's two sides to every story, right?"
00:35,Brittany,"Well, figure it out. Not mine."
00:36,[Unidentified speaker],Right early shirt and uh way to shorts.
00:39,Brittany,"Unless you have a warrant or need to say anything else, have a good night."
00:42,[Police Officer],"Okay. Come here, come here."
00:44,[Unidentified speaker],"If you kick the door, that's felony."
00:46,[Police Officer],I think they barricaded it with something. Open the door.
00:49,[Unidentified speaker],He's still here in there.
00:50,[Unidentified speaker],"Yeah, she's over here."
00:51,[Police Officer],Okay.
00:52,[Police Officer],"That male's in there too, just so you know."
00:54,[Unidentified speaker],"Yeah, there's kids in there too."
00:55,[Police Officer],"Yeah, I know, that's why."
00:56,[Unidentified speaker],Right to have resistant.
00:58,[Police Officer],"Hey Diaz, can you go over this side of the house?"
01:01,[Police Officer],"Brittany, come out here now."
01:02,Brittany,No.
01:03,[Police Officer],Yes. Get a warrant.
01:04,Brittany,No. Get out here now.
01:06,Brittany,And then I will leave.
01:07,[Police Officer],"Get out here now, you're going to get tazed."
01:08,[Police Officer],Do you have a only warrant? Yeah. Okay.
01:11,[Police Officer],"There's kids in the house though, so."
01:12,[Police Officer],"You know what? You go taze her, I'll go leave."
01:14,[Police Officer],I'm just going hands on.
01:15,[Police Officer],Big thing is I'm worried about boyfriend in there.
01:17,[Police Officer],"Hey, she says she's coming out through this door."
01:19,[Police Officer],Tell her to come out now. We're not going to beat her up. We never were going to beat her up.
01:23,[Police Officer],Cover this front door here.
01:24,[Police Officer],I got it.
01:25,[Unidentified speaker],She's coming out.
01:26,[Police Officer],Said she's coming right now.
01:28,[Police Officer],"Okay, thank you."
01:29,[Police Officer],"She's getting arrested for felony possession of cocaine, disorderly conduct and obstructing."
01:34,[Police Officer],So tell her to come out. All right.
01:36,[Unidentified speaker],My guy.
01:38,[Police Officer],I have I I have four of my cops here right now.
01:41,Brittany,"I'm scared as hell, okay?"
01:43,[Police Officer],Exit now. Turn around.
01:44,Brittany,"Um, I'm not, you don't need to detain me. I got to go."
01:47,[Police Officer],Turn around.
01:48,Brittany,I'm not. Stop.
01:49,[Police Officer],Turn around. Put your hands behind your back.
01:50,Brittany,You do not need to do that. You're hurting me.
01:52,Brittany,I'm recording.
01:53,[Police Officer],We're recording. We're recording the whole stop.
01:55,Brittany,Thank you.
01:55,[Police Officer],You're the one doing this.
01:56,Brittany,You do not need to touch me like this. I am.
01:59,[Police Officer],You're under arrest.
02:00,Brittany,"Okay, you don't need to fucking manhandle me."
02:04,Brittany,You did not need to fucking handle me like that. There is no reason when I said I was coming out with my fucking hands up and my kids were at the goddamn.
02:14,[Police Officer],"Well, now you're catching disorderly conduct."
02:15,Brittany,I don't give a fuck.
02:16,[Police Officer],Obstructing charge.
02:17,Brittany,That's cool. Add it on.
02:20,Brittany,Dumb pig.
02:21,[Unidentified speaker],Sure do got one.
02:23,[Police Officer],"Don't kick anything, please. Separate your feet. You got pockets?"
02:27,Brittany,"No, obviously. You know what?"
02:28,[Unidentified speaker],Get out.
02:29,[Police Officer],Get in the front. Get in the front.
02:30,Brittany,She said she come outside.
02:32,[Police Officer],Do not touch.
02:33,Brittany,You're making me touch you hard the way you want me to.
02:35,[Police Officer],Separate your feet.
