start_time,speaker_label,transcript
00:00,[Police Officer],Come on outside. You got your hands up to you.
00:02,[Police Officer],What's going on here?
00:05,[Police Officer],"Okay, so Ian, is his promise no plane staying out here?"
00:09,[Narrator],"This is the father and son who own this ranch house in the New Mexico desert, miles from anywhere. Police believe a murderer is hiding inside their home. Thomas Lopez, a man who days earlier beat his girlfriend to death."
00:26,[Police Officer],Do you know where he might be staying at or anything?
00:28,[Narrator],"But what makes this interesting is that the son is in fact hiding this man, and the father is about to find out that his son is protecting a murderer inside the vents of his own home."
00:41,[Police Officer],They said he might be in the vent.
00:43,[Police Officer],"Thomas, Thomas, talk to me, man. I know you're down there."
00:46,[Police Officer],We don't come over here for simple stuff.
00:48,Ian,"Yeah, yeah, yeah, yeah, yeah."
00:49,[Police Officer],So what's up?
00:50,Ian,Yeah.
00:58,[Narrator],"On the 24th of February, police were called to a hospital in New Mexico to investigate something horrifying. 26-year-old Sabrina Calderon had just been brought in, unconscious, covered in bruises, barely clinging onto life."
01:11,[Nurse],"Um, so her name is Sabrina Calderon."
01:15,[Police Officer],Calderon.
01:16,[Nurse],Is in such like dehydration that her kidneys are failing. She is too sick for even us to take care of.
01:21,[Police Officer],And who brought her in?
01:22,[Nurse],I believe they said they thought it was her dad.
01:25,[Police Officer],"What is that, would you say? Is that something from being, being hit?"
01:28,[Nurse],She's 26 years old. She should not be in this condition.
01:32,[Narrator],"Sabrina is in such critical condition that the nurses are almost certain she won't survive. But what made the hospital so suspicious is that Sabrina's injuries were that of someone who had been viciously beaten, and the man who dropped her off left almost as quickly as he possibly could. The hospital called in police, but with no leads, the cops decided to use her emergency contact info and call up her dad to see if he could shed any light on what just happened."
01:58,[Police Officer],"Can you hear me now, Mr. Calderon?"
02:00,Mr. Calderon,"Yes, sir."
02:00,[Police Officer],"Could you tell me what happened real quick, why she has these injuries?"
02:03,Mr. Calderon,"Uh, yes, sir. Uh, Thomas Lopez, he got her from here. I guess at knife point. He took her over there and uh"
02:10,[Police Officer],Where's over there?
02:11,Mr. Calderon,It's a ranch house. He had her locked up in a room and he was just beating her. She said he was beating her every day.
02:17,[Narrator],"That was almost disturbingly simple. Apparently, a man had taken her at knife point from her dad's home and was beating her every day at a house out on a ranch somewhere in New Mexico. The cops find it extremely strange that he never contacted police, so there is some amount of suspicion to cast on him. Regardless, they ask him for some details about the guy that he claims did this to her, knowing that if this lead hits a dead end, they know who to suspect next."
02:44,[Police Officer],Where does he live at?
02:45,Mr. Calderon,He was just going from place to place.
02:47,[Police Officer],How did you get her?
02:48,Mr. Calderon,He ended up picking her to the hospital and I think that's for that. And dropped her off and took off.
02:52,[Police Officer],Do you know what he looks like?
02:53,Mr. Calderon,I I sure don't. I sure don't.
02:55,[Police Officer],Can you say his name one more time?
02:56,Mr. Calderon,"Uh, Thomas Lopez."
02:58,[Police Officer],Thomas Lopez. Okay.
03:00,[Narrator],"Police now have a name, Thomas Lopez. The victim's father claims that Lopez was the one who both attacked and dropped Sabrina off at the hospital, which would explain why he was in such a big rush to leave."
03:12,[Police Officer],Where do you think he resides mostly in Carlsbad or in Portalis?
03:15,Mr. Calderon,"I mean, he he just stays wherever he could, I guess."
03:18,[Narrator],"It seems like Thomas is going to be extremely difficult to track down. The cops don't have a description of him. He has a common name and constantly jumps from place to place without a known address. If this guy had gone on the run, it could be weeks before they managed to find him. But that's when everything changed. Sabrina briefly woke up and found the strength to confirm that it was indeed Thomas that had done all this to her, and she managed to give police the address of the ranch her father mentioned. All before taking her final breath and dying moments later."
03:49,[Narrator],"Sabrina had just solved her own murder. Immediately, the cops head to the address heavily armed."
