start_time,speaker_label,transcript
00:00,Aisha,I don't want to make any decisions for them.
00:00,[Police Officer],I don't want to make any decisions for them.
00:04,Aisha,"Why can't I make any decisions? Can you just let me call her on my phone, please?"
00:08,Aisha,I'm asking you one thing.
00:10,Aisha,"Just one simple thing, please."
00:13,[Police Officer],"We can walk and talk, okay?"
00:15,Aisha,"Okay, can I just tell you all?"
00:17,[Police Officer],We're walking and talking.
00:26,[Police Officer],This is the Shanda Mall.
00:28,Aisha,Yes.
00:28,[Police Officer],Okay.
00:29,Aisha,I'm sorry.
00:30,[Police Officer],We're walking.
00:31,Aisha,Can I get I can show you the phone in my email?
00:34,[Police Officer],I'm sorry.
00:35,Aisha,You guys don't have to arrest me.
00:36,[Police Officer],We do.
00:37,Aisha,I mean.
00:43,Aisha,Can I can I get the phone to call her?
00:44,[Police Officer],We'll get back there in the car.
00:47,[Police Officer],Last one.
00:49,Aisha,Okay.
00:51,[Police Officer],It's the last one.
00:52,[Police Officer],"Sure, I get my car."
00:53,Aisha,"Oh, do you?"
00:53,[Police Officer],Yeah.
00:55,[Police Officer],"Oh, right."
00:56,[Police Officer],Go pull it up.
00:57,[Police Officer],That's right there.
00:58,Aisha,"Oh, I see."
01:01,Aisha,What?
01:02,Aisha,"Okay, so you know what happened in the mail? It was a check that was in the mail and I went to the bank that is at and they said that it's a fake check. So I want to um take me down to the jail because they I said um I came to the bank because um they said that I got a check in the mail. They said that the check was fake and now the officer wants to take me to the County jail to talk about it."
01:33,[Police Officer],"No, no, no."
01:36,[Police Officer],You're going to jail.
01:38,Aisha,They said that I'm going to.
01:39,[Police Officer],You're not going to talk about it. You're getting booked into the jail.
01:42,Aisha,"Ma, can you put the fire on the phone?"
01:45,[Police Officer],You can't call anyone here.
01:53,Aisha,"Ma, can you please tell tomorrow that I'm trying to tell her that I got a check my mail and I came to the bank for them to verify and they said that I was over here trying to cash a fake check and now they want to take me to the County jail on 33rd, which I wasn't trying to cash the check. I was trying to get them to verify it."
02:10,[Police Officer],right now.
02:11,Aisha,"Yeah, I'm downtown if you guys can come and talk to them or you."
02:15,[Police Officer],"You're not coming here. You're going to jail. You'll get a phone call jail, okay? We're done."
02:19,Aisha,You're not taking me to the jail.
02:20,[Police Officer],"All right, we're we're done. We're going to get you rolling."
02:23,[Police Officer],"Actually, do you have any weapons on you?"
02:25,Aisha,"No, I have nothing."
02:26,[Police Officer],Okay. All my stuff is in.
02:27,[Police Officer],What's in this pocket right here?
02:28,Aisha,Keys.
02:29,[Police Officer],Keys.
02:30,[Police Officer],To your car?
02:32,Aisha,Can you call her again?
02:34,[Police Officer],"I'm not making any more phone calls right now, okay?"
02:36,Aisha,But I was telling her what happened. You guys just.
02:38,[Police Officer],You'll be able to get a phone call from the jail when you're there. You can explain to her what happened.
02:42,[Police Officer],Okay.
02:43,[Police Officer],"So if you bring anything into the jail, drugs, knives, guns, anything like that."
02:46,Aisha,Okay.
02:47,Aisha,Just the car keys.
02:48,[Police Officer],Do you have anything tucked into your bra or anything like that?
02:50,Aisha,No.
02:51,[Police Officer],We're not we're not going to check so it's kind of on you if you have jail.
02:53,Aisha,"No, I have nothing."
02:55,[Police Officer],All right.
02:56,Aisha,I have nothing.
02:57,Aisha,We're just my wallet.
03:01,[Police Officer],"I'll see you, Aisha."
03:04,Aisha,Okay.
03:04,[Police Officer],You'll be the first one.
