start_time,speaker_label,transcript
00:00,[Police Officer],Let me see your hands. Hands out the window.
00:06,Eliza,"I got a kid in here, be careful. I have a kid in the back seat. No, don't grab me. Don't grab me. Don't grab. What are you grabbing me for? What are you grabbing me for? What are you recording me? Recording me?"
00:15,[Police Officer],"Okay, I'm trying to. Don't grab me. Don't grab me. I'm getting out. I'm getting out. I'm getting out. Do not grab me. Do not grab me. I'm going to give you my door. Those people threw that shit at my car. I have no problem giving my license. I promise. I have no problem."
00:27,[Police Officer],"Well, you saw the blue lights, right?"
00:29,Eliza,"I did. Yeah. That's why I pulled over right here. No, I pulled over right here. I got off on the accelerator trying to get away from."
00:33,[Police Officer],accelerated trying to get away from.
00:35,Eliza,"No, I did not. I pulled over. I pulled over. I'm not hiding from you. I just got out of jail. I'm not hiding from nobody."
00:41,[Police Officer],I didn't say you were hiding.
00:42,Eliza,Okay.
00:43,[Police Officer],But it damn sure looked like you were trying to evade. Is this your vehicle?
00:47,Eliza,"Yes, my grandma's."
00:48,[Police Officer],What's this?
00:49,Eliza,That's my medical just in case.
00:51,[Police Officer],Is there any in the car?
00:52,Eliza,"No, no, no, no."
00:53,[Police Officer],"Well, then I'm not worried about it. Who do you got with you?"
00:55,Eliza,My son and my boyfriend.
00:57,[Police Officer],Okay. And
00:59,Eliza,"Christian, get out. Step out. Step out. Hands up."
01:02,Christian,"Step out, sir."
01:03,[Police Officer],"No, I want you to stay in the car. Do you have ID with you?"
01:05,Eliza,I got his ID right here. I got your ID. I got your I got his ID right here. I got it. I got it.
01:10,[Police Officer],Okay. What's going on?
01:12,Eliza,Damn people threw two fucking sodas at my car.
01:15,[Police Officer],Where?
01:16,Eliza,"On the interstate, bro. And I didn't they cut me off. They almost made me crash. They were doing the fucking most. I did not do nothing to."
01:23,[Police Officer],Where are you?
01:24,Eliza,Where at in Florida?
01:25,Christian,There. There.
01:26,[Police Officer],From where?
01:26,Eliza,Yes.
01:27,[Police Officer],Okay. Where?
01:28,Eliza,I just got out of jail. We're going to Alabama. That's it.
01:31,[Police Officer],Where where at did they throw the bottle?
01:33,Eliza,"It had I'm not good with mileage and shit. It had to be about 5, 10 miles back. They were throwing shit. They were flicking me off. Do you have the videos of them bitches flicking me off and doing all that extra shit? They were doing so, bro, please, because I I refuse to go to jail over this. They started throwing shit at my car first. If you can you please?"
01:52,Christian,So here.
01:53,Eliza,"Oh, do you see all this? This is all from them. And then up here it was all wet from here. Eliza."
01:56,[Police Officer],Hold on.
01:59,Christian,That's what?
02:00,[Police Officer],It's wet.
02:01,Eliza,"Yes, do you see the lines? Do you see these lines? That's all from them throwing something in my car. Hit my shit. I have a six-year-old."
02:07,Christian,They threw a bottle of water in the car and it almost made her crash us.
02:11,[Police Officer],Where the where the
02:12,Eliza,He's in there.
02:13,[Police Officer],"All right, tell you what."
02:14,Eliza,I just have to pee so bad. Can I just piss?
02:17,[Police Officer],"Not right now, no."
02:18,Eliza,Can I just piss?
02:19,[Police Officer],Just stand right there.
02:21,Christian,"When we were driving, there was this other car, newer version car, um, looked like it had a new tag on it. You're okay if I record this, right?"
02:27,[Police Officer],I'm recording. We're all recording.
02:29,Christian,"Yeah. So, we're driving. That car comes past us. Um, they tried to cut us off. We slowed down a little bit. They come around, they rolled their window down and they threw a bottle of water through the car and it and it went they hit the kid and then it hit inside the car and we were just doing trying to get."
02:45,[Police Officer],She saw my lights. I was trying to catch up. She passed me. She was driving that other vehicle. Be quiet. I was trying to catch up. She was trying to get away. She was weaving in and out of cars trying to get away.
02:55,Eliza,I got to pee. I have to pee. I have to.
02:57,[Police Officer],Do you have anything illegal on you?
02:58,Eliza,I don't. You can take me.
02:59,[Police Officer],"No, no, no, no, stop."
03:01,Eliza,"Okay, I'm just telling you. I'm just telling you. I don't have nothing. I just have to pee."
03:04,Christian,She got to the restroom.
03:06,Eliza,"Can I piss, please? Or I can be here and you can watch me. I don't care."
03:09,[Police Officer],No.
03:10,[Police Officer],"All right, what's going on?"
03:11,Christian,"She just came up behind me. I was passing an 18 wheeler and she just came up behind me and I noticed she swerved and almost hit my car. So I sped up a little bit to get away from her. Um, and I got over to the right lane if I remember correctly. And then she started I know she started swerving more around other cars. I'm like, okay, she's probably on something. Um, and when she got closer to me, I'm like, I'm not doing this. So I kind of tried to get away from her because I have a two-year-old, almost two-year-old daughter in the car. I don't want to risk her life or anything. So I tried to get away from her and then she started following me and then they started throwing something at me. I couldn't see it for sure."
03:42,Eliza,They first hit their water bottle. And the second they they threw like some like brown object at us. And then she there's multiple times where she tried to by like the bars are where the ramps are. She almost ran us up in that.
03:52,Christian,She like this would be the lane and then she would be right here. And I had no choice to get into the breakdown lane or put really close to the guard rail. And then hard break. They were blowing kisses at us. I don't know what they were doing.
04:05,Eliza,She was laughing the whole time and the guy was just encouraging her.
04:09,Christian,And I'm pretty sure he was recording too.
04:10,Eliza,Yeah.
04:11,[Police Officer],"You guys will hang tight, okay?"
04:14,Eliza,Am I being detained? Can I go?
04:16,[Police Officer],"No, you can't go."
04:17,Eliza,Huh? Come here.
04:19,Eliza,Am I being detained?
04:20,[Police Officer],"Yeah, you're being detained."
04:20,Eliza,For what? For what?
04:21,[Police Officer],Because I'm investigating something.
04:23,Eliza,"Investigating? Okay, tell me what's going on and then you can detain me. You know what's going on. I know the laws and I know you can't detain me without a probable cause. So what is it? They threw their shit at me and I got the picture and video."
04:33,[Police Officer],Okay. You wait at the vehicle.
04:35,Eliza,"Go! Go! I'll show you. Come on, let's go. I'll show you."
04:38,[Police Officer],I'll be out there in just a minute.
