start_time,speaker_label,transcript
00:00,[Witness],"And then the next day, that's when he had her by the hair, dragging her out."
00:04,[Witness],She was going to go.
00:07,[Narrator],"Not only did Julian physically abuse his wife, but also threatened her life multiple times before actually going and fulfilling those threats."
00:17,[Narrator],"There was only one person left to question, Jasmine herself, the victim of this twisted crime. Only she could tell the true story behind closed doors, that is, if she would ever recover from this vicious attack. Doctors could not promise her survival. Two shots to the abdomen are too severe for any person to survive. Likely, it was already too late for her."
00:44,[Narrator],That's why the officers transporting Julian to the hospital needed Julian to survive. They wanted to hear his side of the story and understand one simple question. What drove him to try and take the life of his own wife and the mother of his four little boys?
01:00,[Narrator],"But when they finally arrived at the hospital, cops quickly ran into a new problem."
01:06,[Police Officer],That's what I'm talking about.
01:08,[Police Officer],Right there.
01:09,[Police Officer],I'm talking about.
01:11,[Police Officer],Yeah.
01:12,[Police Officer],So stop kicking.
01:14,[Police Officer],I got.
01:15,[Police Officer],I bet.
01:18,[Police Officer],Shut the fuck up.
01:20,[Police Officer],What is that?
01:22,[Police Officer],"Hey, there's sick people."
01:24,[Police Officer],"Hey, calm down. You understand me? You calm down."
01:29,[Police Officer],Let's.
01:30,[Police Officer],"There's there's kids around here. I know you don't, but I do."
01:35,[Police Officer],What do you guys need from here?
01:36,[Police Officer],I step with the this is what happens.
01:39,Michael,Nurse Michael.
01:40,[Police Officer],"No, no."
01:42,[Police Officer],"You're not going to like this. So I'm going to try to get you to calm down, okay? We're going to put you back to injuries. I'm not going to play."
01:50,[Police Officer],You understand?
01:53,[Police Officer],Okay.
01:56,[Police Officer],"Are we asked the doctor, so."
01:58,[Police Officer],I'm going to shoot me.
02:04,[Police Officer],"Let's go, man."
02:05,[Police Officer],"Let's go, man."
02:07,[Police Officer],We coming.
02:09,[Police Officer],"You're going to sit on this wheelchair where we'll get you to the car, okay?"
02:13,[Narrator],"Right after the crash, the police discovered a pistol with an empty magazine along with several half-empty bottles of beer inside. This explains Julian's erratic behavior during and after the arrest. Additionally, on his way to the police station, Julian admitted to shooting his wife in cold blood, all without interrogation. But as you'll soon see during the questioning, even details like this can suddenly vanish, because once they brought Julian to the interrogation room, he had already forgotten everything."
02:44,Melinda,"Having all that in mind, you want to talk to me because I know you give me your version of what's been happening and what not."
02:49,Julian,I don't know what's happening.
02:51,Julian,I've been drinking for three days.
02:56,Julian,I see an alcohol.
02:59,Melinda,"Well, if you want to keep them closed and it's easier for you to talk that way and you're not struggling, that's fine. Just don't fall asleep on me."
03:05,Melinda,Was there anything other than alcohol you were drinking?
03:07,Julian,No.
03:08,Melinda,What type of alcohol you drinking?
03:11,Julian,Budweiser.
03:12,Melinda,Budweiser?
03:13,Melinda,Okay. Can or bottle?
03:18,Julian,Bottle.
03:19,Melinda,Bottles?
03:20,Melinda,"Okay. So for three, why for three days? What's been going on?"
03:25,Melinda,You and your lady been having some problems?
03:29,Julian,No.
03:30,Melinda,Huh?
03:31,[Narrator],"This only confirms why Julian is so visibly intoxicated, and it's honestly a surprise he's even able to understand and talk with the officer. Still, his condition might complicate the interrogation process. After all, alcohol can lead to lapses in memory. He simply might not remember the events of that evening, a perfect excuse for someone like him in this situation. But this isn't going to be good enough for Detective Melinda to accept. So he keeps pressing for a confession."
04:00,Melinda,What what happened at the house with your wife? With Jasmine?
04:04,Julian,I don't remember.
04:06,Melinda,I think you do because you told them what happened.
04:08,Julian,I don't remember going in there.
04:13,Julian,I don't remember what to do.
04:16,Melinda,Mhm.
04:17,Julian,I don't remember.
04:18,Melinda,Where'd you pull the gun out from?
04:21,Julian,I don't remember what pocket.
04:24,Melinda,"Which side, which pocket did you have it in?"
04:26,Julian,I don't remember.
04:28,Melinda,What type of gun is it?
04:30,Julian,I don't remember what's going on. I just know I cannot see nothing.
04:40,Melinda,"That's fine, dude. I don't want you to see anything. I want you to remember things and talk to me about things."
