start_time,speaker_label,transcript
00:00,[Interviewer],"get it out. Tell me, tell me the whole thing about what happened, what was said, why it happened."
00:06,[Narrator],"Slowly but surely, Edgar begins to crack. The tears begin to flow and his consciousness starts to catch up to his actions."
00:14,[Interviewer],"This seems like from what you've described, it's kind of spur of the moment thing. So something happened. I'd like to know why."
00:21,Edgar,I wish I did.
00:29,Edgar,"I'm not going to say like, yeah, we did. Yeah, we did."
00:33,[Interviewer],"Yeah, I can tell."
00:34,Edgar,"Yeah, I can tell."
00:35,[Interviewer],How many how many times did you shoot the floor?
00:39,Edgar,I don't know.
00:40,[Interviewer],Do you remember?
00:40,Edgar,"I don't know. I don't remember any of that. I just remember talking to someone about snowboarding. I remember talking to someone about skiing. And I just remember like leaving like, you know, talking around. And I just remember a bunch of AIs put it everywhere. And I remember like earlier like in in the night like once we got here to like we we headed out of sight to like pretty late. We headed out like probably like at 9:00, you know? Exactly like four hours away, four hours and a half away. And my girlfriend was driving like, look at the miles on the car, you know? Okay. We were breaking in that car. We had a good time. Okay. And we fucked it up again."
01:29,Edgar,"How did how did you know this guy? Just talking regardless, something different there. Just there. Like I I had taken my girlfriend up to her room. So I I had taken her up to our room. And she was like, you want to stay down there? And I was like, oh no, like it's Nevada, like they don't have like like California, you know, you can't you can't serve alcohol after 2:00 a.m. Yeah, I'm aware of that. And I was like, all right, like I mean, it's Nevada, like I've never experienced that. I've never experienced Vegas. I've never experienced anything. Like it would be nice to experience that. Okay. So then she was like, I was hoping you're not there. She was like throwing up. She was like like out of it thing on and like because like she was drunk. I was like, I decided to go back down and I don't know what happened. I just remember being like fucking this up there. Like now. I remember I was just living. I don't know where."
01:33,[Interviewer],Just there.
01:51,[Interviewer],"Yeah, I'm aware of that."
02:39,[Interviewer],Do you always carry your gun with you?
02:41,Edgar,I don't.
02:42,[Interviewer],You don't?
02:43,Edgar,My dad hates it. My mom hates it. My mom hates the fact that I own a gun. My dad hates the fact that like there's a gun in the household. I've never been raised with the firearm like that.
02:57,[Narrator],"With no plausible reason for his actions, there was no escape for Edgar. His actions were downright horrible and nothing more than him doing"
