start_time,speaker_label,transcript
00:00,[Police Officer],"Hey, yeah, I'll keep you posted. Okay. I already told you if if that is your name, I'm not taking you to jail tonight."
00:05,[Police Officer],Okay? So I need you to try and relax a little bit.
00:08,[Police Officer],Cuz I can't get your side of the story if if you're not able to speak with me.
00:12,[Police Officer],So what all were you going to try and sell?
00:15,[Police Officer],"Out of the things that you took, what were you going to try and sell?"
00:18,[Police Officer],Are you scared from me or whoever this is about what's going to happen?
00:23,[Police Officer],I'm not going to answer it.
00:25,[Police Officer],Is that person outside right now?
00:27,[Police Officer],"No, he's not outside."
00:28,[Police Officer],He's waiting for you.
00:30,[Police Officer],What would you suggest is the third option?
00:33,[Police Officer],You are obviously very scared right now and I don't know why.
00:36,[Police Officer],But you're the one who chose to come in here and try and steal things.
00:41,[Police Officer],"So for me there's two options, either send you something in the mail or book you into jail."
00:46,[Police Officer],"So if there's something else you would like to talk to me about, we're here for that."
00:49,[Police Officer],But I can't force you to tell me whatever's going on.
00:51,[Police Officer],I heard something about your husband.
00:56,[Police Officer],"Can't do it to your husband, is that what you said?"
01:00,[Police Officer],"Okay, do you have an alternative mailing address?"
01:03,[Police Officer],Somewhere else that we can send it to you?
01:05,[Police Officer],Then I don't have another option.
01:07,[Police Officer],So is there something going on at home that you need to talk to us about?
01:10,[Police Officer],"Well, they're wanting to assist in prosecution."
01:12,[Police Officer],So I am going to send a charges.
01:15,[Police Officer],You're going to get a citation in the mail for a court date for the theft.
01:20,[Police Officer],"Okay, do you have any questions for me as of right now?"
01:23,[Suspect],I don't know how I can come to court.
01:26,[Police Officer],You won't come to court?
01:27,[Suspect],I don't know how I can get to court.
01:32,[Police Officer],"I don't know, that's out of my control."
01:34,[Police Officer],Mr. Huff here has some trespass stuff to go over with you.
01:37,Mr. Huff,"All she has to do is just sign this, but when I brought it up to her, that's when he started calling, so then I got away just because I didn't want her to."
01:43,Mr. Huff,"All you have to do is just sign this, okay? Can you just sign it for me, please?"
01:46,[Police Officer],"You broke the law, which is why we're here, and my partner's saying if there's something else you want to tell us unrelated to what happened tonight, you can."
01:54,[Suspect],What?
01:55,[Police Officer],"Like if something's going on at home that you need to tell us about, you can do that."
02:01,[Police Officer],"Okay, for right, let's do this one step at a time. Do you want to sign this, yes or no? You don't have to, but they would like you to."
02:06,[Police Officer],"Yes, okay, can you sign that for me?"
02:08,[Police Officer],Just your name at the bottom.
02:10,[Police Officer],You cannot come back here ever again.
02:12,[Police Officer],"Okay? If you do, you are trespassing."
02:14,[Police Officer],"So we're going to let you go, we're going to walk out with you and then you need to leave the target parking lot."
02:20,[Police Officer],Okay? Would you like the case number? Would you like the case number?
02:24,[Suspect],I cannot.
02:25,[Police Officer],So we're we're letting you go for today and then you're going to get something in the mail.
02:29,[Police Officer],That's where we're at.
02:30,[Suspect],I don't know how to get to court.
02:32,[Police Officer],"I don't that's that's up to you. If you use public transit, you can call an Uber, whatever you need."
02:36,[Police Officer],But for right now we need to go.
02:37,Mr. Huff,He's trying to go home.
02:39,Mr. Huff,And we got other people calling for help.
02:41,Mr. Huff,Can you go alone?
02:42,[Police Officer],"Sure, we'll walk a ways behind you. Yes, but we need to see you leave the property."
02:46,[Police Officer],"Okay, yep, go ahead and walk."
02:47,Mr. Huff,If you go first and we'll follow.
02:48,[Police Officer],Yep.
02:49,Mr. Huff,We'll give you some time so you can look like you're walking out by yourself.
02:52,[Police Officer],You said she started like that as soon as the phone rang up?
02:55,Mr. Huff,"Yeah, like she was already crying, but the moment I went to get it signed, she was like crying."
03:00,Mr. Huff,"Even more. I'm like, I'm like, hey, you're good, just breathe. And then I looked down and I see the wedding ring emoji and I'm like, oh, it's her husband."
03:06,Mr. Huff,"And it was like her husband's either telling her to do this or she's doing this and he doesn't know. I mean, both ways, she probably thinks that he's going to respond in a way."
