start_time,speaker_label,transcript
00:00,Tom,Hello. How are you? My name is Tom with the sheriff's office. The only reason I stopped you is your license plate expired. Do you have a driver's license?
00:08,[Nurse],I have on my phone.
00:09,Tom,That's fine. I'm not going to
00:10,[Nurse],I have to check in tonight at the Carl Clean Hospital in Bloomington. That's why I have my bag. That's why I need to hurry up.
00:17,Tom,This is not going to take very long at all. I just need to make sure you have a valid driver's license.
00:20,[Nurse],I'll make sure.
00:21,Tom,No.
00:22,[Nurse],Hold on. Hold on.
00:25,Tom,I just need something with your name and birthday and I will make sure you have a valid driver's license and I'll get you on your way.
00:29,[Nurse],I have a passport right there.
00:31,Tom,"Okay, does it have your name and birthday on it?"
00:32,[Nurse],"Yeah, a passport and my insurance."
00:34,Tom,"All right, I believe you have insurance."
00:39,Tom,Is uh
00:40,[Nurse],It's your middle initial the the the
00:43,Tom,"Okay, I'll be right back with you."
00:47,Sam,"I'm going to get her out. Once she gets out, we'll have her meet me. She's not going to want to get out of the car. If she says she's not going to get out of the car, pull your car around, okay?"
01:04,Sam,You can pull this way.
01:06,Tom,You got a problem with me?
01:08,[Nurse],"No, because I are y'all going to follow me to Bloomington?"
01:11,Tom,I asked you nicely to get out of the car.
01:12,[Nurse],"Sir, if I miss this surgery for my shoulder, there is no there's I can't reschedule this. So y'all need to call an ambulance or something."
01:19,Sam,"14, can you"
01:21,[Nurse],"So call an ambulance, that's something which y'all need to do, but I'm not getting out of this car. I would not be driving this car if I didn't need to be driving this car. You're not telling me why I need to be stepping out of this car."
01:29,Tom,Because the Supreme Court says you have to.
01:31,[Nurse],Because of what?
01:32,Tom,The Supreme Court says you have to.
01:33,[Nurse],Why am I why am I stepping out of the car?
01:35,Tom,"Because Pennsylvania versus Mench. It's a Supreme Court case in the state of Illinois, okay? It's out of the Supreme Court, okay? Supreme Court of this country. It says a police officer"
01:41,[Nurse],I have a warrant or
01:42,Tom,"A police officer says you have to get out of the car, you have to get out of the car."
01:44,[Nurse],I have a warrant.
01:45,Tom,I'm asking you to get out of the car.
01:47,[Nurse],I'm asking.
01:49,[Nurse],"No, I need shoulder surgery. Y'all don't override medical. I have surgery at 3:00 in the morning. I have MRI, I have labs. I cannot miss this surgery. This is this has been pending for three months for my shoulder."
02:01,Tom,"Man, I asked you nicely to get out of the car because I don't have to give you a reason."
02:04,[Nurse],"I'll get out eventually, but"
02:05,Tom,"Okay, well, I asked you to do it now."
02:06,[Nurse],"Okay, do I need to have them call my sister? Because at this point, why am I getting out of the car?"
02:10,Tom,Because I asked you to.
02:11,[Nurse],"Okay, why are you getting spicy with Because I asked you to. We're all on body camera."
02:13,Tom,Because I asked you to. We're all on body camera.
02:16,Tom,Because I asked you to get out of the car.
02:17,[Nurse],What's the issue? Because I asked you to get out of the car.
02:18,Tom,Because I asked you to get out of the car.
02:19,[Nurse],"Okay, so can you stop blocking my car so I can move my car back?"
