start_time,speaker_label,transcript
00:00,[Narrator],entire day. So why would he feel the need to lie about where he dropped a lean off? This footage paints Sam out to look awfully suspicious.
00:09,[Narrator],"And while both Sam and Mike have some strong dirt to their name, Sam's clear lies convince officers to bring him back to the station the very next day. This time to confront him on his false alibi. Unbeknownce to detectives, this very interview would spark a months-long game of cat and mouse involving a high-speed pursuit, unsettling clues and a chilling discovery."
00:32,[Narrator],"But before we get to that, let me tell you about today's sponsor, ship station. Every business owner knows the headache of juggling multiple shipping platforms and carriers, especially after the holidays. That's where ship station comes in. Ship station brings order to the chaos by letting you manage all your shipments in one place. No more juggling between different platforms or losing track of orders. Ship station's features guarantee you will always find the best prices across all major carriers. The intuitive dashboard puts everything at your fingertips, making order management simple and efficient. Businesses save up to 88% off of UPS, DHL Express and USPS rates. The best part is ship station automates everything. Your shipping labels, tracking updates, carrier selection, and it integrates seamlessly with all your existing platforms. No matter how big your business grows, ship station grows with you. Calm the chaos of order fulfillment with the shipping software that delivers. Switch to ship station today. Go to shipstation.com and use code insanity to sign up for your free trial. That's shipstation.com code insanity."
01:32,[Narrator],"With that said, let's get back to Sam Brammer, who had just been brought back to the interrogation room to explain the inconsistencies in his alibi."
01:40,[Detective],"The other day when we were in here, you told me that you got a phone call for her and you went to pick her up from her. So if you do me a favor and just kind of go through that timeline again. We know uh that it was somewhere right around at 8:30. So if you can just kind of go through that timeline again as far as"
01:56,Sam Brammer,I'm not too sure on the time. Okay.
01:58,Sam Brammer,"But anyway, she text me that morning and I didn't text her but I called her and she want to know if I would come and get her because some girl was supposed to pick her up and she ran out of gas. So I went and picked her up and she got in the truck. I left and she wanted to talk to me about helping her get in the apartment because she she was in that same apartment that I did but she didn't pay her rent so she got kicked out."
02:24,[Detective],Uh-huh.
02:25,Sam Brammer,"So but she didn't want to go home right away. So me and her just went right down Broadway and and she wanted to stop at her mom's house. I stopped at her mom's house and she was in there for I don't know, five or 10 minutes. She come out of there, got back in. And then we was going back down Broadway just talking some more and she promised me she wanted me to drop her back off at his house. But she made me to promise I wouldn't do nothing to her and I told her I promise. As a matter of fact, when we get there, you just get out, you walk in front of the truck, I'll turn around and I'll leave. And she said, okay."
02:57,[Detective],"Okay, so you went up there, you dropped her off and what you do?"
03:01,Sam Brammer,"Yeah, she I pulled up and she didn't want me to go in the driveway in case he was there."
03:04,[Detective],Okay.
03:05,Sam Brammer,"And uh she got the truck and she got the truck, she walked in front of the truck and that's when I went straight, turned around and came back."
03:10,[Detective],Okay. Yeah. You went straight home.
03:12,[Detective],"So you went back down to the highway, went back down to Kansasville."
03:14,Sam Brammer,Yeah.
03:14,[Detective],You left her there?
03:16,Sam Brammer,Huh?
03:16,[Detective],You left her there?
03:17,Sam Brammer,Yeah.
03:17,[Detective],Or you
03:18,Sam Brammer,"No, she got the truck. She didn't want me to come in."
03:21,[Detective],"You said a second ago you said she went in and grabbed clothes, came back out to your truck and you guys left again."
03:25,Sam Brammer,"No, no, no, no. That was at uh her mom her mom's house."
03:29,[Narrator],"Clearly, Sam is lying about where he was the day of Aline's disappearance. The detectives know it, and it seems like Sam is starting to realize he won't be able to keep up his fake story for much longer."
03:42,[Narrator],"Even after being told that cameras show him nowhere near Mike's house the entire day, Sam insists on his story that he did in fact, drop Aline off at Mike's house. With this, the detectives would take a brief break from the room to watch the footage over again, just to triple check that Sam is 100% lying. And to nobody's surprise, the footage showed Sam on the opposite side of town during the time he claims to have been at Mike's."
