start_time,speaker_label,transcript
00:00,Savannah,"And then I just said, babe, let's go. They just said someone has a gun, let's go. And so we went to the car."
00:06,[Narrator],"It is likely that Savannah genuinely did not know why she was being rushed to leave in the heat of the moment. Unfortunately, due to Edgar's horrible decisions, she is now an accomplice in her boyfriend's escape. So, either she tries to defend him and risk being charged as an accomplice in murder, or fess up and answer every question honestly, especially the ones about his past."
00:29,[Detective],How did you meet Edgar? How do you know him?
00:31,Savannah,"Um, we went to high school together and but we didn't we were never really talked in high school and then he's um I started working at a bar um and he is my boss."
00:42,[Detective],"Okay, your boss. Okay. What do you know about him and his history before meeting you?"
00:48,Savannah,Nothing.
00:49,[Detective],"Okay, don't really know anything. I just know that we went to school together."
00:51,Savannah,Okay.
00:52,[Detective],"Do you know anything about Edgar, his wife, things he may or may not have done in between when you knew him in high school and then when you knew him as your boss at the restaurant?"
01:00,Savannah,"No. Okay. Have you guys had, you know, some couples don't really have the this is my history talk. Some do."
01:08,[Detective],We have not. You have not had that talk. Okay.
01:11,[Narrator],"For now, the detective believes that Savannah isn't comfortable enough to reveal details and decides to take an alternative approach. By explaining the trouble she's in and mounting some pressure, there is a chance that crucial information can be squeezed out of her."
01:26,[Detective],"You have to understand that um when you know somebody has done something illegal or or has suspicion of it or they are giving you that hint and then if you help them escape, that's a crime. So by driving him away from the scene, you put yourself in a really bad spot. Okay? Help me help you, right? I need to know everything. I'm going to be blunt with you. He shot that guy. I have a video of it. I watched it with my own eyes. Okay? Cuz you got yourself wrapped up into a mess. So let's go back. He called you at some point. Take me from the time he called you and please be as detailed as you can about what he said to you because I can see him calling you on the surveillance video. I can see him on the phone."
02:07,[Detective],So what did he say to you?
02:08,Savannah,"He said, grab the bags, let's go. And he just kept repeating that over and over. Just grab the bags, let's go, let's go, let's go."
02:15,[Detective],Okay. So then he gets up to the room. Be super specific. What is everything that happened from the time he walked into that room until the time you guys walked out of the room? Tell me everything.
02:26,Savannah,"He just said, let's go, we need to go. And I kept asking, you know, why and what's going on and he wouldn't say. He just kept saying, let's go, we need to go."
02:36,[Detective],"He also said, um, some he said, we need to go to Mexico."
02:40,Savannah,We need to go to Mexico.
02:41,[Detective],"Okay. So he said, we need to go to Mexico. Okay. The time that he walked into the room. All right, so you guys get your stuff together. Boom. He says, we need to go to Mexico. He keeps telling you, we got to fucking go. You guys leave. You walk out to the parking structure and you're contacted by the police. I heard you say that the police approached and he put his hands up and turned. And you you started to tell me what he said to you and then you stopped."
03:07,Savannah,I because I don't remember exactly what he said to me.
03:09,[Detective],I don't need verbatim. Give me the gist of what it was that he said to you.
03:12,Savannah,I I
