start_time,speaker_label,transcript
00:00,Jay,"5, 6, 7, 8, 9."
00:04,Jay,"Take me to jail, whatever."
00:07,[Police Officer],I don't want to un un cuff her and ask her a few questions.
00:10,Jay,"I don't want to go. Come on, hop on out."
00:13,Jay,What did I do? What did I do?
00:16,[Police Officer],"You know. Come on, hop on out, okay?"
00:17,Jay,Why am I stepping out?
00:19,[Police Officer],Because would you rather be sitting in a police car in handcuffs?
00:22,Jay,"Wait, who's I'm going to I'm going to I'm going to take your handcuffs off and you're going to run you through some sobriety tests."
00:28,Jay,"Yeah, I won't. I will not run. I will not run. You can take I got a track start thing."
00:34,[Police Officer],"You can take them off me. No, no, no, no. Here, I want you to stand right here and I'll close the door."
00:37,Jay,I won't do anything. All right.
00:39,[Police Officer],"Hold on. Hold on. Walk over here for me, okay?"
00:42,Jay,I wasn't even driving. I wasn't even driving.
00:46,[Police Officer],"You told us you were driving, ma'am."
00:47,Jay,"No, I wasn't."
00:49,Jay,"All right, well, he's I was not driving. You can look at the cameras. I was not driving."
00:54,Jay,"I'm supposed to go pee. No, I didn't consume any alcohol in the fucking bathroom. I was in the bathroom."
01:02,[Police Officer],"All right. We need her actually, we not quite yet because we got to confirm she wasn't driving."
01:08,Jay,She wasn't. She's fine.
01:10,[Police Officer],"So, we got two people. We got two drivers tonight. We don't know who's lying and who's telling the truth."
01:14,Jay,"No, she's fine. So, as soon as we confirm she wasn't driving this white vehicle, she wasn't driving. I was driving. She was not driving."
01:23,[Police Officer],"No, she's got to stay for now."
01:24,Jay,For what? Why does she have to stay? Why am I in these handcuffs? Like I'm not doing anything.
01:31,[Police Officer],"I know. Jay, look at me."
01:33,Jay,That's close enough.
01:34,Jay,"Sir, you're going to un cuff me. I'm not doing anything."
01:38,[Police Officer],"Just relax. There's no relax, okay? Get her contact information, please."
01:42,Jay,"Just relax, okay? Deep breath."
01:44,[Police Officer],"So she's yeah, she's free to go as long as we got her contact information."
01:47,Jay,Can you hold on. Can you undo these so I can go?
01:51,[Police Officer],"I've got to ask you a few questions before we do it. First question, do you have any physical conditions on the or any health issues that I should know about?"
01:57,Jay,Yes. What do you have? I I I need to know. It's important.
02:01,[Police Officer],You're okay. I need I just need to know what your health conditions are. It's very important.
02:06,Jay,"I take medicine for for anxiety, anxiety, depression."
02:11,[Police Officer],"Okay. We're going to very, very soon, okay?"
02:14,Jay,Please. I'm not going to I'm not going to do anything.
02:18,[Police Officer],"No, I don't think you're a violent person that would hurt me."
02:20,Jay,"No, I won't. I would never. But can you please relax, okay?"
02:24,Jay,"Please, please take them off."
02:28,[Police Officer],"All right, I'm going to take the cuffs off you, but you got to behave and cooperate, okay?"
02:31,Jay,"Yes, of course, sir."
02:32,[Police Officer],"This is why I'm here. Hold on. Before we take them off, look at me in the eyes. Focus on me, okay?"
02:36,[Police Officer],"Yes, sir. We're going to confirm you were driving. Okay, if you just watch the surveillance video, there's a lot of cameras all over. He confirmed you drove here."
02:43,Jay,"Okay, sir."
02:44,[Police Officer],"All right, so we know you were the driver of this white vehicle right here. All right."
02:48,Jay,The police car?
02:49,[Police Officer],"So now what we're going to do is now that I've confirmed you have been drinking, you might not be legally intoxicated, but that's what field sobriety testing is for. But I've confirmed you've been drinking, you're showing signs of intoxication. The odor of alcohol is coming from you very strongly, all right?"
03:05,Jay,"Okay, sir."
03:06,[Police Officer],"Your eyes are glassy and bloodshot, okay? That's more than enough reasoning to run you through standardized field sobriety testing and see if you're guilty of driving while intoxicated or not, okay?"
03:16,Jay,I haven't driven.
03:17,[Police Officer],"So, okay. That's fine. That's you you have every legal right to say whatever you want. So what we're going to do, stop, stop. We're going to take the handcuffs off of you. We're going to run you through standardized field sobriety testing."
03:29,Jay,I'm not going to graduate.
03:31,[Police Officer],"Once we get done running you through standardized field sobriety testing, we are going to determine whether you are intoxicated or not, okay?"
03:35,Jay,I'm not going to graduate. I wasn't driving.
03:39,[Police Officer],"I want you to understand it's my strong opinion you are not going to jail tonight. Assuming your level of cooperation, stay the same, okay?"
03:44,Jay,"Sir, can you admit I was not driving?"
03:49,[Police Officer],"Sir, can you say Are you going to cooperate with my testing?"
03:52,Jay,"Yes, sir. But can you say I was not driving?"
03:56,[Police Officer],"I I saw I'm just not I'm just going to take your handcuffs off you, okay?"
04:00,Jay,I wasn't driving. You're going to behave. You're not going to swing around or do anything crazy.
04:04,Jay,"No, no, absolutely not, sir. Absolutely. Absolutely."
04:06,[Police Officer],You cooperate with my standardized field.
04:10,[Police Officer],"All right, you ready?"
