start_time,speaker_label,transcript
00:06,[Narrator],"This is Edgar Delgado. Just seconds ago, he fatally shot an innocent man."
00:15,[Interrogator],Were you with what happened?
00:17,[Witness],I don't know who is the man who is shot.
00:20,[Interrogator],Can you tell me the name so I know if it's him or not?
00:23,[Witness],I don't know. I was with Omar.
00:25,[Interrogator],And is Omar the one that was shooting?
00:27,[Witness],I don't know everything.
00:29,[Interrogator],What was he wearing last night?
00:31,[Witness],"He has beard, he's light skinned, he's Mexican."
00:35,[Interrogator],What was he wearing last night before he shot?
00:37,[Witness],"I don't know the shirt, but he's wearing a hat."
00:43,[Police Dispatcher],"All units be advised, when we receive reports of a shooting at Hard Rock Casino in Lake Tahoe, one is reported deceased and the shooter is armed inside the building."
00:53,[Police Officer],2223.
00:57,[Police Officer],Where's he at?
00:58,[Police Officer],Get on your knees! Get on your knees!
01:08,[Police Dispatcher],"County all units, just received an update. We got some information that the suspect possibly left in a white Toyota 4Runner with a Hispanic female adult about 10 ago."
01:21,[Interrogator],Did you know that guy?
01:23,[Witness],"I didn't know. I just remember we were talking for like a while, you know, and then that's it."
01:27,[Narrator],"At 2:00 a.m. on March 25th, 2023, Edgar Delgado enters Hard Rock Casino and meets 32-year-old Omar Garcia, where they spend the next six hours together, drinking and having a good time."
01:41,[Narrator],"But by 8:00 a.m., something begins to anger Edgar. The tension rises, an argument bursts out, and Edgar grabs Garcia. Worst of all, he pulls out a pistol and points it directly at Garcia's head multiple times. But Garcia resists, knowing his life could end at any time, and physical altercations ensue. Then for one last time, Edgar grabs Garcia by the neck and whispers something in his ear."
