start_time,speaker_label,transcript
00:00,[Unidentified speaker],Here you go.
00:01,[Unidentified speaker],Yeah.
00:01,[Unidentified speaker],"Oh, five minutes."
00:03,[Unidentified speaker],"Hey, nobody at the make up line."
00:05,[Unidentified speaker],Okay.
00:06,[Unidentified speaker],Just get you out of here.
00:11,[Narrator],"It is around this time that officers make a crucial breakthrough in the case. By digging deeper into CCTV and tracking back the shooter's movements, they discover that their man is not a visitor, but a tenant named Edgar Julian Delgado, who checked into the hotel the day before with his girlfriend, Savannah Tatapale. Right after the murder, Edgar is seen rushing to his room and coming out with a handful of bags. Savannah soon joins him and they exit the hotel. Edgar, along with his girlfriend, were now on the run. Despite the fast response from police, Edgar was able to escape because no one had a description of the suspect yet. And as we would later see, he even had a close call with an officer before he escaped. Immediately after finding out Edgar had escaped, all roads and highways in the state were placed under heavy monitoring. They were not going to let a murderer escape. And while they waited for Edgar to fall into their hands, they began interviewing hotel employees to understand the motives behind his murder, starting with a security guard who was present at the time of the murder, Robert Bell's."
01:14,Robert Bell,"And as she and I were finishing the cigarettes, we heard a loud boom like a shot. Within 10 seconds, the dispatcher who was Santos Nuñez said someone has been shot at center bar. And he relayed that information over the radio. He relayed that information over the radio. I heard the information. Okay. I stepped into the center hallway and proceeded down towards the center bar when I saw a rather large man, about six, six foot, six one, walking in my direction. Okay. My thought was, this is the guy who just shot someone at the bar because he seemed a little agitated walking. So I immediately turned around. I I stayed far away enough till he exited to the left going towards security podium. That's when I walked out. I'd overheard earlier the traffic that a gun shot, somebody had been shot at the bar. And that's when I walked over and I saw a a man laying there in a pool of blood at the bar."
02:21,[Narrator],"From what Robert says, the killing itself was quite a big scene at the center bar. Yet the response was so slow that Edgar was not only given the time to escape, but pack his belongings before doing so. To make matters worse, Edgar actually walked in front of the security podium, the point at which the entirety of the casino security cameras were managed by guards. Security likely decided that pursuing an armed suspect, especially one responsible for a shooting, was not a wise decision to make and rather opted to keep tabs on his whereabouts. Regardless, it is unfortunate that Edgar was given enough time to escape comfortably. At this point, officers move on to the next employee, Noble, who gives more insight into what the two were talking about before Edgar pulled the gun."
03:04,[Interviewer],"Were you able to hear what kind of conversations they were having, what they were talking about?"
03:08,Noble,"Um, not, not exactly. I I wasn't really processing. It was still kind of early for me. It was kind of background noise to me, but"
