start_time,speaker_label,transcript
00:01,[Bystander],"Stop, stop, stop!"
00:07,[Bystander],Did they tell fast? She just got in my car and took off.
00:13,[Bystander],Eastbound on highway 40 past the substation.
00:16,[Bystander],"Oh, she just got in with the sheriff. She just got inside the sheriff's car. She is, oh my God. He's out, she's in, she took his car, took his car."
00:26,[Narrator],No one had any idea that her actions would lead to such severe consequences.
00:30,[Police officer],We got another vehicle. We got another vehicle over here. You guys okay?
00:38,Marion,Eastbound on highway 40 past the substation.
00:41,Marion,"6531, I'm behind them. She is going westbound on 40. She has lights and sirens on running opposite side of traffic."
00:56,[Police officer],Eastbound on highway 40.
00:59,[Police officer],Do you remember who called us?
01:03,[Bystander],Yes.
01:04,[Bystander],Do you want me to stay on the line? I'm with the sheriff right now.
01:06,[Police officer],You have your ID?
01:07,[Bystander],"Um, it's in the car. I'm still like really shaking."
01:10,[Police officer],Did you know her?
01:11,[Bystander],"No, she tried to take my keys."
01:12,[Police officer],"It's uh, we know her."
01:14,[Bystander],"Oh. She tried to reach in and grab the keys from my vehicle. At first she asked me for a ride, said she needed to get out of this place."
01:22,Marion,She's extremely signal 12.
01:26,[Police officer],"They found her heading into the woods, heading into the forest."
01:30,[Police officer],"26, Eastbound on highway 40."
01:36,[Police officer],653126.
01:39,[Police officer],10-4.
01:40,Marion,"6531, speeds are about 100 and we're still eastbound on 40."
01:45,[Police officer],"10-4, speeds 110, eastbound on 40."
01:53,Marion,She's still extremely signal 12.
02:04,[Police officer],Are you okay?
02:05,[Bystander],"I'm still a little shaken. I've never had that happen to me before, so I'm no, I'm a little, I'm a little shaky."
02:11,[Police officer],"Excuse me, I'm going to have a seat in the car."
02:13,[Bystander],"Okay, let's put the phone down."
02:15,[Bystander],"No, I got it. I got a drink."
02:18,[Bystander],That is insane. I was watching her when we got out. She's banging on people's cars.
02:22,[Bystander],"Well, I live in a Dollar Tree and I was like, wait a minute, let's just stay here for just a minute. Let me watch what she's doing."
02:24,[Bystander],Is that you?
02:25,[Bystander],No.
02:26,[Bystander],"I thought she did, right?"
02:27,[Bystander],"No, she just she just tried to take my vehicle."
02:31,[Bystander],"Yeah, we was going to go in the Dollar Tree and I was like, wait a minute, let's just stay here for just a minute. Let me watch what she's doing."
02:37,Kendra,"Excuse me, all stations, I need help. This is a big route."
02:42,Marion,"6531, I believe that's going to be heard across the radio. She just passed the track inside going eastbound. Her speeds are well over 100. I'm trying to keep up. I'm just keeping eyes on the lights."
02:59,[Police officer],Speeds are 105. We're still going eastbound.
03:03,[Bystander],"Oh my gosh, she's still going."
03:04,[Police officer],What's a good phone number for you?
03:07,[Bystander],352.
03:09,Marion,Speeds are still 115.
03:13,[Police officer],Speeds 115.
03:22,Marion,"6531, she just turned around. She's now going westbound."
03:27,[Police officer],"10-4, 109 westbound."
03:32,Kendra,"Excuse me, I need a real police."
03:36,[Police officer],Let's switch back to Tac 2 so she can hear you.
03:39,[Police officer],"10-4, all units on the general 13, switch to Tac 2."
03:43,[Police officer],Tac 2.
03:46,[Narrator],"The woman was identified as 33-year-old Kendra, who had previously been charged with 13 felonies and had been released from prison just a few days earlier. Moreover, her mocking of the police over the radio only fueled the responding officer's rage."
04:01,[Police officer],Probably around three quarters of a tank. I filled it up this morning.
04:34,Marion,"Well, I know that. I'm just double checking if I get the opportunity to do so."
04:38,[Police officer],Is it 10-4?
04:40,Marion,"We're still westbound on 40, just past 433."
04:45,[Police officer],"10-4, 23,900 still westbound."
05:09,Marion,She's going to be the first car. I'm the second car. The lights are on.
05:14,Marion,"10-4, I'm going to lay off a little bit. Speeds are still about 90-95."
05:37,[Police officer],"65316, she advised they're coming up behind an 18-wheeler."
05:42,Marion,And she's turning around. She's conducting a U-turn. She is going eastbound on 40.
05:49,Marion,Speeds are up to 105. We're still eastbound.
05:54,[Police officer],"If you do have a safe, go ahead and take that if you feel comfortable with it."
06:15,[Police officer],"23, I'm going to have to play."
06:22,[Police officer],Probably three or four out. The ranges are hot right now through the Navy. We're trying to get clearance into.
06:30,[Narrator],"At one point, the female officer lost visual of the suspect, and then she noticed thick black smoke in the distance, which was a nightmare awaiting."
06:47,[Police officer],We got to prove a warrant.
06:53,[Police officer],Couple minutes out.
06:55,[Police officer],10-4.
06:58,[Police officer],10-4.
07:02,Marion,"Signal 4, signal 4, signal 4."
07:06,[Police officer],"Signal 4 station, 10-33."
07:11,[Police officer],"All right, right here, you're good."
07:13,[Police officer],Good job.
