start_time,speaker_label,transcript
00:01,[Police Officer],Just take a seat on the bench right.
00:03,Joelle,So all your friends are just going to sit there and What was that?
00:09,Joelle,All your friends are just going to sit there and pretend that they didn't hook up with me.
00:15,[Police Officer],All our friends?
00:16,Joelle,Yeah. All the people that were there.
00:18,[Police Officer],I know.
00:20,Joelle,This is crazy.
00:24,Joelle,So you guys are going to pretend like every single person that was there didn't hook up with me.
00:30,[Police Officer],What does that have to do with this?
00:34,Joelle,"This is Oh my God. All of your cops that were pretending to not be here, that were hooking up with me and acting like they weren't. This is insane."
00:48,[Police Officer],"Listen, we're trying to get you in here and out of here. If you want to play a game, we can put you in a cell and you can sit there for a while."
00:54,[Police Officer],"Either way, you're not leaving until we get your name, date of birth. Come on."
00:59,[Police Officer],You don't want to do that. Come on.
01:03,Joelle,I don't want to go in there. Why?
01:06,[Police Officer],You don't want another charge. Come on.
01:10,Joelle,You're right.
01:15,Joelle,You did not go in there anyway.
01:19,[Police Officer],"Okay, we're in this situation now, so it's no longer how you get out of it. It's how we can move forward from it, okay? It's it's your actions that determine the outcome with us, okay? So you can either keep things simple and we can proceed with it or things are just going to get harder. Come on. It's not worth fighting."
01:37,[Police Officer],Too bad this isn't preschool and crying like there's a booger on your bum won't pay your bond.
01:42,Joelle,No.
01:48,[Police Officer],Come on.
01:49,Joelle,Oh no. It's not fair because I did not do what you mean.
01:56,Joelle,"I've already been there, so if you want to put me back in there, go ahead."
02:02,[Police Officer],"Well, how did that one work out for you?"
02:04,Joelle,It was fine.
02:05,[Police Officer],And how long you went to county jail for how long?
02:08,Joelle,Five days.
02:10,[Police Officer],"Come on, I'm trying to help. I'm trying to help you at this point. So is that really what you want to do? Or you want to sit out here and we could get you in and out?"
02:17,Joelle,I don't want to go anywhere.
02:19,[Police Officer],"You're not going to go to jail. Give me your name. Give me your name and date of birth. That's all I asked for you, right? You're sitting out here, but if you don't give me your name and date of birth, you're going to be in there."
02:27,Joelle,I told you already.
02:28,[Police Officer],What did you tell me? Your name?
02:30,Joelle,"Yes, I already told you."
02:32,[Police Officer],"What's your name? Spell it out for me. Joelle, how do you spell that?"
02:35,Joelle,Do you want to know what?
02:38,[Police Officer],What?
02:40,Joelle,I've already been in there. I would.
02:43,Joelle,I want you to know that.
02:46,[Police Officer],How do you feel right now? Do you feel like you want to cooperate right now?
02:48,Joelle,I will go in there.
02:50,[Police Officer],You'll go in there?
02:52,Joelle,I want you to know that.
02:53,[Police Officer],"Okay, but right now, how do you feel right now?"
02:56,Joelle,"If I don't go in there, I won't. But if I go in there, I will."
