start_time,speaker_label,transcript
00:00,Officer,Yeah.
00:00,Officer,He knows where I live.
00:01,Officer,Of course.
00:02,Officer,"Um, well he's being placed under arrest right now, so like we're just getting a statement for him."
00:06,Witness,You can come in if you want.
00:07,Officer,"Um, I'm going to give you this and then I'm going to get you another uh form."
00:11,Officer,Okay.
00:11,Officer,I'm going to pull my car.
00:12,Officer,"But just just put your uh name information here and then exactly what happened, all those quotes and everything."
00:17,Witness,"Yes, sir."
00:18,Officer,And then uh I'll be right back with another sheet.
00:21,Witness,"Also on the way down, it started up here."
00:23,Officer,Okay.
00:23,Witness,Even a pickup truck were like this coming down the street.
00:26,Officer,Yeah.
00:27,Witness,"And then for whatever reason, he pulled over."
00:30,Officer,Uh-huh.
00:30,Witness,And he started following the pickup truck.
00:32,Officer,Yeah.
00:32,Witness,Pickup truck turns right on Jersey.
00:34,Witness,"He comes straight, but he started stopping in front of every single house."
00:37,Officer,Yeah.
00:38,Witness,"Stopped here, stayed here."
00:40,Witness,So I stopped the car street to see me now.
00:42,Officer,"Mhm. Does he live down there, do you know?"
00:44,Witness,"No, sir."
00:44,Officer,No.
00:45,Witness,"From what the people across the street, directly across the street, people just got home."
00:48,Officer,Yeah.
00:49,Witness,"I stopped him to let them know, be careful going down you guys are down there."
00:51,Officer,Okay.
00:52,Witness,Yep.
00:52,Witness,He said that he's trying to date the people's in that house and you just approached.
00:59,Officer,Mhm.
00:59,Witness,He's trying to date their daughter.
01:01,Officer,Okay.
01:02,Witness,That's what they just told me.
01:03,Officer,Okay.
01:04,Witness,"And supposedly, in their words, exact words, be careful with him, he's off the hinge."
01:08,Officer,Uh-huh.
01:09,Witness,He also stated to me that he has diplomatic immunity and I can't touch him.
01:12,Officer,Yeah.
01:14,Officer,Mhm.
01:14,Officer,"He just said, I'll come back and get that."
01:16,Officer,"Sir, did you see if he tried to get into the car at all, your car?"
01:20,Witness,"No, sir."
01:21,Officer,No.
01:21,Witness,"No, no, I I was still in my vehicle."
01:23,Officer,Okay.
01:23,Witness,We had just got home from her mom's house.
01:25,Officer,Gotcha.
01:26,Witness,And I pulled over there because he pulled in front of my house.
01:29,Witness,He was pulling in front of everybody's house.
01:31,Officer,"Okay, so he was driving."
01:32,Witness,So I pulled over on that side of the road so he wouldn't see me pull in my driveway.
01:36,Officer,Gotcha.
01:37,Officer,Okay.
01:37,Witness,"But after he got down there, he walked back up."
01:39,Officer,So he drove his that blue car?
01:41,Witness,"Yes, sir."
01:42,Officer,Okay.
01:43,Witness,"And still after he stopped here, he stopped in front of every house on the way down."
01:48,Officer,Okay.
01:48,Witness,"So I stayed over there and I said, we better watch what this guy does."
01:51,Officer,All right.
01:52,Officer,"Hang hang with them. Uh, just go on."
01:54,Officer,Let me I just got to run outside and call my sergeant real quick.
01:57,Witness,"Yes, sir."
01:57,Officer,And I'll be right back.
01:58,Officer,"No, we just got a call here and here."
02:01,Suspect,Jesus Christ.
02:02,Grandmother,Figure it out. I'm cold.
02:04,Officer,Okay.
02:04,Grandmother,Can I have my coat? Can I get my coat?
02:06,Officer,"No, you're going to stay right here."
02:07,Officer,You stay right here.
02:08,Grandmother,Yes.
02:09,Officer,"I'll let you know when you get your coat, okay?"
02:14,Officer,"Listen, you're you're free to record."
02:15,Officer,We're recording everything.
02:16,Grandmother,"Yeah, I'm going to record."
02:17,Grandmother,I'm going to record.
02:20,Grandmother,One trip.
02:22,Grandmother,Jesus.
02:23,Officer,Not a right.
02:23,Grandmother,Job.
02:24,Grandmother,You're being disrespectful.
02:26,Grandmother,I told you.
02:27,Grandmother,You remember my dad's in the corner.
02:33,Grandmother,What? Now what?
02:35,Grandmother,Let's get there.
02:36,Grandmother,You're the.
02:38,Grandmother,Figure it out.
02:40,Grandmother,You're trying to play this game.
02:41,Grandmother,I didn't go to your house.
02:44,Grandmother,I'll be.
02:47,Officer,Were you screaming at your neighbor before?
02:48,Grandmother,Huh?
02:49,Officer,You yelling at your neighbor before?
02:52,Grandmother,Who the fuck is that going to my house?
02:54,Officer,It's another patrolman.
02:56,Officer,"Sir, just stay right here."
02:57,Grandmother,Stay right here.
02:58,Officer,"Fuck you. Stay right here, sir."
02:59,Grandmother,Stay right here.
03:00,Officer,Hey.
03:01,Officer,Ryan.
03:02,Officer,Ryan.
03:03,Grandmother,"Go, go, go, go, go, go, go, go."
03:06,Officer,"I told you not to walk away, did I not?"
03:07,Grandmother,I'm going to go ahead.
03:08,Officer,Put your hands behind your back.
03:08,Grandmother,Lock me up.
03:09,Grandmother,Take my key.
03:09,Grandmother,Take the key.
03:10,Grandmother,Take the key.
03:11,Officer,Okay.
03:11,Grandmother,"Wow, wow, you're stepping on my shoe."
03:15,Grandmother,"Wonderful, wonderful. Lock me up."
03:17,Officer,You are.
03:18,Officer,If you just.
03:18,Grandmother,"How did you get here, my man?"
03:20,Grandmother,How did I get here?
03:20,Officer,He says he stays here.
03:21,Grandmother,Wow.
03:22,Grandmother,I live here.
03:23,Officer,You're looking at that door.
03:25,Grandmother,My my my grandma lives here.
03:26,Officer,Knock on the door.
03:27,Grandmother,I was trying to.
03:28,Officer,Knock on the door.
03:29,Officer,You started walking that way.
03:30,Grandmother,Knock on the door.
03:30,Grandmother,I'm going to.
03:31,Officer,Go ahead.
03:32,Grandmother,Go ahead.
03:33,Officer,"No, you're under arrest, sir."
03:34,Officer,She's under.
03:35,Grandmother,That's my mission.
03:35,Grandmother,That's my mission.
03:37,Grandmother,Nothing in my pocket.
03:39,Officer,"All right, well, I'm going to search you anyway."
03:40,Officer,You're under arrest right now.
03:41,Grandmother,I'll give a fuck.
03:42,Grandmother,Arrest me.
03:43,Officer,You're under arrest.
03:44,Grandmother,Wonderful.
03:46,Grandmother,Wonderful.
03:47,Officer,She's going to make sure you get statements.
03:50,Grandmother,Knock on the door.
03:51,Grandmother,Real hard.
03:52,Grandmother,She's in there.
03:53,Grandmother,Open the door.
03:54,Officer,How do you show me how to knock?
03:55,Grandmother,I can't show him.
03:56,Grandmother,Open it.
03:56,Grandmother,She's in there.
03:58,Grandmother,Open it.
04:00,Officer,Okay.
04:02,Officer,3008.
04:04,Grandmother,Knock on the door.
04:05,Officer,Can you give me the number for 3020 Adams and give it a ring?
04:09,Officer,"3020 Adams, sure."
04:12,Officer,You said she's inside?
04:13,Grandmother,She's in there.
04:14,Grandmother,She's in there.
04:15,Officer,"All right, what is the chance of the door?"
04:16,Grandmother,Open the door.
04:17,Grandmother,Open it.
04:18,Grandmother,I'm not going to open.
04:19,Grandmother,Stop telling me what to do.
04:20,Officer,Okay.
04:21,Officer,"You're not going to tell us how to do our jobs, okay?"
04:23,Grandmother,Go on.
04:24,Officer,Take care of your car.
04:25,Officer,"All right, go on."
04:26,Grandmother,You're not.
04:27,Officer,That your grandson moved in?
04:29,Grandmother,He stays here.
04:30,Grandmother,Yeah.
04:31,Grandmother,"He good, sir."
04:32,Grandmother,They just moved in.
04:33,Officer,What?
04:34,Grandmother,Saturday.
04:36,Officer,"Okay, so just a couple days ago?"
04:38,Grandmother,"Yeah, over the weekend, they bought furniture."
04:42,Officer,Okay.
04:42,Officer,Has he been home all night?
04:44,Officer,Like has he been with you all night or have you not seen him?
04:46,Grandmother,He's been there all day.
04:48,Officer,All day?
04:48,Officer,Do you know what time he he left? Because obviously he's with us now.
04:51,Officer,Do you know what time he left or?
04:53,Grandmother,About 10 minutes ago.
04:55,Officer,Okay.
04:57,Officer,"All right, does does he have any I mean, he's like super agitated and like super upset with us."
05:03,Officer,Has he been has he been drinking a lot?
05:05,Officer,I smell it on his breath.
05:07,Grandmother,I don't allow.
05:10,Officer,It is So it's your is it your daughter who's not there?
