start_time,speaker_label,transcript
00:00,[Bystander/Witness],I believe so. This is just dumped on the road and trying to check out what this is if he was out of the car and they got him stopped with them. There was three of them up there. I think they're probably all right.
00:08,Deputy,Okay. I'm just going to.
00:10,[Bystander/Witness],"Cool, and thank you."
00:12,[Bystander/Witness],"This is what I got out of the killer bag. It was all rolled up tight. I'm on, obviously. It was all rolling, all rolled up. Medical cannabis, it says. open. No, it's this one looks sealed. You know, they might not have a prescription for it and that's why."
00:29,Deputy,"You made this way harder than it had to be, man. Honestly."
00:32,[Bystander/Witness],I got you.
00:32,Deputy,Yeah.
00:33,[Bystander/Witness],Yeah.
00:34,Deputy,"But it was she pulled it out at Utah, okay?"
00:37,Deputy,All right. I'm just going to secure you for now until you figure out what's going on.
00:40,Deputy,"Yeah, put your phone down. Put your phone down. Put your phone in your pocket."
00:43,Deputy,Or you can put it on speaker.
00:44,Deputy,Or you can put it on speaker and I'll hold it.
00:47,Deputy,You let go.
00:50,[Bystander/Witness],Okay.
00:53,[Dispatcher],53.
00:55,[Dispatcher],Charlie 211 subject.
00:57,Deputy,You have the right to remain silent. Anything you say may be used against you as evidence against you. Do you understand your rights?
01:05,[Dispatcher],2177 subject.
01:07,Deputy,"Okay. With these in mind, are you willing to talk with me?"
01:12,Deputy,"So, are you going to find anything else in the car?"
01:14,Suspect,"No, you're not going to find anything."
01:15,Deputy,"Okay, so why did you run when she lit you up at Utah?"
01:18,Suspect,"I got a case. I got a court where I'm going to trial, you know what I mean? So after."
01:24,Deputy,What's that for?
01:25,Deputy,Huh? What's that for?
01:26,Suspect,It's for a case and I'm taking it to trial and.
01:30,Deputy,For cocaine?
01:31,Suspect,For cocaine?
01:32,Suspect,Then I have a felony case against like that I'm also fighting as well.
01:39,Deputy,"Yeah, but that doesn't this does not look good that you're running, okay?"
01:42,Suspect,"Like you would have been a simple, hey."
01:43,Suspect,"I like I said, I was smoking and I'm paying."
01:47,Deputy,Okay. So there's no reason that you're running.
01:49,Suspect,No.
01:50,Deputy,No.
01:52,Deputy,So there's nothing else in the car?
01:53,Suspect,"No, nothing. Just that bag. Just that. I mean process and moving and my bunch of little what not all around me, but."
02:02,Suspect,Okay. and household stuff.
02:05,[Dispatcher],1050.
02:07,Deputy,So the reason why you continued on is because you're for case.
02:12,[Dispatcher],"State Road 100 West Bridge, Florida Tag, Zulu 64."
02:16,[Narrator],"Deputy searched his vehicle but found nothing inside, just like he had told them."
02:21,Deputy,"I had to use heavy his time in my life to pull you over because then you're going to pick up your son on a birthday one. It was not that. You have to let me know that you're stopping, but you never stopped. And every time I slow down thinking you're stopping, you picked up the pace, right? What am I supposed to think at that point? That's not cool. Right now we're waiting to hear back what um what is in that bag, but as of right now, you are detained and you will be going to the other side."
02:54,Deputy,What's going?
02:55,Suspect,No.
02:56,Deputy,"You got anything on you that's going to poke me, stick me? Any more drugs?"
02:59,Suspect,Money's underneath the phone.
03:01,Deputy,"Nothing going to poke me, stick me? Anything cool with me? Anything cool with you? No guns?"
03:06,[Narrator],"He was arrested for fleeing and eluding law enforcement, tampering with evidence, and possession of marijuana and taken to the Sheriff Perry Hall inmate detention facility where he is being held without bond."
03:17,Suspect,"We can do that for me, green?"
03:23,Deputy,What?
03:24,Suspect,I can put the handcuffs in the.
03:25,Deputy,We can't put them in the. We that that's against our policy. We can't do it.
03:30,Deputy,I apologize. It's not that far to the jail.
03:32,Suspect,What's your foot?
