start_time,speaker_label,transcript
00:00,[Narrator],police respond to an unwanted guest report and immediately encounter a belligerent man who refuses commands. He comes argumentative and attempts to instigate a physical altercation during a trespass warning.
00:11,[Bystander],I escalated response.
00:14,[Man being trespassed],"So, as a whole, now that the officer of the law is here and he is calm, you're calm, right? I said you're calm. You're on trespass?"
00:23,Officer Butler,"Yes, sir."
00:24,[Man being trespassed],You have an ID on you?
00:25,Officer Butler,"No, sir."
00:25,[Man being trespassed],You have an ID?
00:26,Officer Butler,He said he just shook my hand and said I can go.
00:28,[Man being trespassed],"He said, yeah, but"
00:30,Officer Butler,He said you have but you're not free to leave yet.
00:31,[Man being trespassed],Are you giving me an option to go because he said I was good.
00:33,Officer Butler,"No, you don't have you don't have an option right now. You got to get your information and then you're going to be trespassed."
00:37,[Man being trespassed],For?
00:38,Officer Butler,Because he asked you to be trespassed.
00:40,[Man being trespassed],For? He doesn't need a reason.
00:42,Officer Butler,"Okay, so I'm going to leave."
00:43,[Man being trespassed],It's his business.
00:44,Officer Butler,"No, you're not free to leave yet."
00:45,[Man being trespassed],All right.
00:46,Officer Butler,"Sir, I'm going to put you in handcuffs if you keep walking away."
00:49,[Man being trespassed],"My license is in my car. So if you don't understand my license is in my car, you back up and get out of my face right now."
00:54,Officer Butler,Why?
00:55,[Man being trespassed],I'm standing on the lower part of the curb. You just walked out the door towards me. He did the same thing.
00:58,Officer Butler,Step over here.
00:59,[Man being trespassed],He assaulted me.
01:01,Officer Butler,"Step over here right now, please."
01:02,[Man being trespassed],"Okay, I'm going to go step over here, but I want you to understand I didn't do nothing in your face. You walked out of a closed door. I'm going to listen to you, but I didn't but I did not do anything in your face. You walked out of a closed door."
01:05,Officer Butler,You walked out of a closed door.
01:09,Officer Butler,You're not listening.
01:13,Officer Butler,You're still not stepped over there yet.
01:14,[Man being trespassed],"Okay, so are we clear I didn't do anything in your face?"
01:16,Officer Butler,Have you stepped over there yet?
01:17,[Man being trespassed],"I'm saying, are we clear I didn't do anything in your face?"
01:19,Officer Butler,Have you stepped over there yet?
01:20,[Man being trespassed],"Correct, but I'm saying can we get past Do I need to put you in handcuffs?"
01:23,Officer Butler,"All right, you're going to put me in handcuffs."
01:25,[Man being trespassed],Standing over here. Did I put anything in your face?
01:27,Officer Butler,Perfect.
01:28,[Man being trespassed],Did I do anything in your face? Did I do anything in your face right there?
01:32,Officer Butler,"When I have two on one reason, we're going to be able to run the tag."
01:34,[Man being trespassed],I was going to pick up my daughter from a daycare.
01:37,[Man being trespassed],And I see something.
01:39,Officer Butler,What do you have to say?
01:40,[Man being trespassed],I would like to press charges for the assault.
01:42,Officer Butler,"Okay, so like I said, you've been trespassed from the premises. If you have an issue of something that occurred here today, you're going to have to go off the property."
01:49,[Man being trespassed],I was assaulted before.
01:50,Officer Butler,You're going to have to go off the property and you're going to have to call 911 and we're actually sorry. The non-emergency is 911.
01:55,[Man being trespassed],911.
01:56,Officer Butler,The non-emergency is 911.
01:57,[Man being trespassed],911.
01:58,Officer Butler,"But you have to go off the property right now, sir."
02:00,[Man being trespassed],"No, you ain't going to play me. I know the law."
02:02,Officer Butler,I'm not going to ask you again. I'm going to tell you to get off the property.
02:04,[Man being trespassed],You're going to be a fat lawsuit. You're going to be a fat lawsuit.
02:07,Officer Butler,"Sir, would you like to go to jail?"
02:08,[Man being trespassed],You want to go to jail?
02:09,Officer Butler,Try me. Try me. Try me.
02:12,Officer Butler,Get in your car and leave. I'm going to take you to jail.
02:13,[Man being trespassed],"Yeah, that's what I thought. You won't you won't going to do it the first go when I said try me."
02:16,Officer Butler,Get in your car and leave. You're going to go to jail.
02:18,[Man being trespassed],"Yeah, that's why you hesitate."
02:19,Officer Butler,Yeah. Get in your car and go to jail. Or go to jail.
02:22,[Man being trespassed],Hello?
02:23,Officer Butler,Get in your car and go to jail.
02:24,[Man being trespassed],I said get in your car or go to jail.
02:26,[Man being trespassed],"Hey, officer Butler. Officer Butler. Watch me. Hey, officer Butler came out here reported. He asked the guy to trespass me. The guy got my information for a trespass. He said to call 911 from the same address. So to call 911. Now he's threatening me and then I tried to walk to my car to get the uh to get the information verbally because there was no restraint, there was no altercation and then he just telling me basically trying to manipulate me off the property, but then I said, at least can I at least get a report that this guy assaulted me right here on the property?"
02:28,Officer Butler,Butler.
02:30,Officer Butler,3796.
02:38,Officer Butler,You're going to call 911 from the same address.
02:47,Officer Butler,Get in your car and leave. You're going to be taken to jail.
03:04,Officer Butler,You want to see me walk out?
03:05,[Man being trespassed],"Hey, grab your ID for me."
03:06,Officer Butler,"Hey, get in your car or I'm going to take you to jail."
03:09,[Man being trespassed],Cuz he's saying get in your car and go to jail and I was getting I was getting out of guy.
03:13,Officer Butler,Get in your car or I'm going to take you to jail.
03:16,[Man being trespassed],"All right, all right. You know what? I got you."
03:19,[Man being trespassed],Because it's weird. It's weird. It's weird. They they one park in front of me. Can I move? Can you move? He's behind me. He's behind me and I'm on the phone with 911.
03:27,Officer Butler,When you got to move? When you got to move?
03:31,[Man being trespassed],When I call 911
