start_time,speaker_label,transcript
00:00,Puchi,Hello.
00:01,Chanel,"Hi Puchi, good evening."
00:03,Chanel,This is Chanel.
00:13,Chanel,Puchi.
00:14,Puchi,Yes.
00:15,Chanel,Let me call you back.
00:17,Puchi,"Okay, no problem."
00:32,[Speaker in a conversation],It's a good company.
00:36,[Speaker in a conversation],"No, no, no, no."
00:39,[Speaker in a conversation],I got back.
00:40,[Speaker in a conversation],camera.
00:42,[Speaker in a conversation],Holy.
00:43,[Speaker in a conversation],I got back camera.
00:44,[Speaker in a conversation],Yeah.
00:45,[Speaker in a conversation],Yeah.
00:48,[Speaker in a conversation],Oh no.
01:28,[Speaker in a conversation],Oh no.
01:30,[Speaker in a conversation],Oh-oh.
01:49,[Speaker in a conversation],Holy shit!
01:54,[Speaker in a conversation],Holy shit!
02:23,[Speaker in a conversation],down strategy strategy which is going to hurt that situation.
