start_time,speaker_label,transcript
00:00,[Law enforcement officer],"Okay. Do you have your ID on you, darling? I do."
00:02,[Witness],"And my daughter, my daughter knows his address exactly. If you guys need that, I can call her and get the."
00:08,[Law enforcement officer],"Just text her. Don't want to pack, well, we she's obviously going to find out, but if you can get it the exact address, that's fine."
00:16,[Bystander],"The witness over there said they were arguing and he said, I'm good and he said, nah, dog, you ain't good and popped him."
00:26,[Law enforcement officer],Wow.
00:26,[Bystander],She didn't say that. Where did where did back of the head come from?
00:30,[Bystander],"He's bleeding from back of the head, I think."
00:33,[Law enforcement officer],Some of the reporting said that.
00:35,[Bystander],She said that they were both sitting on the curb right there arguing outside of the car.
00:41,[Witness],"So there's great video footage if this used to be from the last shooting, yeah."
00:48,[Bystander],You got bad luck with this gas station and shooting. She got witness here. Is there any other witness that saw anything that we know of?
00:54,[Law enforcement officer],Don't need to speak to somebody.
00:56,[Law enforcement officer],There's a uh server here who actually witnessed it. She's inside.
01:00,[Law enforcement officer],Okay. I don't have her 1043 but the manager said she'll stay there until we're ready to talk to her.
01:04,[Bystander],"What exactly did he, what How long were you on the phone with him?"
01:08,[Witness],"Um, shit. I was on the phone till I was here till I just hung up."
01:11,[Law enforcement officer],"Oh, okay."
01:12,[Witness],"Yeah, I just till I made it here, all the way till I made it here."
01:15,[Law enforcement officer],Okay.
01:15,[Witness],"And and and that was from way before he called me and he's like, mom, um, this guy's arguing with me. I'm not going to do this. I'm pulled over at a petrol gas station. I said, where's petrol? Cuz we're not from here, so I don't know. So he's like, I'm just going to send you my location. So he did. He shared his location. So by the time I made it from Ocala to here, I'm still on the phone with him to argue and all of a sudden all he said was, um, oh, mom. And then that was the end of it, but the phone was still on. So if his phone is not here, if my son's phone is not here, the guy took it."
01:44,[Law enforcement officer],"It may be over there, but we'll we'll we'll figure that out. Uh, there's a detective here coming to speak to you in about 10 minutes, all right?"
01:49,[Witness],"Okay, sir."
01:50,[Law enforcement officer],"Try to relax until they get here. So you can refresh the story to them, all right?"
01:54,[Witness],"Okay, sir."
01:55,[Law enforcement officer],You want that gun um taking the clip out or leave it as it is for major crimes?
02:00,[Law enforcement officer],Leave it as it is for now.
02:01,[Law enforcement officer],Do you know do you know if the car that they were in was a rental car or anything like that?
02:04,[Witness],No.
02:05,[Witness],It belongs to Jonathan. It's a Genesis. I forgot what year.
02:09,[Law enforcement officer],Okay.
02:10,[Witness],2017.
02:12,[Law enforcement officer],"Yeah, 2017, 2018, a G70, you think it is?"
02:15,[Witness],Yeah.
02:16,[Law enforcement officer],Okay. White?
02:17,[Bystander],"Yeah, we know we we know the car now, but I just always wondered if it was a rental or something."
02:21,[Witness],"No, no, no, that's owned by him."
02:22,[Bystander],"Well, not like a GPS, you know, something."
02:24,[Witness],"Yeah, he's still paying it."
02:25,[Law enforcement officer],"All right, did you observe the shooting?"
02:27,[Witness],"No, I did not. Like I said, I was parked right here. I was trying to send an email. I heard the uh shots. I looked, I saw a male running. I saw a male running this way, looked like he was just trying to take cover. And then I pulled out and I spun around and I noticed the the suspect running towards me. So I spun out, I spun around, I noticed the victim land in between the pump right there. So and then Was the suspect on foot or in a vehicle?"
