start_time,speaker_label,transcript
00:00,[Police Officer],"Stay right here, man."
00:02,[Police Officer],Stay here.
00:03,Officer Simons,"Yep, you gotta talk to me."
00:05,[Suspect],"Bro, you don't need to hell up my goddamn."
00:09,[Suspect],"Nope, bro."
00:10,[Suspect],"Bro, I don't even down with you down with you."
00:13,[Police Officer],"42 to 43, what's your location?"
00:16,[Suspect],right now with that dumb shit.
00:18,[Suspect],"Bro, you're right."
00:19,[Police Officer],Nope.
00:20,[Suspect],Toke slam.
00:21,[Suspect],"real quick, bro, you slide."
00:24,[Suspect],I think my.
00:28,[Suspect],"Come on, come on."
00:31,[Police Officer],"Yeah, you don't need to come 1018, but he's in 25."
00:33,[Police Officer],"Hey, stop."
00:34,[Suspect],Come on.
00:35,[Suspect],"Come on. Burn that ass here, boy."
00:38,[Police Officer],Sit down.
00:38,[Suspect],"I'm not about to shit, no motherfucker."
00:40,[Police Officer],"Sit down, dude."
00:41,[Suspect],slap and shit.
00:42,[Police Officer],We're just trying to figure out what's going on.
00:44,[Suspect],I'll slap the dumb shit out your fuck ass if you don't shut the hell up.
00:48,[Police Officer],All right.
00:49,[Suspect],I didn't do damn shit.
00:50,[Police Officer],Come over here and step away from all these nice people.
00:53,[Suspect],You're Jersey Mike's.
01:00,[Police Officer],"Sit down, dude."
01:02,[Suspect],Bitch.
01:04,[Police Officer],"42 to 43, if you want to go ahead and step up for anything."
01:07,[Suspect],"No, I'm not sitting down. Who the fuck you talking to?"
01:11,[Police Officer],Sit down.
01:12,[Suspect],Who the fuck you talking to?
01:15,[Suspect],I didn't even want to shake shit out the damn.
01:17,[Police Officer],We're going to be out front of Jersey Mike's now.
01:19,[Police Officer],"He's still walking away from me, still 107."
01:23,[Police Officer],Just you need to sit down. Sit down.
01:26,[Suspect],Sit down for what?
01:27,[Police Officer],Because we're trying to figure out what's going on in there.
01:30,[Suspect],Shut the fuck up.
01:31,[Police Officer],"All right, you need to sit down or else we're going to stop. You're not going inside."
01:35,[Police Officer],Stop.
01:37,[Police Officer],Stop.
01:38,[Police Officer],Stop.
