start_time,speaker_label,transcript
00:01,[Family member of the victims],You know we love Jaden and Maurice.
00:06,[Family member of the victims],You know Jaden was the only thing we had left.
00:11,[Family member of the victims],And you took him from us.
00:15,[Family member of the victims],You know I had already lost his dad.
00:20,[Family member of the victims],And then my other son.
00:24,[Family member of the victims],And then you took Jaden.
00:28,[Family member of the victims],You have ripped our lives apart.
00:34,[Family member of the victims],And you know that you could have gave them kids to us and we would have took care of them.
00:44,[Family member of the victims],But you have been selfish.
00:49,[Family member of the victims],My heart is in pieces.
00:57,[Family member of the victims],And you know that you have always had a place to go.
01:07,[Family member of the victims],You took him from me and I hurt every day.
01:14,[Family member of the victims],Every second of the day I hurt.
01:20,[Family member of the victims],And I hope they give you two life sentence without the possibility of parole. I want you to suffer just like I'm suffering right now.
01:35,[Family member of the victims],They did not deserve that.
01:42,[Family member of the victims],You took my little man from me.
01:47,[Family member of the victims],"And we all love him so much, Jaden and Maurice."
01:53,[Family member of the victims],"Oh, I remember the time he called me Nana and told me he loved me."
02:00,[Family member of the victims],And it took him forever to color with me.
02:05,[Family member of the victims],"But Jaden, Jaden is our blood."
02:11,[Family member of the victims],"Oh God, oh Lord, give me strength."
02:16,[Family member of the victims],Jaden had cousins that loved him. Melody and Torin. Torin sleep with a teddy bear and a picture of Jaden every night.
02:27,[Family member of the victims],"Oh, I have that to say and she just knows she she knows she will rip us apart."
02:33,[Family member of the victims],"Tiffany, on November 20, November 8, 2023, you changed the lives of two beautiful boys. You broke my brother's heart, my heart and the heart of anyone who had encountered them. Jaden and Maurice didn't see you for who you really are. They loved you so much, but at the end of the day, you became what children their age feared the most, a monster. Not for one minute do I believe like you said it you were in a hard spot. You had support in so many ways that you could have used. Like I often told you when we spoke, being a good mom is also making the decision that you can't give the boys the best life and allowing another parent to step in. But you refused to do so selfishly because it wouldn't align with what social media saw. Instead, you decided to play God and decide the boy's fate. Fate. I often see these court shows where defendants are forgiven by the victim's family, but not today, not by me. I will never forgive you. I struggle and often wonder what else kind of pain did they endure at the hands of you before you ultimately took their lives. Part of this statement I was going to write, I hope every day you close your eyes that they hunt you, but I don't. You don't deserve to see them and they don't they shouldn't see you. If he decides to give you any kind of leniency today and grant you parole at some point, I'll be there at every parole hearing. Do you hear me? I'll be there at every parole hearing."
04:06,[Court official],The truth and nothing but the truth.
04:08,[Court official],"If you can hear yourself help the chair, love to the microphone, this is supposed to be can."
04:14,[Prosecutor],"Your honor, in the dozens of interviews we conducted, witnesses told us over and over again that Tiffany Lucas was a devoted mother whose love for her children shown through in the ways that she cared for them."
04:30,[Prosecutor],No one could have imagined that Tiffany would have hurt those children.
04:37,[Prosecutor],"We come before the court today to address the open issue of sentencing and ask the court to consider fully the circumstances of the case and determine a just, fair and reasonable outcome."
04:49,[Prosecutor],"At the end of today's argument, we're going to ask the court to consider a sentence of 35 years in prison."
04:54,[Prosecutor],She reported the second child had and see her the discharge of that weapon for the first child and maybe even both of them seeing their mother pull the trigger taking their life.
05:13,[Judge],"At this time the court will state for the record, court has considered the probation, pre-sentence report, arguments of counsel, the contents of the file and no sufficient reason having been shown my judgment not be pronounced and sentence imposed. Case number 23 CR 404, Commonwealth of Kentucky versus Tiffany Lucas as to count one. The court will adjudge the defendant guilty of the offense of murder and fix her sentence at life in prison. On count two, the court will adjudge the defendant guilty of the offense of murder and fix her sentence at life in prison."
05:49,[Narrator],"Although Tiffany was charged with two counts of murder, this case highlights the importance of understanding parent-child relationships, mental health, and child safety. It serves as a stark reminder that even in seemingly stable environments, underlying issues can lead to tragic outcomes. One can never fully understand why a parent would act in such a way, but there are often subtle signs that, if noticed earlier, might provide an opportunity for intervention. Cases like this emphasize the need for greater awareness, support systems for struggling parents, and vigilance in identifying and addressing potential warning signs before they escalate into tragedy. YouTube thinks you'll love the video on the screen. Click to watch now."
