start_time,speaker_label,transcript
00:00,[Bystander],Look at me real quick.
00:01,[Bystander],Oh.
00:02,[Bystander],"He's not, bro."
00:04,[Bystander],I tell him.
00:06,Margaret,"He has here a sweater and the white shoes, he ditched them. So if we backtrack from here down, we got to be able to find out."
00:11,[Interviewer],Black backpack.
00:13,[Bystander],Black backpack. Yes.
00:15,[Interviewer],What backpack?
00:16,[Bystander],Sorry.
00:17,[Interviewer],When when did your party start? Like when did you guys start partying for your birthday?
00:20,Margaret,"Um, we started at 6 p.m."
00:24,[Interviewer],So Tevin came over by himself.
00:26,Margaret,"Yeah, he did."
00:26,[Interviewer],He said a friend of mine invited me over.
00:28,Margaret,"Yeah, he said a friend and I was I asked him like, are you sure? Like is this person okay? Because I don't allow people into my house. I don't. And he was like, oh, he brought a friend. But then he came with two friends and I was I even walked out. I went to my car. You will see it on the camera. I walked to my car and then he walked in with two people and I was behind them. I was just when they walked in."
00:34,[Interviewer],Mhm.
00:37,[Interviewer],Mhm.
00:54,Margaret,"Okay. And I asked him and I'm like, okay, I look cool. Like are they on cause problems?"
00:59,[Interviewer],So they showed up a little bit after Tevin.
01:01,Margaret,Yeah. Yeah. Tevin invited them.
01:04,[Narrator],"While speaking with the birthday girl, Margaret and her friends, officers learned that PJ had decided to kill Tevin simply because he had hurt his ego by cutting him off during conversations."
01:13,[Interviewer],Who are these two friends?
01:15,Margaret,I don't know. I don't know them. I don't know.
01:17,[Interviewer],You seen them before?
01:18,Margaret,Never have I ever seen them.
01:20,[Interviewer],Okay. And
01:20,[Interviewer],"Now, is this the two people that we saw in the video?"
01:23,Margaret,Yeah. Okay. Yeah. I don't know what happened that it went south. Because I they disrespected me and they knew that it was my house.
01:33,[Interviewer],Was this yesterday or today?
01:35,Margaret,It was my birthday yesterday.
01:36,[Interviewer],Okay. So this was yesterday.
01:37,Margaret,"Yeah, it was yeah, it was like over the night."
01:40,[Police officer],"Hey, my man."
01:41,[Bystander],Quick one.
01:43,[Police officer],Is he medical for you?
01:45,[Police officer],"You need medical, man?"
01:50,PJ,Can you guys take me to sleep?
01:53,[Police officer],We're good. We're good though.
01:54,[Police officer],Take you in so you sleep you just tired?
01:56,PJ,"Tired, bro."
01:57,[Police officer],I know.
02:02,PJ,Can you roll down my window at least?
02:03,[Police officer],"Yeah, yeah. Okay. Got you."
02:06,[Interviewer],So he was like sitting at the bus stop. Something I think he saw one of us or something and started walking to the lot.
02:12,[Police officer],Is that the shooter or is the person with the shooter?
02:15,[Interviewer],"I thought the shooter, I'm sorry, the person with the shooter was described as a black man."
02:19,[Police officer],There's like four different descriptions that came out.
02:22,[Interviewer],"So you mentioned something about a gun. Well, tell me about that."
02:25,Margaret,"He had a gun and I told him I'm like, everybody here is safe. Everybody here is safe. So like do not like do anything. Like this is my house and he literally disrespected me and he gave me a like a fist bump. And he was like, I'm not going to disrespect you. Like we're here to just have a good time and just to."
02:40,[Interviewer],"Yeah, yeah."
02:46,[Interviewer],Okay. Yeah.
02:47,[Bystander],"Okay, so we're all sitting here doing shots, obviously. Yeah. Right. So we're all talking and then like someone would would interrupt him talking while while while he was talking and he'd get really butt hurt about it."
02:59,[Interviewer],"Oh, just in general."
03:00,[Bystander],"Yeah, in general. Yeah. Yeah. He's fooled. He felt disrespected."
03:03,[Interviewer],And he was talking to a girl or just to the group?
03:05,[Bystander],"No, just the group. Like he felt disrespected."
03:08,[Interviewer],"Okay. Right. He's just like, he felt disrespected. And So Tevin interrupted him?"
03:12,[Bystander],"Yeah. Well, he was the one person who drove him then, but before it was like someone else who drove him."
03:12,[Interviewer],Okay.
03:16,[Bystander],"Even though the girl told him I have a boyfriend and the other girl was my girlfriend, but he still felt a level of disrespected."
03:23,[Interviewer],And which girl was he trying to talk to?
03:25,[Interviewer],So he he was getting real upset.
03:27,[Bystander],"He was getting he was getting butt hurt because he thought like he was he was all like he was all like, I would we would hand the shots. I would I would hand the bottle. He'd be like, let her hand the bottle. I'm like, all right."
03:36,Margaret,"When I trust somebody like when they got here, I expect people know me. Like how did you think this got to my house? I'm not the type of person."
03:51,[Interviewer],So they all left and then what?
03:53,Margaret,And then we were just chilling on the couch and then pow pow pow pow pow. Two.
03:58,[Interviewer],You remember how many times you heard?
03:59,Margaret,"Two, two, two."
04:01,Margaret,"I didn't open the door, but somebody else opened the door."
04:03,[Interviewer],Okay.
04:04,Margaret,"And they saw him there. And he was like, oh, you guys need to come in and cuz that's a friend. Like we know him."
04:12,[Interviewer],So they brought him inside.
04:13,Margaret,"Yeah. Okay. Yeah. And then he started they're like, oh, bring blankets, bring sheets to like, yeah, like two gunshots like here and here."
04:23,[Interviewer],Okay. And you were just trying to
04:25,[Interviewer],And you saw that?
04:26,Margaret,"Yeah, I saw that. I don't know what happened. I don't know what what what happened between them three. I don't know. I don't know. I don't know."
04:36,[Narrator],"Tevin couldn't survive his injuries and died shortly after being taken to the hospital. All the while, his killer kept asking the officers if he could sleep."
04:44,[Bystander],Yes.
04:47,[Police officer],"Hey, my man. We're going to have you step on out."
04:52,[Police officer],"Hey, we're going to have you step on out. Wake up."
04:57,[Police officer],We just got to pat you down again. Search you.
05:00,[Police officer],Step on out. Yeah. One more time.
05:02,PJ,"Well, you serious, man."
