start_time,speaker_label,transcript
00:03,[Police Officer],Okay. You can't? Okay. Do you have trouble standing on either either one of your legs at all?
00:09,[Police Officer],I did. So just go ahead and start.
00:11,[Police Officer],You have any do you have any trouble standing on either one of your legs?
00:15,Georgia,"Um, I don't know."
00:16,[Police Officer],Simple.
00:17,[Police Officer],Okay. Are you are you able to do the test or not?
00:21,Georgia,I don't know.
00:22,[Police Officer],You don't know if you can stand on one leg or not?
00:25,Georgia,I don't know.
00:27,[Police Officer],"Okay. Not not by holding on to me, but just can you physically do that? And I want you to look down at your toe and I want you to again, 1001, Go ahead."
00:37,[Police Officer],You're becoming emotional.
00:39,[Police Officer],"Are you Why are you why are you um Are you No. So are you No. You don't want to do any more of the test? Okay. All right. Let's walk over here to your car. Let's go over here to the front door. What I want you to do, come over here. Put your arms behind your back. Put your hands behind your back. Have you been in this situation before?"
00:59,Georgia,"No. Okay. No. Just lean up against your car right there. Come here. I'm waiting on another officer to get here, honestly, before I start."
01:07,[Police Officer],Yeah. Why me?
01:08,[Police Officer],"Miss Georgia, can you turn around?"
01:10,Georgia,Yeah.
01:11,[Police Officer],"Can you turn around? Just face just face towards the vehicle right there. Okay. All right, I got to read you something, all right? So, the state of Georgia has conditioned your privilege to drive a vehicle. Will you submit to the state administer chemical test of your blood?"
01:23,Georgia,No. You will not?
01:24,[Police Officer],No.
01:24,Georgia,Okay.
01:25,[Police Officer],I will not.
01:26,[Police Officer],"All right. I want you to go with this officer over here, okay?"
01:28,[Police Officer],"So I need your left, Miss."
01:30,Georgia,No.
01:30,[Police Officer],Let's go. So I need your left over here. Step over here to the left.
01:34,Georgia,Can you please take this off?
01:37,[Police Officer],No.
01:38,Georgia,Can I please have a tissue?
01:40,[Police Officer],"All right, Miss. You can go in."
01:41,Georgia,Can I have a tissue?
01:43,[Police Officer],I'll get you one in here.
01:44,Georgia,Can I have a tissue? Let me get you started.
