start_time,speaker_label,transcript
00:00,Ted Roberts,Okay.
00:01,Sam Brammer,Okay.
00:02,Ted Roberts,"But there was no school relationship, no asking board or anything."
00:10,[Narrator],"This information is, well, concerning, considering it would be unlikely to make up blatant lies of this magnitude. However, with little to no evidence, other than a few rumors coming from her friends, police can't harp over these allegations and decide to wrap Mike's questioning up. At this point, Mike is still considered to have potential involvement in Aline's disappearance, but with a lack of leads, they direct their attention to the only other potential suspect, Aline's ex-boyfriend, Sam Brammer."
00:40,Ted Roberts,You've already met Detective Dyer.
00:41,Sam Brammer,"Yeah, he's the first thing."
00:44,Ted Roberts,"Yeah, this is Detective Dyer. I'm the sergeant that talked to her on the phone. My name is Ted Roberts. I'm the sergeant."
00:49,Sam Brammer,"You know, you're not, you're not on the phone with you. You said that I was the last person to see her alive."
00:53,Ted Roberts,"No, I didn't say that."
00:54,Sam Brammer,Yep.
00:55,Ted Roberts,I didn't say that.
00:55,Sam Brammer,"Yes, you did. Yes, you sure did."
00:57,Ted Roberts,I said you were the last person that saw her before she went missing.
01:01,[Narrator],"Sam wasted no time adding more suspicion onto his name. The phone recording shows that the detective never mentioned Sam being the last to see Aline alive. Aline has been missing for less than 48 hours at this point, so the fact that he's already alluding to the idea that she's dead is awfully disturbing. But this would only mark the beginning of Sam's unsettling choice of words during the interview."
01:23,Sam Brammer,"How do you say that? I got phone, I don't know why I did. I walked in a, I didn't have a lawyer in hand."
01:29,Ted Roberts,"No, no."
01:30,Sam Brammer,No.
01:31,Ted Roberts,"No. Yeah, that's a, I think you misheard me there. I got to record it. I'll have to go back and listen to it. But uh, but yeah, I'm pretty sure that's not what I said. But uh, I mean, basically we got a, you know, a crazy you here where, you know, Aline is evidently is her family and everything else. She's never done this kind of thing before. She's never just, you know, took off and gone. They all know she's."
01:53,Sam Brammer,"She does when she comes to me. She moves, she's moved in with me four or five times. But usually when she moves in with me, she says with her dolls."
02:01,Ted Roberts,"Yeah, because they said that she they talk every day. The daughter and her talk every day."
02:05,Sam Brammer,"If they need something, they call her or whatever she said. If they need something, then they'll get over her."
02:10,Ted Roberts,Okay.
02:10,Sam Brammer,"Just like when she got arrested for a DUI, she went to jail, they finally bailed her out. What they do? They turned and dropped her off at the bar."
02:17,Ted Roberts,Okay.
02:18,Sam Brammer,And she was homeless.
02:19,Ted Roberts,"Okay. Let's, if you could, I just need to know what went on Monday morning. What happened Monday morning with you?"
02:29,Sam Brammer,She texted me.
02:30,Ted Roberts,Okay.
02:31,Sam Brammer,"And wanted to know if I would come and get her because one of her friends supposedly was supposed to come and get her and supposedly around a gas. So, did she tell you the friend's name or?"
02:42,Ted Roberts,Okay.
02:43,Sam Brammer,"So, I got there and I said, I'll be there in a minute. She goes, don't come inside. I don't want Megan to know that we're back or you're with me. I said, okay. And uh, I pulled up, she gets in the truck. We take off, right out to this. the one that tried to do something with her. And uh, dropped her off there. Then I left. And then it wasn't too long after that is when she called me. I think she was at my house knocking. She you can't get in my apartment building unless you have a key to get in. But I think she was knocking on my window. I didn't look, I didn't care. I just wanted to go and take a nap. That's when she texted me, wanted to know if I could talk to Emmy about letting her move back in because this guy uh, No, but she went."
03:31,Ted Roberts,That night.
03:32,Sam Brammer,The night before Monday?
03:33,Ted Roberts,The night before Monday. Yeah.
03:35,Sam Brammer,Okay. And I don't know if she's sure or not. I don't know if she's just saying that to get me to take her back or what. I don't know.
03:41,[Narrator],"This statement adds more weight to Aline's allegations towards Mike. If Mike did do these things to Aline, then moving out and staying with Sam would be completely logical. On top of his statement, what Sam is about to reveal to detectives will make the allegations much harder to dismiss and place all the suspicion back on Mike."
04:02,Sam Brammer,"And she says, uh, please talk to Emmy if I can come back home. He me last night. Sam, I love you. I promise. I'll quit drinking. Please give me another"
