start_time,speaker_label,transcript
00:03,[Interrogator],This is where we're going to verbal.
00:06,Christian,Can anyone pull for me that uh info?
00:12,[Interrogator],This is where she.
00:14,[Interrogator],What's concerning history of 55.
00:21,[Interrogator],She's not quite a bit of signal very fast.
00:25,[Interrogator],This is why you don't find the fast.
00:28,Christian,Okay.
00:29,[Interrogator],"She's mostly shoplifting, fraud, deceptive."
00:35,[Interrogator],Slow.
00:38,Christian,Okay.
00:40,Christian,Switching back to two.
00:43,[Interrogator],Okay.
00:44,[Bystander],I was.
00:46,Christian,So we have a.
00:58,[Interrogator],Thank you.
01:02,Christian,Okay.
01:03,Christian,"Do you mind I'm going to go back now, sir?"
01:05,[Interrogator],Okay.
01:07,Christian,"Uh, so the video, could you my over here while I checked out the video footage and all that."
01:15,[Interrogator],I'm going to get information.
01:18,Christian,Okay. Okay. All right.
01:20,[Interrogator],Okay.
01:21,[Bystander],I know why I.
01:25,Christian,Okay.
01:27,[Interrogator],Which one?
01:34,[Interrogator],So why is criminal history important?
01:36,Christian,To know if there's a past with the same crime.
01:39,[Interrogator],"Okay, so what could potentially turn a felony if they have a felony?"
01:47,[Interrogator],If they have what?
01:48,Christian,If they have a past history.
01:50,[Interrogator],"Not just past history, what?"
01:52,[Interrogator],Or three.
01:53,Christian,They have to have two prior.
01:55,[Interrogator],Not just arrests.
01:58,Christian,"Oh, conviction."
02:00,[Interrogator],"If you have two prior convictions for theft, it doesn't matter the amount, it becomes automatically a felony."
02:06,Christian,Yeah.
02:07,[Interrogator],Which we will find out.
02:09,Christian,Okay.
02:11,Christian,So.
02:13,Christian,Okay.
02:14,[Interrogator],Okay.
02:15,Christian,That's.
02:17,Christian,Okay.
02:18,Christian,"Perfect. This full number. Whenever you're looking up in RMS, make sure he has the target address as his address."
02:24,[Interrogator],Okay.
02:25,Christian,Or else the one on DL is going to pop up.
02:27,[Interrogator],"Yeah, I'll change it."
02:28,Christian,"Yeah. Um, but it's good."
02:31,[Interrogator],Okay.
02:32,Christian,He called.
02:33,Christian,"Okay. So, here on Prescott, interest pass, okay? When she walked in at 12:55, she was stopped downstairs at 12:19. She took the elevators down. Okay? He's the eyewitness while she was following her. He was actually Christian, when you observe her, doing what she did."
02:45,[Interrogator],Okay.
02:51,Christian,"Um, before being counted downstairs, 12:19, she stopped by register 11. She took plastic bags, to seal the rest of the items that didn't fit in her bag after going through several aisles. And then she took the elevator down where she was stopped by."
03:10,[Interrogator],Okay.
03:11,Christian,Kate Lynn Murphy. She stayed on the cameras following while he was on the floor.
03:19,[Interrogator],Okay. All right.
03:20,Christian,Yep.
03:22,[Interrogator],I just had a few questions too.
03:23,[Interrogator],"Yeah, of course. When she was taking anything, did she take the, you know, that um, that retail theft item off of."
03:31,Christian,"No, there was no merchandise protection."
03:33,[Interrogator],There was none on any of the items.
03:35,Christian,Nope. It was all merchandise.
03:37,[Interrogator],Okay. I'm going to go ahead and just get a sworn statement from you.
03:41,Christian,Okay.
03:45,[Interrogator],Just go ahead and raise your right hand for me.
03:47,[Interrogator],Stop.
03:48,[Interrogator],Turn your camera off.
03:54,Christian,"I received a from my associate regarding a that taking place in the sales floor. Kate and assumes the camera surveillance while I had on the sales floor to conduct physical surveillance of the subject. It acquired the subject over in grocery. She went down multiple grocery aisles before making her way over to the meat wall where she selected multiple items of meat. Some not limited to ribs, uh chicken, some sausage, a few more. She then left that aisle, went into the next aisle over where she concealed the majority of the personal bag that she had with her."
04:40,[Interrogator],She put she put most of them in her purse.
04:41,Christian,"In her yeah, in the white personal bag."
04:44,[Interrogator],Okay.
04:44,Christian,"She had then traveled from that aisle across the far the store towards the check line where she stopped at register 11, which is a closed register. She selected a plastic target bag and concealed a package of ribs within that bag. She then passed all points of sale and to the elevator, took the elevator downstairs where she was met by myself with my associate Kate as the witness. I conducted a retail apprehension. She complied, came back into the elevator with us and returned to the office when I had called."
05:17,[Interrogator],"And you're saying she uh, I want to reiterate, you she had every opportunity to pay for everything."
05:23,Christian,"Absolutely, yep. Multiple registers open, multiple points of sale that she could have gone through."
05:28,[Interrogator],That were open and she passed all of them.
05:31,[Interrogator],Went to that. Okay.
05:32,[Interrogator],"Uh, then you get to the you were saying once you she went from register 11, she put everything in a plastic bag, right? The ribs. And then she had the other items in her purse."
05:41,Christian,Yep.
05:42,[Interrogator],She went to the elevator.
05:43,Christian,That's correct.
05:44,[Interrogator],She needed to go downstairs and then you met her at the front of the elevator.
05:48,Christian,At 12:19.
05:50,[Interrogator],"12:19. And that's when you told her, hey, come upstairs."
05:54,Christian,Yep. I did identify myself with the target employee and asked her to come upstairs to discuss the unpaid merchandise that she was with her and she complied and came back with us.
06:02,[Interrogator],"Okay. All right. Um, in the store, were you visibly seeing her on camera as she was committing the crime?"
06:10,Christian,"Uh, I was in person on the sales floor itself. I was actually about one aisle over."
06:15,[Interrogator],"Okay, so you're visually visually watching her put the items in her bag."
06:19,Christian,That's correct.
06:20,[Interrogator],"Okay, and then you followed her to the front where she walked past. You made yourself noticed but not noticeable, right?"
06:25,Christian,That's correct.
06:26,[Interrogator],"Okay. Um, in the sworn statement, was there anything else that you wanted to add?"
