start_time,speaker_label,transcript
00:00,[Man involved in the incident],"never. So for her to be with all that rage, I don't understand that. I'm a great dad, bro. That hurt, bro. I'm a great dad, bro. I don't do no disrespectful. I'm a man of God, bro. I don't even play like that, bro. My mom is a pastor, bro. I don't play like that, bro. That that's crazy to me, bro."
00:18,[Police Officer],"No, we heard it. We were on that traffic stop right there. We heard it. And then a guy pulled up and was like, yo, there's somebody pointing a gun over there."
00:24,Diamond,"Wow. Yeah, like I just said, she put her hands on me and my wife acted in self-defense."
00:29,[Police Officer],Are we talking to him? I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I I V
00:31,[Man involved in the incident],"I'm not talking to you. I can talk. Yeah, absolutely. Just showcasing right there."
00:34,Diamond,"No, I can talk. You can't tell me to shut up, bro. That's what I'm not going to do. I'm just talking. That's all. She yeah, she fired in self-defense."
00:41,[Man involved in the incident],"How could I possibly be a if I touch you, why would you pull a gun and shoot at me?"
00:46,[Police Officer],"I feel you. And look at my neck. You don't have no you don't have no no no bruises, nothing. You're a man. Why would you even do that to me?"
00:52,Diamond,"My baby was with his dad for a week. He just got out of summer break, so I let him go for a week. So my son called me and told me about what the girlfriend said to him. Yeah, threatening him. He said that the girlfriend had said I would be to tell your mom. So I said, I called to him and I also called the mom and I said, hey, just tell him to drop my child off. He said meet him over here at the sister house because you don't want me to know where your where you live at. That's that's fine."
01:17,[Police Officer],That's that's petty.
01:19,Diamond,That's his friend. The tall black. You want to check the car? I can step away. I can step away. Go ahead.
01:25,[Police Officer],"She's got a she said she got a CCW in there. Yeah, but I ain't got my gun on me. I ain't got my gun on me. Go ahead, check it. Go ahead."
01:30,Diamond,He put no gun on nobody.
01:31,[Police Officer],Can you uh have your son come out?
01:33,Diamond,Just stress. I feel you. Can you have your son come out?
01:35,[Police Officer],"Bentley, get out the car."
01:37,Diamond,"Hi Bentley, how are you? Are you okay, buddy? What what did she do? Do you need the medics? Shut up, police, what she said. You don't have to be scared. They can't touch you. The police here."
01:46,[Police Officer],"Miss Diamond, you need a medics?"
01:48,Bentley,"Hey, what's up, buddy? What happened was she told me that it was time for me to go to bed and then she thought she thought I was just sitting here and wasn't going to get up, but I was trying to tell her I was trying to tell her that I was stretching, but she didn't let me talk. And then and then when when and then she asked she said something about um if I keep me disrespectful then um she'll whoop me and she'll let my mom know."
02:14,[Police Officer],Okay. All right. And that is the girlfriend that was putting handcuffs over here?
02:20,Diamond,Okay. Do you know her name?
02:21,[Police Officer],She don't have no name. What is that name?
02:23,Diamond,Yeah. Anastasia. Anastasia.
02:27,[Police Officer],Okay. All right. Thank you. Just hang hang out with your mom. Give us a few minutes.
02:31,Diamond,Did you see them have a gun?
02:33,[Police Officer],"Who, them?"
02:34,Diamond,They they said they did.
02:35,[Police Officer],"They said they did, but you never saw one?"
02:36,Diamond,"Yes, the uh girl with the white pants on, she went in her trunk. And pulled it out. You saw it. She went I don't know what type of gun. I just seen her. I saw her going her trunk, pull out something and then as soon as y'all pulled up, she threw it back in the trunk."
02:41,[Police Officer],"She went in her trunk. You saw it. She went I don't know what type of gun. I just seen her. I saw her going her trunk, pull out something and then as soon as y'all pulled up, she threw it back in the trunk."
02:50,[Police Officer],"Okay, something, but you don't know if it's a gun or not."
02:51,Diamond,I don't know if it was a gun or not.
02:52,[Police Officer],Okay. All right. I'm going to turn around.
02:54,Diamond,"She only know I have a gun because she said that she'll shoot me and I said, you shoot me, I'm going to shoot you. That's what I told her. I'm being honest. She told me she was going to shoot me, so I told her she shoot me, I'm going to shoot you."
03:03,[Police Officer],That's fair enough. Okay.
03:05,[Woman providing an account of the incident],"So my sister had ended up cuz they, you know, normally they'll do exchange like to get the So the child exchange is right here?"
03:09,[Police Officer],So the child exchange is right here?
03:11,[Woman providing an account of the incident],"Yeah, some sometimes it depending on the area, but she was already in the area cuz we were cooking or whatever. So, um, yeah, my sister pull up, I pull up with my sister. So when you mean pull up, where exactly were you sitting in the vehicle? Or you in your own car?"
03:21,[Police Officer],"So when you mean pull up, where exactly were you sitting in the vehicle? Or you in your own car?"
03:24,[Woman providing an account of the incident],"No, yeah, we both So your sister owns is in the Audi. Yeah, and I'm in the Honda. So y'all y'all pull up simultaneously at the same time?"
03:26,[Police Officer],"So your sister owns is in the Audi. Yeah, and I'm in the Honda. So y'all y'all pull up simultaneously at the same time?"
03:32,[Woman providing an account of the incident],"Uh-uh, no, she pulled up first and then I came. Well, all right. Yeah. All right. So when I had came, um, we was waiting for like 20 minutes, like just waiting on my nephew cuz she steady was calling. When you say your nephew, what's your nephew name? Bentley. Bentley. She steady was calling Bobby, which is his dad. She was like, Bobby, can you bring my baby? Like she wasn't arguing. It was no fussing or anything. So when they had finally like when we seen them, like they was doing like a hundred coming down the street. So we was looking at them and when he had pulled over, he had pulled over and he was like And then you mean so they was coming? Yeah, they was coming like this way. North on division? Yeah, yeah, yeah, just like coming straight down and he was like driving fast as hell. So he had parked the car. Then my sister was like, where my baby at? So he had opened the door and when he had opened the door, the girlfriend, she ended up getting out the car. I don't know her name. Never really been around. I just was just here. So, uh, she get out the car and she kept telling my sister, she was like, ho, get your baby, ho. Come get him. You want to get your son, go come get your baby, like come in the car and get your baby, ho. But she was like basically like holding him cuz he couldn't get out. It's a two-door car, so you know what I'm saying? So as she was doing that, when my sister went to walk up to, you know, Yeah, to get my nephew. The girl ended up reaching like in the arm of her door and she reached in the arm of her door and she grabbed the gun and she took the gun and she was like, I'll shoot you in your face, ho. Like she just kept saying that and she was like, I don't give a fuck about these kids. Cuz I was like, you got kids in your car. Like you got your baby in your car. And she just was like, um, steady like, you know, cursing and doing too much. So my auntie and me, we were just trying to deescalate the situation. So then when she reached in to get the gun, what did she do with it? Well, she had got the gun. She had looked at us and when she looked at us, she had looked at my sister and she pointed it like this, but then she ended up going like this and she shot."
03:35,[Police Officer],"Well, all right."
03:36,[Woman providing an account of the incident],Yeah.
03:36,[Police Officer],All right.
03:45,[Police Officer],"When you say your nephew, what's your nephew name?"
03:47,[Woman providing an account of the incident],Bentley.
03:47,[Police Officer],Bentley.
04:06,[Police Officer],And then you mean so they was coming?
04:09,[Police Officer],North on division?
04:52,[Police Officer],"Yeah, to get my nephew."
05:19,[Police Officer],"So then when she reached in to get the gun, what did she do with it?"
