start_time,speaker_label,transcript
00:00,[Detainee],Where do you guys think get the fuck away from me? Cuz I'm going to get mad as I could. Just get the fuck away. Don't fuck. Don't fucking touch me. Stop. Get the fuck away. Get away. Get away from me. Literally. That shit just I can't deal with that shit like that.
00:21,[Police Officer],Just relax for a second. Are you allergic to anything?
00:24,[Detainee],No. Do you have any medical history?
00:26,[Detainee],No.
00:27,[Police Officer],Okay.
00:29,[Detainee],Can you get out of these cuffs?
00:32,[Police Officer],I can't take them off.
00:33,[Detainee],At least loosen it.
00:35,[Police Officer],They're loose.
00:36,[Detainee],At least a little more. This that's kind of
00:38,[Police Officer],I even put way better cuffs on.
00:40,[Detainee],"Okay, I could I could be I could be comfortable. It's just That shit is scary, man. I I really don't don't explain. I have no choice but to be in this shit. All right. That shit is scary, man. I I really don't don't explain. I have no choice but to be in this shit. All right. And the needle. Both you guys are getting me. I've been helping you. It just it doesn't feel like it. I swear. I'm not I don't I don't I literally hate being mad. I don't want to be mad. I don't want to be sad. I want to feel how I feel. I'm good. Like this shit makes me This shit's making me fucking try not to spaz out. This shit is so crazy. I'm trying not to even get mad. I swear. This this is hurting. This shit. Can you at least loosen it a little?"
01:15,[Police Officer],I've been helping you.
01:19,[Police Officer],I put different cuffs on.
01:23,[Police Officer],I pulled your buddy away from your hand.
01:25,[Detainee],I know. I like appreciate you for that. This shit is so uncomfortable. I've been saying it but it hurts. I'm like not even
01:36,[Police Officer],"Ma'am, handcuffs were not meant for comfort."
01:38,[Detainee],"It's not even meant for comfort, of course. This shit is just"
01:42,[Police Officer],I'm not raising my voice.
01:44,[Detainee],"This shit just This shit just pisses me off, man. I swear. I'm not I don't I don't I literally hate being mad. I don't want to be mad. I don't want to be sad. I want to feel how I feel. I'm good. Like this shit makes me This shit's making me fucking try not to spaz out. This shit is so crazy. I'm trying not to even get mad. I swear. This this is hurting. This shit. Can you at least loosen it a little?"
02:25,[Police Officer],I'm not raising my voice.
02:32,[Police Officer],Let me see them.
02:33,[Second Police Officer],"Those are loose, loose."
02:36,[Detainee],It's not loose.
02:37,[Second Police Officer],"Yes, it is. It's not tight."
02:38,[Detainee],"It's not tight. Loosen it and I'm I'm like, can you please please loosen it? Can you?"
02:44,[Police Officer],"No, he cannot."
02:45,[Detainee],"That shit is feels so comfortable and I would sit right there, man. Like literally, can you loosen it?"
02:54,[Police Officer],"No, he cannot."
02:55,[Detainee],Can you at least loosen a little bit?
02:58,[Second Police Officer],"They are loose, loose."
03:00,[Detainee],That shit They're rooming down to your palms even. I won't even like I can't even fucking get out of it.
03:06,[Police Officer],"Well, you're not supposed to."
03:07,[Detainee],"I'm not supposed to and it's not supposed to feel comfortable, but that shit's fucking getting me mad."
03:12,[Police Officer],Sit down.
03:13,[Detainee],Okay. Oh my. That shit's getting me mad. This shit's getting me
03:19,[Police Officer],Doctor's getting the paperwork done.
03:22,[Second Police Officer],Yeah.
03:24,[Police Officer],Doctor's getting the paperwork done.
03:26,[Second Police Officer],"Yeah, I will take them off. Come on."
